n,mesh,angle_deg,phase,h_local_max_m,h_local_median_m,area_m2,area_over_unique_length_h_local,support_width_m,width_over_h_local,forward_leakage_m,forward_leakage_over_h_local,intact_cross_graph_path_exists,certificate_fingerprint,unresolved_bridge_nodes,construction_screen
9,structured,0,0.0,0.1767766952966369,0.1767766952966369,0.40625,4.59619407771256,0.25,1.414213562373095,0.1750000000000001,0.989949493661167,False,cf2795cd5251600ff95b9a6c3833474cf20015c3cc05bb64379b91480848dc84,0,True
9,structured,0,0.037,0.1767766952966369,0.1767766952966369,0.40625,4.596194077712559,0.25,1.414213562373095,0.138,0.7806458864299485,False,a5bb06c02d72a36ff77445a514e1fcd78d8c62931be0b62b164236d71ba1bc6c,0,True
9,structured,15,0.0,0.1767766952966369,0.1767766952966369,0.3515625,3.9774756441743295,0.295443583730335,1.6712812921102034,0.2490570746585664,1.4088795711484523,False,88879ea5449d1936acf1c8d0e29db34b20124c0cf4297ac1d85c323c2855109c,0,True
9,structured,15,0.037,0.1767766952966369,0.1767766952966369,0.3515625,3.977475644174329,0.30282157026156453,1.7130174865720866,0.213317819085871,1.206707811388356,False,fb8a915109533e351e1bbcb7bd693948a0c9992a54789225fcdd5637997239f7,0,True
9,structured,-15,0.0,0.1767766952966369,0.1767766952966369,0.3515625,3.9774756441743295,0.295443583730335,1.6712812921102034,0.2490570746585664,1.4088795711484523,False,822c1b21a0cb3f32053c4afe943d1a0b658582caffa859d98d0d9b9c52c4b052,0,True
9,structured,-15,0.037,0.1767766952966369,0.1767766952966369,0.3515625,3.977475644174329,0.30282157026156453,1.7130174865720866,0.213317819085871,1.206707811388356,False,c2332ff8c1180c4af18808772a7e59a7609d6f4d75459d31db6a364c5a258ca0,0,True
9,structured,30,0.0,0.1767766952966369,0.1767766952966369,0.3359375,3.8006989488776926,0.3207531754730548,1.814453963712925,0.2720671475544961,1.5390441997909217,False,a05b3d5dba9622983a329e2063bc8a8f2a5f03c206421420d5c6fd7ab91b58f9,0,True
9,structured,30,0.037,0.1767766952966369,0.1767766952966369,0.3359375,3.8006989488776908,0.3350063509461097,1.8950820999564362,0.24002420761447196,1.3577819588249669,False,c7fc96979f8a9ce7ff88fa4d982fc72e43aa1f226cf7d7a375768d05f602eaf1,0,True
9,structured,-30,0.0,0.1767766952966369,0.1767766952966369,0.3359375,3.8006989488776926,0.3207531754730548,1.814453963712925,0.2720671475544961,1.5390441997909217,False,94812d449c1b32edd3596e8c49346a8c45412d2bb0bae86ba4264c7716cea27c,0,True
9,structured,-30,0.037,0.1767766952966369,0.1767766952966369,0.3359375,3.8006989488776908,0.3350063509461097,1.8950820999564362,0.24002420761447196,1.3577819588249669,False,2c804e3a105e439f48eb03b34279a58d2b30f3844f04f1414c2eeec8e72c574b,0,True
9,structured,45,0.0,0.1767766952966369,0.1767766952966369,0.3203125,3.623922253581056,0.3181980515339464,1.8,0.242462120245875,1.3715728752538103,False,556bca27aad8955b339345a392df342a9626ba22e2e68d975aea9b3dbd8a1a35,0,True
9,structured,45,0.037,0.1767766952966369,0.1767766952966369,0.3203125,3.623922253581056,0.34436100243784873,1.9480000000000004,0.21629916934197269,1.22357287525381,False,c1db3b0a09efabef75f4718921478a4ca14debeb70ed18530e1a0791e482943a,0,True
9,structured,-45,0.0,0.1767766952966369,0.1767766952966369,0.3203125,3.623922253581056,0.3181980515339464,1.8,0.242462120245875,1.3715728752538103,False,c6f8daa7857e33cb99cec4fed36e29c1b961b4f2f9ed3e3710a9c1e15a84ea8e,0,True
9,structured,-45,0.037,0.1767766952966369,0.1767766952966369,0.3203125,3.623922253581056,0.34436100243784873,1.9480000000000004,0.21629916934197269,1.22357287525381,False,d99548b97d4dc839745bbd3421459dc87fb4954cad788b2315eaabeb1502a0c9,0,True
9,perturbed,0,0.0,0.19896345719203906,0.1783828690583049,0.4018536176820739,4.039471603011057,0.2629737097188239,1.3217186383377038,0.17861497221119033,0.8977275261094382,False,1c1a6c0514ace0dc21d4f8a68a362ffd4e3d2518f0bcfbfc9d32852bfb4c2d93,0,True
9,perturbed,0,0.037,0.19896345719203906,0.179075960632259,0.3653077520189857,3.6721090111174686,0.2629737097188239,1.3217186383377038,0.14161497221119035,0.7117637289268849,False,79a515fd43552b16da1a14465e9863730941ba43ff90b26d7f30394196ba1dda,0,True
9,perturbed,15,0.0,0.181966019982759,0.17105994841819477,0.3908760476681266,4.296143287688125,0.2932452655927712,1.6115386027597667,0.24046310342523713,1.3214725664056435,False,0581cd5d80b847a45a81e1db932797186b51772f6a3ef89be5abf5a43fc0bc2f,0,True
9,perturbed,15,0.037,0.181966019982759,0.16964684388247037,0.3543301820050384,3.89446537368472,0.30282157026156453,1.664165486997278,0.2047238478525416,1.1250663605872069,False,cfb9fd505a38ad460653162800ce9de77759ef7de31a6328d5fe4e6cd7f4f9de,0,True
9,perturbed,-15,0.0,0.19896345719203906,0.18417183011005744,0.30374636947725264,3.0532880134272835,0.2932452655927712,1.4738649485253543,0.18664983307974736,0.938111127108097,False,674bd5b85c683f59e48bf1a5ce16c99413b473b038c9576140734b213a897e7b,0,True
9,perturbed,-15,0.037,0.19896345719203906,0.17974197912202264,0.3418366684233152,3.4361753987153048,0.3134624498454441,1.5754774985784996,0.15091057750705195,0.7584838926546869,False,472625cb34a6592500ba8c6e79b32193d3d033fb173dad115392d1b68ebaefcf,0,True
