n,mesh,angle_deg,phase,segment_id,h_local_max_m,h_local_median_m,support_width_m,support_width_over_h_local,forward_leakage_m,forward_leakage_over_h_local,selected_area_m2,selected_area_over_length_h_local,endpoint_footprint_error_m,positive_seed_count,negative_seed_count,positive_component_labels,negative_component_labels,positive_component_count,negative_component_count,tube_boundary_clearance_m,intact_cross_graph_path_exists,minimum_crossing_path_length,bridge_node_ids,bridge_element_ids,certificate_fingerprint,sufficient_opposite_side_seeds
9,structured,0,0.0,b00000000:0,0.1767766952966369,0.1767766952966369,0.25,1.414213562373095,0.1750000000000001,0.989949493661167,0.40625,4.59619407771256,0.1750000000000001,12,12,2,1,1,1,-0.030330085889910707,False,,,,4307f4789445068f0e157ccded19c778eef21697db93a12c8792debc95b227da,True
9,structured,0,0.037,b00000000:0,0.1767766952966369,0.1767766952966369,0.25,1.414213562373095,0.138,0.7806458864299485,0.40625,4.596194077712559,0.138,16,16,2,1,1,1,-0.030330085889910707,False,,,,ebdfc898f6da3120fdc84d986302f2ddbb3c74fae9becd496e32f4257ca54407,True
9,structured,15,0.0,b00000000:0,0.1767766952966369,0.1767766952966369,0.295443583730335,1.6712812921102034,0.2490570746585664,1.4088795711484523,0.3515625,3.9774756441743295,0.2490570746585664,11,17,2,1,1,1,-0.12501288627613277,False,,,,d93685737bb9f541928a92a60128c8e5ada84b4992432e6496425fe3844f22c9,True
9,structured,15,0.037,b00000000:0,0.1767766952966369,0.1767766952966369,0.30282157026156453,1.7130174865720866,0.213317819085871,1.206707811388356,0.3515625,3.9774756441743295,0.213317819085871,11,19,2,1,1,1,-0.14778896224515453,False,,,,6260aa0f8213493e11c58f994799163c508da2dea434693886866a17985e6010,True
9,structured,-15,0.0,b00000000:0,0.1767766952966369,0.1767766952966369,0.295443583730335,1.6712812921102034,0.2490570746585664,1.4088795711484523,0.3515625,3.9774756441743295,0.2490570746585664,17,11,2,1,1,1,-0.12501288627613277,False,,,,0d3fe1da5df892f0baf684f5a31358c1e09ec3620afd4a0e63ee88cc059a2738,True
9,structured,-15,0.037,b00000000:0,0.1767766952966369,0.1767766952966369,0.30282157026156453,1.7130174865720866,0.213317819085871,1.206707811388356,0.3515625,3.9774756441743295,0.213317819085871,19,11,2,1,1,1,-0.14778896224515453,False,,,,0b8054d46d85138c182d063fb59e40db60b1435ade5dd5138987df5ab6ed5f6c,True
9,structured,30,0.0,b00000000:0,0.1767766952966369,0.1767766952966369,0.3207531754730548,1.814453963712925,0.2720671475544961,1.5390441997909217,0.3359375,3.8006989488776926,0.2720671475544961,12,19,2,1,1,1,-0.18481738399769132,False,,,,11b6aad5aa2dcb5ced78e8b6ab856eebd675e40865119905f8512eed81597dfe,True
9,structured,30,0.037,b00000000:0,0.1767766952966369,0.1767766952966369,0.3350063509461097,1.8950820999564362,0.24002420761447196,1.3577819588249669,0.3359375,3.8006989488776926,0.24002420761447196,10,23,2,1,1,1,-0.22881738399769125,False,,,,07777801b8e1f58703c3f810a9af7b36df16a63d3667a9ddfdc6c8a782f7d86c,True
9,structured,-30,0.0,b00000000:0,0.1767766952966369,0.1767766952966369,0.3207531754730548,1.814453963712925,0.2720671475544961,1.5390441997909217,0.3359375,3.8006989488776926,0.2720671475544961,19,12,2,1,1,1,-0.18481738399769132,False,,,,24a96c3527ce1d5541250e648dbd334781f098ed6972cae444a3647c4f1c7dce,True
9,structured,-30,0.037,b00000000:0,0.1767766952966369,0.1767766952966369,0.3350063509461097,1.8950820999564362,0.24002420761447196,1.3577819588249669,0.3359375,3.8006989488776926,0.24002420761447196,23,10,2,1,1,1,-0.22881738399769125,False,,,,91c0c8cda43dcafb00f0faf541e55dc04e3f7b14cd9ee764a1da0ff591608104,True
