n,outer_domain,h_local_max_m,support_width_m,support_area_m2,signed_tip_footprint_m,tip_overshoot_m,tip_undershoot_m,width_over_h_local,area_over_unique_length_h_local,overshoot_over_h_tip,undershoot_over_h_tip
17,"[0,1]x[-0.5,0.5]",0.08838834764831845,0.125,0.1953125,0.0,0.0,0.0,1.414213562373095,2.9462782549439477,0.0,0.0
33,"[0,1]x[-0.5,0.5]",0.04419417382415922,0.0625,0.095703125,0.0,0.0,0.0,1.414213562373095,2.8873526898450685,0.0,0.0
65,"[0,1]x[-0.5,0.5]",0.02209708691207961,0.03125,0.04736328125,0.0,0.0,0.0,1.414213562373095,2.8578899072956294,0.0,0.0
129,"[0,1]x[-0.5,0.5]",0.011048543456039806,0.015625,0.0235595703125,0.0,0.0,0.0,1.414213562373095,2.8431585160209094,0.0,0.0
