partition,event_index,arc_id,start_m,end_m,certificate_fingerprint,support_fingerprint,physical_graph_length_m
one,1,b00000000:arc0,"[0.125, 0.0]","[0.875, 0.0]",05722c4ea44fc88cbd52a3fcac7e63be9a353830910f6135f819a8db5a32044a,7285e9862e7f23c7ab48eb4f5084020f391963398597c8952de776cc7fb98dff,0.75
two,1,b00000000:arc0,"[0.125, 0.0]","[0.6875, 0.0]",6fe7928f29377754241edb095d81a620c5de8756f7bbffc647b4821602ac4f3e,1a4b583c0842107ff02872659da5800364dd45476b25937338877ddcda7b3b3f,0.5625
two,2,b00000000:arc0,"[0.125, 0.0]","[0.875, 0.0]",05722c4ea44fc88cbd52a3fcac7e63be9a353830910f6135f819a8db5a32044a,7285e9862e7f23c7ab48eb4f5084020f391963398597c8952de776cc7fb98dff,0.75
four,1,b00000000:arc0,"[0.125, 0.0]","[0.59375, 0.0]",50b36093e117f5c00e29629fb749195b9445ccdf6261cf8b7317e982c2278481,5423822c8603626d3aabbaef348144ed27276116975cbccef052f909573e9f44,0.46875
four,2,b00000000:arc0,"[0.125, 0.0]","[0.6875, 0.0]",6fe7928f29377754241edb095d81a620c5de8756f7bbffc647b4821602ac4f3e,1a4b583c0842107ff02872659da5800364dd45476b25937338877ddcda7b3b3f,0.5625
four,3,b00000000:arc0,"[0.125, 0.0]","[0.78125, 0.0]",f66c46cd619bd18b13ff5fbc92bc3b7d06025f401fcffe159a50c4f5491a3d26,e0ced22ff5dd6208f77bc3f9b224ee0e827ada5a217a4e831f3020a38e17977e,0.65625
four,4,b00000000:arc0,"[0.125, 0.0]","[0.875, 0.0]",05722c4ea44fc88cbd52a3fcac7e63be9a353830910f6135f819a8db5a32044a,7285e9862e7f23c7ab48eb4f5084020f391963398597c8952de776cc7fb98dff,0.75
eight,1,b00000000:arc0,"[0.125, 0.0]","[0.546875, 0.0]",f292598ada257550aa5a2b906560f0c91feaf813f142aa1e2d113944851ec1a1,f1f7a1c2d381b23bfe1d048610e95ffd29101b2b4e67fabb9ba79f46638b8784,0.421875
eight,2,b00000000:arc0,"[0.125, 0.0]","[0.59375, 0.0]",50b36093e117f5c00e29629fb749195b9445ccdf6261cf8b7317e982c2278481,5423822c8603626d3aabbaef348144ed27276116975cbccef052f909573e9f44,0.46875
eight,3,b00000000:arc0,"[0.125, 0.0]","[0.640625, 0.0]",17df22706f1a44c3638ebe790cafc4588dfbb3b4231f6d782c0b0a377764bdba,14164100b8e42ab16a9fbedda899d1e96276fda84a1a9fc36c07ffb271824c33,0.515625
eight,4,b00000000:arc0,"[0.125, 0.0]","[0.6875, 0.0]",6fe7928f29377754241edb095d81a620c5de8756f7bbffc647b4821602ac4f3e,1a4b583c0842107ff02872659da5800364dd45476b25937338877ddcda7b3b3f,0.5625
eight,5,b00000000:arc0,"[0.125, 0.0]","[0.734375, 0.0]",78d33aba7e7ff9e456c58917bf6a549a8c4fbbb7efc6c1e3a9fcdb2a164b1d4c,0ce6b80006afb45fce44daa3bbb73c0b43e48bc4bdc713565f697bdf094e0d55,0.609375
eight,6,b00000000:arc0,"[0.125, 0.0]","[0.78125, 0.0]",f66c46cd619bd18b13ff5fbc92bc3b7d06025f401fcffe159a50c4f5491a3d26,e0ced22ff5dd6208f77bc3f9b224ee0e827ada5a217a4e831f3020a38e17977e,0.65625
eight,7,b00000000:arc0,"[0.125, 0.0]","[0.828125, 0.0]",38013e3b848db31c4198ab81aec5ca3176cf3dfd12e7933d0cd30226d905f473,75f89c25d49152690273c98dd59657fb0b6ddc162328c73df75ec0c3531e7e45,0.703125
eight,8,b00000000:arc0,"[0.125, 0.0]","[0.875, 0.0]",05722c4ea44fc88cbd52a3fcac7e63be9a353830910f6135f819a8db5a32044a,7285e9862e7f23c7ab48eb4f5084020f391963398597c8952de776cc7fb98dff,0.75
unequal,1,b00000000:arc0,"[0.125, 0.0]","[0.53125, 0.0]",854ab8bfc9512384b5514aa1e48736b2083e5ab4c40aee296d81536aefc54935,006b514b3e35d8bc0e0318ef23fbd866638b4a7a55cc5248d08c9c7431b6e41c,0.40625
unequal,2,b00000000:arc0,"[0.125, 0.0]","[0.59375, 0.0]",50b36093e117f5c00e29629fb749195b9445ccdf6261cf8b7317e982c2278481,5423822c8603626d3aabbaef348144ed27276116975cbccef052f909573e9f44,0.46875
unequal,3,b00000000:arc0,"[0.125, 0.0]","[0.703125, 0.0]",ef7048a08c9ff1025834f7634adaa7b55ef477c009999e1fa961ee266d719088,d4ce978032e37fdc090fd059fd0c400ac98ba1285471aa3ddd8c8747f768dbe5,0.578125
unequal,4,b00000000:arc0,"[0.125, 0.0]","[0.875, 0.0]",05722c4ea44fc88cbd52a3fcac7e63be9a353830910f6135f819a8db5a32044a,7285e9862e7f23c7ab48eb4f5084020f391963398597c8952de776cc7fb98dff,0.75
