case,defective_support,junction_id,vertex_roles,ordered_ray_angles,sector_ids,sector_seed_counts,sector_component_labels,within_sector_connected,cross_arm_path_exists,legal_support_overlap,junction_certificate_status,junction_certificate_fingerprint
kink,False,"0.5,0","[""kink_vertex""]","[0.7853981633974483,3.141592653589793]","[0,1]","[46,78]","[[2],[1]]",True,False,True,ACCEPTED,9e1f6386b0501b902345339d9cb1bd78013185a0b9c98b7a4315a8de6e8f753f
kink,True,"0.5,0","[""kink_vertex""]","[0.7853981633974483,3.141592653589793]","[0,1]","[46,78]","[[1],[1]]",True,True,True,CROSS_ARM_INTACT_PATH,4e0f4c601c826a28f96cb58f3715f60f4ba4abefa3cceab76e450927ee68941d
y_branch,False,"0.5,0","[""branch_junction""]","[0.7853981633974483,3.141592653589793,5.497787143782138]","[0,1,2]","[46,46,34]","[[3],[1],[2]]",True,False,True,ACCEPTED,41dbbac03dfda8df79908a1d7b3bd55d44ec52e62b8988e43cc5cb751ee63449
y_branch,True,"0.5,0","[""branch_junction""]","[0.7853981633974483,3.141592653589793,5.497787143782138]","[0,1,2]","[46,46,34]","[[2],[1],[2]]",True,True,True,CROSS_ARM_INTACT_PATH,d4ee633ad7da402012da949e5a9720b1462649af5539409c1c2256a236cab8a5
t_junction,False,"0.5,0","[""branch_junction""]","[0.0,1.5707963267948966,3.141592653589793]","[0,1,2]","[28,28,64]","[[3],[2],[1]]",True,False,True,ACCEPTED,85ea8333d2a95c8f4642362cde18060214e4a0d312586ee5bef06ef6c341aeac
t_junction,True,"0.5,0","[""branch_junction""]","[0.0,1.5707963267948966,3.141592653589793]","[0,1,2]","[29,29,64]","[[2],[2],[1]]",True,True,True,CROSS_ARM_INTACT_PATH,5d1b27169f7de096d098a0179a39bccb99168416ba687f5503377fe7e73a5d5b
mixed_role_vertex,False,"0.5,0","[""active_tip"",""kink_vertex""]","[0.7853981633974483,3.141592653589793]","[0,1]","[46,78]","[[2],[1]]",True,False,True,ACCEPTED,9e1f6386b0501b902345339d9cb1bd78013185a0b9c98b7a4315a8de6e8f753f
merged_terminal,False,"0.5,0","[""branch_junction"",""merged_vertex""]","[0.0,1.5707963267948966,3.141592653589793]","[0,1,2]","[28,28,64]","[[3],[2],[1]]",True,False,True,ACCEPTED,85ea8333d2a95c8f4642362cde18060214e4a0d312586ee5bef06ef6c341aeac
