case,support_matches,certificate_matches,support_fingerprint,certificate_fingerprint,physical_graph_length_m
kink_final_subdivision,True,True,237deab1fd09915672ef869b065c1a703e4be45f632c3a0dc36ab4aed3a639cd,45c30dd7111c31cb9033d1f63eb1c28d0dafbbb457fa502dc37293847a9691ca,0.7285533905932737
kink_sequential_history,True,True,237deab1fd09915672ef869b065c1a703e4be45f632c3a0dc36ab4aed3a639cd,45c30dd7111c31cb9033d1f63eb1c28d0dafbbb457fa502dc37293847a9691ca,0.7285533905932737
y_arm_final_subdivision,True,True,519441197b5d3ee70e97d96b764a92ef7d94204b3c89ebc21291f17890ad952d,99be183e203902a1d5d57d5300407afcb05851260d9b9ccae6d461a6eb8ed250,1.0821067811865475
y_arm_sequential_history,True,True,519441197b5d3ee70e97d96b764a92ef7d94204b3c89ebc21291f17890ad952d,99be183e203902a1d5d57d5300407afcb05851260d9b9ccae6d461a6eb8ed250,1.0821067811865475
