gate,passed,returncode,tests
V11_SELECTABLE_NEUTRALITY,True,0,tests/test_topology_transaction_v11.py::test_explicit_v11_selection_is_physically_identical_to_default tests/test_sharp_wake_backend_v12.py::test_default_remains_v11_and_selection_is_explicit
V12_PRODUCTION_STATE_OWNERSHIP_QUALIFIED,True,0,tests/test_topology_transaction_v11.py::test_v12_initialization_and_checkpoint_own_certified_support tests/test_sharp_wake_backend_v12.py
PRODUCTION_TRANSACTION_ROLLBACK_QUALIFIED,True,0,tests/test_topology_transaction_v11.py::test_injected_transaction_failure_leaves_exact_accepted_state tests/test_topology_transaction_v11.py::test_v12_geometry_failure_injection_preserves_accepted_state tests/test_topology_transaction_v11.py::test_active_tip_remesh_failure_preserves_accepted_state
V12_PRODUCTION_CHECKPOINT_RESTART_QUALIFIED,True,0,tests/test_topology_transaction_v11.py::test_v12_interrupted_restart_continues_exactly
V12_BOUNDED_PRODUCTION_PROPAGATION_QUALIFIED,True,0,tests/test_topology_transaction_v11.py::test_v12_event_commits_exact_graph_length_and_certified_mechanical_state tests/test_topology_transaction_v11.py::test_short_event_is_resolved_by_bounded_tip_refinement_not_length_change tests/test_v12_mechanically_separating_wake.py::test_kink_partition_and_sequential_history_are_mechanically_equivalent tests/test_v12_mechanically_separating_wake.py::test_y_arm_subdivision_and_sequential_history_are_mechanically_equivalent tests/test_v12_mechanically_separating_wake.py::test_offaxis_and_endpoint_phases_never_silently_fall_back
