protocol,row_name,Kmax_Pa_sqrt_m,R,frequency_Hz,minimum_load_hold_s,chemistry_factor,finite_canonical_job_key,zero_canonical_job_key,finite_stable_growth,zero_stable_growth,finite_late_to_early_ratio,zero_late_to_early_ratio,finite_developed_da_dN_m_per_cycle,zero_developed_da_dN_m_per_cycle,both_stable_growth,S_h_developed,finite_n_events,zero_n_events,finite_final_extension_um,zero_final_extension_um
D1,COMPETING_REVERSIBLE,12000000.0,-0.95,1000.0,0.0,1.0,de0e3e9c4f36427c5fbdf6a9602db9e11eee4ae42b4cb664f8a5fbec0bee8c98,5369cd8928d1ac46602e106cc1a63b428e0cf86aad024cc5bb9a402a37bccc49,True,True,1.2225829539543265,1.2219942003239368,1.4861604275526836e-09,2.3019092818255114e-08,True,-1.190022511067047,30,30,150.00000000000006,150.00000000000006
D1,COMPETING_REVERSIBLE,15000000.0,-0.95,1000.0,0.0,1.0,5c227ccbf33c3ff2da1a000c4a54d70a5d5fd568bc8142addf45b3b73b1390fe,7e70210b8f4ab56ef61b82cc6595353b13e626c3a27dddb4a25a25ead515e62c,True,True,1.2223894844413763,1.2219942003239395,1.7104716624637634e-07,2.2827475558511557e-07,True,-0.12534200286643923,30,30,150.00000000000006,150.00000000000006
D1,COMPETING_REVERSIBLE,21000000.0,-0.95,1000.0,0.0,1.0,8eb2adc0ea2054adda20eac1b1612d93b8a3c6e906b58ec250a408356f1931fc,e71b63e3fee180485ed4d5c8c4efb1cbc7ad1a5639b68bc1cc618d2892b00dc2,True,True,1.2222547113996782,1.2219942003239268,3.6415571362613984e-07,3.871340754506353e-07,True,-0.026574271048372105,30,30,150.00000000000006,150.00000000000006
D1,COMPETING_REVERSIBLE,24300000.0,-0.95,1000.0,0.0,1.0,aab2d4224c3912d8cbc72551eaafcf3078e2a1f62ae0704259d84b6d22977055,09a9617b7e212b6f66840f724a3f004e1691108e56f3a788ecf8ace70890365b,True,True,1.221923874293362,1.2219942003239364,4.112385166399122e-07,4.296855389558059e-07,True,-0.019056953815837732,30,30,150.00000000000006,150.00000000000006
D2,COMPETING_REVERSIBLE,12000000.0,-0.5,1000.0,0.0,1.0,eb75943e869ac94dd49fc561c1e83a12f8828db13a3026bdb42eb83a7954a302,9ea28a1529877ad528774209345cdc18ee5306e92941e2d6b17a6a1ea1ba84bb,True,True,1.2216519562904655,1.221994200323932,1.6956627413138252e-09,2.6277682650053202e-08,True,-1.190247585901405,30,30,150.00000000000006,150.00000000000006
D2,COMPETING_REVERSIBLE,15000000.0,-0.5,1000.0,0.0,1.0,a6fb71e30fb1511d73fd5ba7ce0e38f3a24e04d0944e71b076d391451d1394de,3ba6f4bd558a8dbd6b914b81fb26a77a0172f320e786ecbf95d2f4157b36c8ff,True,True,1.2205261077191465,1.2219942003239321,1.9566984946506943e-07,2.6149337286633524e-07,True,-0.12593677594792968,30,30,150.00000000000006,150.00000000000006
D2,COMPETING_REVERSIBLE,21000000.0,-0.5,1000.0,0.0,1.0,9b780af5e7ba60536b728cbb3c7b343db148b49b152ee016da8c5665cabbdb0c,1abb2ac0899790fded62faaaf63182efbc80b679210ec51917f0c0510f953edf,True,True,1.2228404663148764,1.2219942003239417,4.1965896849304936e-07,4.469092278490586e-07,True,-0.027322813315269555,30,30,150.00000000000006,150.00000000000006
D2,COMPETING_REVERSIBLE,24300000.0,-0.5,1000.0,0.0,1.0,42348cf95208defcc6c110b655b7c4146f39bccad08f5079c8db8a4288a627fb,1351eea1a85d23ea9b646531026c06ff3113eeb24b6b790e468b88f01030b9eb,True,True,1.222401455040868,1.2219942003239355,4.755309851750381e-07,4.97584714710534e-07,True,-0.019688210372243064,30,30,150.00000000000006,150.00000000000006
D5,PASSIVATION_LIMITED,12000000.0,-0.5,1000.0,0.0,1.0,1d8ee217debe56611118f3640e014856b2566549090eeb3d4a6ce995b368f61a,cc30ed549f1fffe360ac227677ef3bd2a96556dc5e52e55dfad52e5d6edbdf01,True,True,1.2226791662592311,1.221994200323932,1.6958392572166373e-09,2.6277682650053202e-08,True,-1.1902023788617737,30,30,150.00000000000006,150.00000000000006
D5,PASSIVATION_LIMITED,15000000.0,-0.5,1000.0,0.0,1.0,12a1e3ae73ec753e9be281686d7bdf79daa3e15c9891b838f4ce4a56734eb462,cd34961bdcf5d123ef4d595ecea58e872b33af3adaad9046de1d2c087eba74e9,True,True,1.2194465087570436,1.2219942003239321,1.9563935000218852e-07,2.6149337286633524e-07,True,-0.1260044756006598,30,30,150.00000000000006,150.00000000000006
D5,PASSIVATION_LIMITED,21000000.0,-0.5,1000.0,0.0,1.0,00d728b3d1512e8ee581723cf3c733ce6a4a882feb5849e715f077fa131542e7,74dd992eca429f995930ffb863a045a489898b3e5ce02e9c3fbd71513c5d4102,True,True,1.2224005409279421,1.2219942003239417,4.196805877885649e-07,4.469092278490586e-07,True,-0.027300440627894502,30,30,150.00000000000006,150.00000000000006
D5,PASSIVATION_LIMITED,24300000.0,-0.5,1000.0,0.0,1.0,34fb6d57084b8860cfd438315bfd7617aca9693f95d4f88859509095d5393289,acd005fcfeb8219cfcef1bc65fa2173559663d3c859aba7cd4b18e6e88cdc78e,True,True,1.2220237549377426,1.2219942003239355,4.755387312065797e-07,4.97584714710534e-07,True,-0.01968113610902707,30,30,150.00000000000006,150.00000000000006
D3,COMPETING_REVERSIBLE,12000000.0,-0.5,316.22776601683796,0.0,1.0,e1ddc131888f6096e9ea6909b6e34b5988b4a9c673c0ae406b040b54ad61b24c,8904cd785db33ee20f8b68e52aa9d8dab9bbe0777f5dd636211c5fc767483dd5,True,True,1.2115034457375131,1.221994200323934,3.319243977499537e-08,8.309732880447913e-08,True,-0.39854788750969994,30,30,150.00000000000006,150.00000000000006
D3,COMPETING_REVERSIBLE,15000000.0,-0.5,316.22776601683796,0.0,1.0,246559c1960c83ca01755a208d2e67606eb4c3c9e9cbc3878e9e4a971b375fc1,f9b23ce6e9e1ca9abac75b37a6afb2d340110009f85c0147ae3b3e1c9891c831,True,True,1.2249499821715835,1.2219942003239328,7.220784569972894e-07,8.269146512972921e-07,True,-0.05887629870256568,30,30,150.00000000000006,150.00000000000006
D3,COMPETING_REVERSIBLE,18000000.0,-0.5,316.22776601683796,0.0,1.0,daa359f07bd71cd4c4761c5e517ee0f4a7a660c2e18b88efb733199ed3f4383a,32ff68fb0cd7925e607c02b4f2525cfdbe53a89f7a748e7fe1019bec999c7623,True,True,1.2233048701185167,1.2219942003239335,1.136780020909218e-06,1.1992063476028727e-06,True,-0.02321748644929242,30,30,150.00000000000006,150.00000000000006
D3,COMPETING_REVERSIBLE,21000000.0,-0.5,316.22776601683796,0.0,1.0,b83c0d0af945f1410eff09d565bfed853f9f4f9f37697ebb437cc706cdde5a62,f0ac181728b90039d8c03eeb467ede74e39ad1a5c3b6cdc7282c68efb5b19526,True,True,1.2220988683840923,1.2219942003239361,1.36740283757006e-06,1.4132510673501771e-06,True,-0.014322845338385582,30,30,150.00000000000006,150.00000000000006
D3,COMPETING_REVERSIBLE,24300000.0,-0.5,316.22776601683796,0.0,1.0,3b5371f8d4e4249b9219dea2c390ab5501720e72487b471fd709f43b4ae1c78e,e4ae105ab0463af6eadb1c61498e6ea3a0199ee3cc3638e18f3fba09f9d517d4,True,True,1.2221948961954396,1.2219942003239344,1.536550120910656e-06,1.5735010273703769e-06,True,-0.010320299682240162,30,30,150.00000000000006,150.00000000000006
D6_conditional_persistent,COMPETING_PERSISTENT,12000000.0,-0.5,316.22776601683796,0.0,1.0,1b2d517b688e54687a05558a2f49fe493956722c26e77fef95c55c970a8959d9,ffd86be4be9ecabb0a043a5eef73fbe661de22d985bf7308cecbb238024d69c7,True,True,1.221036960686047,1.221994200323934,5.36984172872602e-09,8.309732880447913e-08,True,-1.1896255779982863,30,30,150.00000000000006,150.00000000000006
D6_conditional_persistent,COMPETING_PERSISTENT,15000000.0,-0.5,316.22776601683796,0.0,1.0,1e92a9316a4609f46240509e4e0081be71ff5e2b608a7c0e15e2165cad9fb448,4c0ba15946ff89f23d378a726545540d70ffa950067ccd5c9d31a29fe84b7d79,True,True,1.2212357275800496,1.2219942003239328,6.202102635362845e-07,8.269146512972921e-07,True,-0.1249217379660838,30,30,150.00000000000006,150.00000000000006
D6_conditional_persistent,COMPETING_PERSISTENT,18000000.0,-0.5,316.22776601683796,0.0,1.0,e47895bf415cfb41c1a49273c67047673adc35fb93ecce10607aa621609fea2c,211ac7fe0e6d98b5624812f2f7815f6281ce5888c5d8527f624229d6696bfc49,True,True,1.2287645160080962,1.2219942003239335,1.0863654862945367e-06,1.1992063476028727e-06,True,-0.04291795897047157,30,30,150.00000000000006,150.00000000000006
D6_conditional_persistent,COMPETING_PERSISTENT,21000000.0,-0.5,316.22776601683796,0.0,1.0,a2c4082fb5decb2fb83c06d51a22914ef4718b024c254fd370e562848d38a782,e15f9e37cac25967be6fddf7691621dd72c2205b78b3ae9c0da2f823620bdddf,True,True,1.224157566136318,1.2219942003239361,1.3301911213386722e-06,1.4132510673501771e-06,True,-0.026305277419709235,30,30,150.00000000000006,150.00000000000006
D6_conditional_persistent,COMPETING_PERSISTENT,24300000.0,-0.5,316.22776601683796,0.0,1.0,664f942742a6485fa18022e61b67fdc37a67e9f049f40605092d4bb7273c3f96,ad73e6e3edaaac94dd645190a77117b316094e6ba1d33e06133ade5d3deec8b7,True,True,1.2217429501699346,1.2219942003239344,1.505357277065557e-06,1.5735010273703769e-06,True,-0.019227444471334846,30,30,150.00000000000006,150.00000000000006
