study,branch,branch_full_sha,is_ancestor_of_base,artifact_dir,tracked_file_count,artifact_listing_sha256,shares_artifact_dir_hashed_under
causal_pilot,codex/v10.2.30-crack-rebonding-causal-pilot,dce8cc0fb9e2fcc5ec056687395bcc01dc989831,True,,0,,
causal_pilot_v2,codex/v10.2.30-crack-rebonding-causal-pilot-v2,87377842858dd11b8fab5a756555d721c029e27d,False,crack_rebonding_causal_pilot_v2,13,7e4c7ba716171ce9f61781e6994cefe595b16da704c6522e3258464c2ba38781,
minimal_slope_screen,codex/v10.2.30-crack-rebonding-minimal-slope-screen,c742722cb12d79f941b17a470d275a624768392a,True,crack_rebonding_minimal_slope_screen_v1,7,fab1dc752b7e8a54e31f2d2db104dd5e8f6514abbd68d2ce4cec5e3683ce13de,
slope_exposure_continuation,codex/v10.2.30-crack-rebonding-slope-exposure-continuation,4916fe282d32ed2e0bef15a812878c52b7a9db0b,True,crack_rebonding_slope_exposure_continuation,7,066c9109f6b3ecc69d70572edd8749539a2121f014ddf83d0e3f14f2e0fab381,
developed_confirmation,codex/v10.2.30-crack-rebonding-developed-confirmation,abe82a6701ad5d85e601b9d06270f23d88a5278e,True,crack_rebonding_developed_confirmation,16,c06f51b4a4950261fc90ba44d96560bc0b4172c49838bf5b6bcbef503d503972,
developed_decomposition_repair,codex/v10.2.30-crack-rebonding-developed-decomposition-repair,239a754a7cd5ab9f1a99da2ae8389c39452ed87f,True,crack_rebonding_developed_confirmation,16,c06f51b4a4950261fc90ba44d96560bc0b4172c49838bf5b6bcbef503d503972,crack_rebonding_developed_confirmation
developed_evidence_hardening,codex/v10.2.30-crack-rebonding-developed-evidence-hardening,a0edd6cb80dcd15adfee71bcb27c0b310103e09d,True,crack_rebonding_developed_confirmation,16,c06f51b4a4950261fc90ba44d96560bc0b4172c49838bf5b6bcbef503d503972,crack_rebonding_developed_confirmation
static_shield_attribution,codex/v10.2.30-crack-rebonding-static-shield-attribution,767a42a0136bbbe15de0212229d8dd1842df4605,True,crack_rebonding_static_shield_attribution,10,09dbf9d8b2682020226b625eedeab3195c80f17f29443eda024e97f0306bd7b9,
static_shield_evidence_hardening,codex/v10.2.30-crack-rebonding-static-shield-evidence-hardening,a72d46557f5eba45c8c2e0a428574e5b9b624c81,True,crack_rebonding_static_shield_attribution,10,09dbf9d8b2682020226b625eedeab3195c80f17f29443eda024e97f0306bd7b9,crack_rebonding_static_shield_attribution
