protocol,row_name,config_hash,material_row_hash,Kmax_Pa_sqrt_m,R,frequency_Hz,minimum_load_hold_s,chemistry_factor,K_rebond_max_target_Pa_sqrt_m,seed,integrator_mode,physical_producer_sha,canonical_job_key,cohesion,note,alias_of_protocol,alias_of_row_name,status,max_wall_seconds_override
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,12000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,explicit,2fbca77fe6bb88e6a32a31f030f5bb9ddbd2a802,5a7a538fb1d73d286830542d49090d17c43c7761fe6c9b8e733149ef974dac1d,ceiling_static,wall-budget retry of a censored (5/30 events) original attempt,,,AUTHORIZED_PX5,21600.0
D5,PASSIVATION_LIMITED,57e5dc4bd44f626f6062237a31e5014353654a5c9b1c446ac70dc1e8e0bd9fdd,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,12000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,explicit,2fbca77fe6bb88e6a32a31f030f5bb9ddbd2a802,516728278cdc9c060cb5155cece1044bac43bbd8db79b5508b7f352da4785752,ceiling_static,wall-budget retry of a censored (5/30 events) original attempt,,,AUTHORIZED_PX5,21600.0
