protocol,Kmax_MPa_sqrt_m,first_event_ratio_dynamic,first_event_ratio_ceiling,first_event_ratio_orbit_matched,static_shield_first_event_bit_identical_to_zero,first_event_ratios_within_certified_numerical_tolerance,approach_event_dynamic,approach_event_ceiling,approach_event_orbit_matched
D2,12.0,0.9999999999793385,1.0,1.0,True,True,3,3,1
D2,15.0,1.0000000571973604,1.0,1.0,True,True,1,1,0
D2,18.0,1.000000376647368,1.0,1.0,True,True,0,0,0
D2,21.0,1.0000061872814405,1.0,1.0,True,True,0,0,0
D2,24.3,1.0000802867255851,1.0,1.0,True,True,0,0,0
D5,12.0,0.9999999999793385,1.0,1.0,True,True,3,3,1
D5,15.0,1.0000000571973604,1.0,1.0,True,True,1,1,0
D5,18.0,1.000000376647368,1.0,1.0,True,True,0,0,0
D5,21.0,1.0000061872814405,1.0,1.0,True,True,0,0,0
D5,24.3,1.0000802867255851,1.0,1.0,True,True,0,0,0
