protocol,Kmax_lo_Pa_sqrt_m,Kmax_hi_Pa_sqrt_m,S_h_lo,S_h_hi,local_secant_slope_m,curvature_delta_slope_at_Kmax_hi
D1,12000000.0,15000000.0,-1.190022511067047,-0.12534200286643923,10.986279695495448,
D1,15000000.0,18000000.0,-0.12534200286643923,-0.042943615703499,1.0406300895211995,-9.945649605974248
D1,18000000.0,21000000.0,-0.042943615703499,-0.026574271048372105,0.24451276521916457,-0.796117324302035
D1,21000000.0,24300000.0,-0.026574271048372105,-0.019056953815837732,0.11859402936077142,-0.12591873585839314
D2,12000000.0,15000000.0,-1.190247585901405,-0.12593677594792968,10.98246483430972,
D2,15000000.0,18000000.0,-0.12593677594792968,-0.0435803582695874,1.040100046276203,-9.942364788033517
D2,18000000.0,21000000.0,-0.0435803582695874,-0.027322813315269555,0.24284278669702905,-0.7972572595791738
D2,21000000.0,24300000.0,-0.027322813315269555,-0.019688210372243064,0.12044434172134368,-0.12239844497568537
D5,12000000.0,15000000.0,-1.1902023788617737,-0.1260044756006598,10.981299766956445,
D5,15000000.0,18000000.0,-0.1260044756006598,-0.04363093463566765,1.0403163005978333,-9.940983466358611
D5,18000000.0,21000000.0,-0.04363093463566765,-0.027300440627894502,0.2439324439286574,-0.7963838566691759
D5,21000000.0,24300000.0,-0.027300440627894502,-0.01968113610902707,0.12020299208718951,-0.12372945184146789
D3,12000000.0,15000000.0,-0.39854788750969994,-0.05887629870256568,3.5050205676775317,
D3,15000000.0,18000000.0,-0.05887629870256568,-0.02321748644929242,0.4503441664939899,-3.0546764011835417
D3,18000000.0,21000000.0,-0.02321748644929242,-0.014322845338385582,0.13286135391979342,-0.31748281257419647
D3,21000000.0,24300000.0,-0.014322845338385582,-0.010320299682240162,0.06314460363710182,-0.0697167502826916
D6_conditional_persistent,12000000.0,15000000.0,-1.1896255779982863,-0.1249217379660838,10.986520453192925,
D6_conditional_persistent,15000000.0,18000000.0,-0.1249217379660838,-0.04291795897047157,1.0356464830862784,-9.950873970106647
D6_conditional_persistent,18000000.0,21000000.0,-0.04291795897047157,-0.026305277419709235,0.2481475458707549,-0.7874989372155234
D6_conditional_persistent,21000000.0,24300000.0,-0.026305277419709235,-0.019227444471334846,0.11166067661177548,-0.13648686925897943
