protocol,row_name,config_hash,Kmax_Pa_sqrt_m,R,frequency_Hz,minimum_load_hold_s,chemistry_factor,K_rebond_max_target_Pa_sqrt_m,seed,cohesion,status,note
D1,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,12000000.0,-0.95,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D1,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,12000000.0,-0.95,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D1,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,15000000.0,-0.95,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D1,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,15000000.0,-0.95,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D1,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,18000000.0,-0.95,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D1,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,18000000.0,-0.95,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D1,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,21000000.0,-0.95,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D1,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,21000000.0,-0.95,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D1,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,24300000.0,-0.95,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D1,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,24300000.0,-0.95,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,12000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,12000000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,15000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,15000000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,18000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,18000000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,21000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,21000000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,24300000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,24300000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D3,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,12000000.0,-0.5,100.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D3,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,12000000.0,-0.5,100.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D3,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,15000000.0,-0.5,100.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D3,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,15000000.0,-0.5,100.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D3,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,18000000.0,-0.5,100.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D3,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,18000000.0,-0.5,100.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D3,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,21000000.0,-0.5,100.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D3,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,21000000.0,-0.5,100.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D3,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,24300000.0,-0.5,100.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D3,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,24300000.0,-0.5,100.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D4,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,12000000.0,-0.5,1000.0,0.0005,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
