canonical_job_key,protocol,row_name,cohesion,Kmax_Pa_sqrt_m,R,frequency_Hz,seed,physical_producer_sha,n_accepted_events,extension_m,terminal_cumulative_cycles,max_event_cumulative_cycles,raw_censored,raw_censor_reason,cycle_horizon,margin_orders_of_magnitude_below_horizon,admitted,classification
5c227ccbf33c3ff2da1a000c4a54d70a5d5fd568bc8142addf45b3b73b1390fe,D1,COMPETING_REVERSIBLE,finite,15000000.0,-0.95,1000.0,1720,578ef3ba77d7fd30880068e5f1ec34915aae5e57,30,0.00015000000000000007,784.8020559848436,784.8020559848436,False,,1000000000000.0,9.11,True,CYCLE_HORIZON_GUARD_INACTIVE_PROVEN
8eb2adc0ea2054adda20eac1b1612d93b8a3c6e906b58ec250a408356f1931fc,D1,COMPETING_REVERSIBLE,finite,21000000.0,-0.95,1000.0,1720,578ef3ba77d7fd30880068e5f1ec34915aae5e57,30,0.00015000000000000007,368.80831572268664,368.80831572268664,False,,1000000000000.0,9.43,True,CYCLE_HORIZON_GUARD_INACTIVE_PROVEN
aab2d4224c3912d8cbc72551eaafcf3078e2a1f62ae0704259d84b6d22977055,D1,COMPETING_REVERSIBLE,finite,24300000.0,-0.95,1000.0,1720,578ef3ba77d7fd30880068e5f1ec34915aae5e57,30,0.00015000000000000007,326.5934590049767,326.5934590049767,False,,1000000000000.0,9.49,True,CYCLE_HORIZON_GUARD_INACTIVE_PROVEN
de0e3e9c4f36427c5fbdf6a9602db9e11eee4ae42b4cb664f8a5fbec0bee8c98,D1,COMPETING_REVERSIBLE,finite,12000000.0,-0.95,1000.0,1720,578ef3ba77d7fd30880068e5f1ec34915aae5e57,30,0.00015000000000000007,90177.06180303267,90177.06180303267,False,,1000000000000.0,7.04,True,CYCLE_HORIZON_GUARD_INACTIVE_PROVEN
09a9617b7e212b6f66840f724a3f004e1691108e56f3a788ecf8ace70890365b,D1,COMPETING_REVERSIBLE,zero,24300000.0,-0.95,1000.0,1720,578ef3ba77d7fd30880068e5f1ec34915aae5e57,30,0.00015000000000000007,312.62744172793674,312.62744172793674,False,,1000000000000.0,9.5,True,CYCLE_HORIZON_GUARD_INACTIVE_PROVEN
5369cd8928d1ac46602e106cc1a63b428e0cf86aad024cc5bb9a402a37bccc49,D1,COMPETING_REVERSIBLE,zero,12000000.0,-0.95,1000.0,1720,578ef3ba77d7fd30880068e5f1ec34915aae5e57,30,0.00015000000000000007,5835.655290668648,5835.655290668648,False,,1000000000000.0,8.23,True,CYCLE_HORIZON_GUARD_INACTIVE_PROVEN
7e70210b8f4ab56ef61b82cc6595353b13e626c3a27dddb4a25a25ead515e62c,D1,COMPETING_REVERSIBLE,zero,15000000.0,-0.95,1000.0,1720,578ef3ba77d7fd30880068e5f1ec34915aae5e57,30,0.00015000000000000007,588.4640658005469,588.4640658005469,False,,1000000000000.0,9.23,True,CYCLE_HORIZON_GUARD_INACTIVE_PROVEN
e71b63e3fee180485ed4d5c8c4efb1cbc7ad1a5639b68bc1cc618d2892b00dc2,D1,COMPETING_REVERSIBLE,zero,21000000.0,-0.95,1000.0,1720,578ef3ba77d7fd30880068e5f1ec34915aae5e57,30,0.00015000000000000007,346.9895814127889,346.9895814127889,False,,1000000000000.0,9.46,True,CYCLE_HORIZON_GUARD_INACTIVE_PROVEN
42348cf95208defcc6c110b655b7c4146f39bccad08f5079c8db8a4288a627fb,D2,COMPETING_REVERSIBLE,finite,24300000.0,-0.5,1000.0,1720,578ef3ba77d7fd30880068e5f1ec34915aae5e57,30,0.00015000000000000007,282.4385572502018,282.4385572502018,False,,1000000000000.0,9.55,True,CYCLE_HORIZON_GUARD_INACTIVE_PROVEN
9b780af5e7ba60536b728cbb3c7b343db148b49b152ee016da8c5665cabbdb0c,D2,COMPETING_REVERSIBLE,finite,21000000.0,-0.5,1000.0,1720,578ef3ba77d7fd30880068e5f1ec34915aae5e57,30,0.00015000000000000007,320.0121757211134,320.0121757211134,False,,1000000000000.0,9.49,True,CYCLE_HORIZON_GUARD_INACTIVE_PROVEN
