protocol,row_name,config_hash,material_row_hash,Kmax_Pa_sqrt_m,R,frequency_Hz,minimum_load_hold_s,chemistry_factor,K_rebond_max_target_Pa_sqrt_m,seed,integrator_mode,physical_producer_sha,canonical_job_key,cohesion,note,alias_of_protocol,alias_of_row_name,status,max_wall_seconds_override
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,12000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,explicit,7a044e0673a35de8b8c945c54df009a612b10015,95e4e23c6b8495856f82742923c4f54c3a9b85cc1445e1f4d2ccfb40f2d7a48d,ceiling_static,,,,SUPERSEDED_WALL_BUDGET_TOO_SMALL,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,15000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,explicit,7a044e0673a35de8b8c945c54df009a612b10015,fff3f17cef5d6490e127ba5506ee383aad83a62254a05e44e34c73b9f177bcfd,ceiling_static,,,,AUTHORIZED_PX5,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,18000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,explicit,7a044e0673a35de8b8c945c54df009a612b10015,def756cd42a35474bba54b5db616df172f876721565012c0585ca1a903bcf685,ceiling_static,,,,AUTHORIZED_PX5,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,21000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,explicit,7a044e0673a35de8b8c945c54df009a612b10015,9a9ef987660b53e316a31fade370f63efa47f5d7782aef63912e68ffbee6fc45,ceiling_static,,,,AUTHORIZED_PX5,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,24300000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,explicit,7a044e0673a35de8b8c945c54df009a612b10015,8c2fdb9e6ee30fac0119e7ead79eb61f4f93d31ab36c799b6aa1f64f10240177,ceiling_static,,,,AUTHORIZED_PX5,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,12000000.0,-0.5,1000.0,0.0,1.0,267938.3087354785,1720,explicit,7a044e0673a35de8b8c945c54df009a612b10015,476371422d32d29d56ec06d9c033b8a965adf69b69d51f490850b46b3842baf4,orbit_matched_static,,,,AUTHORIZED_PX5,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,15000000.0,-0.5,1000.0,0.0,1.0,278241.39318896405,1720,explicit,7a044e0673a35de8b8c945c54df009a612b10015,a1c1b625f99fa1700a4a3d9ba26b4a5ce30cff45704e680219d0a4a0d768875e,orbit_matched_static,,,,AUTHORIZED_PX5,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,18000000.0,-0.5,1000.0,0.0,1.0,288113.3789254997,1720,explicit,7a044e0673a35de8b8c945c54df009a612b10015,ca6f809a3d30cba2b869314076e15aa8b41fbbe22bb37fa2f61b88ae0b3ddeeb,orbit_matched_static,,,,AUTHORIZED_PX5,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,21000000.0,-0.5,1000.0,0.0,1.0,297428.2200276391,1720,explicit,7a044e0673a35de8b8c945c54df009a612b10015,90e09720d1f9cbfa354ea866d59f7acac4a95559a215be7c1a67362e60cf44b2,orbit_matched_static,,,,AUTHORIZED_PX5,
D2,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,24300000.0,-0.5,1000.0,0.0,1.0,306896.9789173997,1720,explicit,7a044e0673a35de8b8c945c54df009a612b10015,12067287ed910aed12bc8671eee7e30fe611069306c3e967fe4879feb403c24d,orbit_matched_static,,,,AUTHORIZED_PX5,
D5,PASSIVATION_LIMITED,57e5dc4bd44f626f6062237a31e5014353654a5c9b1c446ac70dc1e8e0bd9fdd,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,12000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,explicit,7a044e0673a35de8b8c945c54df009a612b10015,1973ea7df6540425cb421b7baefc70f721eec74fea019f9116391eef39fdd426,ceiling_static,,,,SUPERSEDED_WALL_BUDGET_TOO_SMALL,
D5,PASSIVATION_LIMITED,57e5dc4bd44f626f6062237a31e5014353654a5c9b1c446ac70dc1e8e0bd9fdd,04518e244b7a446a120ea6e2d15a68758cb54a225d099609deeb23da32679971,15000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,explicit,7a044e0673a35de8b8c945c54df009a612b10015,df2881a8baf711e30d2525a989c9396dfc0f84c6ff5a5a050b006c481953a15c,ceiling_static,,,,AUTHORIZED_PX5,
