row_family,candidate_label,A_on_ref,A_off_ref,delta_rupture_barrier_eV,depassivation_barrier_eV,repassivation_barrier_eV,mean_p_B,swing_p_B,A_CB,A_BC,mean_p_P,mean_p_C,A_PC,A_CP,F_PC,F_CP,any_barrier_floored,any_cooperative_saturated,gates_passed,selected
COMPETING_REVERSIBLE,A_on=1.0_A_off=1.0,1.0,1.0,,,,0.33414517335285226,0.3074415659135863,1.020175028926329,0.9760273972357842,,,,,,,False,False,True,False
COMPETING_REVERSIBLE,A_on=2.0_A_off=2.0,2.0,2.0,,,,0.3201259765838885,0.5070171761624868,2.040350057849245,1.9520547945205748,,,,,,,False,False,True,True
COMPETING_REVERSIBLE,A_on=3.0_A_off=3.0,3.0,3.0,,,,0.3066456604006914,0.6029413532074297,3.060525086769239,2.92808219177751,,,,,,,False,False,False,False
COMPETING_REVERSIBLE,A_on=1.5_A_off=1.5,1.5,1.5,,,,0.32746294096190554,0.4226935448153983,1.5302625433883954,1.4640410945543891,,,,,,,False,False,True,False
COMPETING_REVERSIBLE,A_on=2.5_A_off=2.5,2.5,2.5,,,,0.3130278314597991,0.5649091922489216,2.550437572314288,2.4400684931143957,,,,,,,False,False,True,False
COMPETING_REVERSIBLE,A_on=2.0_A_off=1.0,2.0,1.0,,,,0.4233781965081263,0.38007552616465934,2.040350057849245,0.9760273972357842,,,,,,,False,False,True,False
COMPETING_REVERSIBLE,A_on=1.0_A_off=2.0,1.0,2.0,,,,0.23297474760833575,0.3855177374263969,1.020175028926329,1.9520547945205748,,,,,,,False,False,False,False
COMPETING_PERSISTENT,delta_rupture_barrier_eV=0.05,,,0.05,,,0.57077343946389,0.15810144317198105,2.040350057849245,0.2821817830257648,,,,,,,False,False,True,True
COMPETING_PERSISTENT,delta_rupture_barrier_eV=0.08,,,0.08,,,0.6334087371178705,0.05571149132244868,2.040350057849245,0.0884201311575103,,,,,,,False,False,True,False
COMPETING_PERSISTENT,delta_rupture_barrier_eV=0.1,,,0.1,,,0.6509161254204038,0.026488742641016527,2.040350057849245,0.040791149354573224,,,,,,,False,False,True,False
COMPETING_PERSISTENT,delta_rupture_barrier_eV=0.12,,,0.12,,,0.6593106697744099,0.012393717916144076,2.040350057849245,0.018818314832659864,,,,,,,False,False,True,False
COMPETING_PERSISTENT,delta_rupture_barrier_eV=0.15,,,0.15,,,0.6643448778397795,0.003916070838078212,2.040350057849245,0.005896616882299543,,,,,,,False,False,True,False
COMPETING_PERSISTENT,delta_rupture_barrier_eV=0.2,,,0.2,,,0.6663300793836229,0.0005679475880456808,2.040350057849245,0.0008523930118855939,,,,,,,False,False,True,False
PASSIVATION_LIMITED,depass=0.4_repass=0.4,,,,0.4,0.4,0.3433568223547891,0.5785828927658543,2.040350057849245,1.9520547945205748,0.32436297534248465,0.3322802023027262,1.3820087127204104,1.1321380202119598,0.41535951606712807,0.41535951606712807,False,False,True,True
PASSIVATION_LIMITED,depass=0.45_repass=0.45,,,,0.45,0.45,0.32130063908241496,0.5148326231032379,2.040350057849245,1.9520547945205748,0.33094861455168567,0.34775074636589903,0.19977804096855067,0.16365766272105706,0.06664517224276176,0.06664517224276167,False,False,True,False
PASSIVATION_LIMITED,depass=0.42_repass=0.42,,,,0.42,0.42,0.32701381605676993,0.5362119570093261,2.040350057849245,1.9520547945205748,0.32696493778466407,0.34602124615856594,0.6375666160173024,0.5222929492175329,0.2086583197064617,0.20865831970646154,False,False,True,False
PASSIVATION_LIMITED,depass=0.4_repass=0.45,,,,0.4,0.45,0.44988160888942497,0.72022669946644,2.040350057849245,1.9520547945205748,0.06847129130865799,0.4816470998019167,1.3820087127204104,0.16365766272105706,0.09199920781648885,0.0919992078164887,False,False,False,False
PASSIVATION_LIMITED,depass=0.45_repass=0.4,,,,0.45,0.4,0.11640929182307573,0.19800381614541815,2.040350057849245,1.9520547945205748,0.7639156448846199,0.1196750632923042,0.19977804096855067,1.1321380202119598,0.152586156647804,0.15258615664780403,False,False,True,False
PASSIVATION_LIMITED,depass=0.43_repass=0.4,,,,0.43,0.4,0.199750799702309,0.33914433598336674,2.040350057849245,1.9520547945205748,0.597539314993871,0.20270988530382023,0.43304493411753564,1.1321380202119598,0.25738323054168716,0.25738323054168716,False,False,True,False
PASSIVATION_LIMITED,depass=0.4_repass=0.42,,,,0.4,0.42,0.3985543214041579,0.65197786627432,2.040350057849245,1.9520547945205748,0.1879728394828778,0.4134728391129642,1.3820087127204104,0.5222929492175329,0.24780526988739168,0.24780526988739154,False,False,False,False
