Kmax_Pa_sqrt_m,R,frequency_Hz,minimum_load_hold_s,mean_p_P,mean_p_C,mean_p_B,max_p_B,min_p_B,A_CB,A_BC,A_PC,A_CP,F_CB,F_BC,F_PC,F_CP,contact_time_s,contact_time_sinusoid_s,contact_time_dwell_s,predicted_static_shield_equivalent_K_b_Pa_sqrt_m,any_barrier_floored,any_cooperative_saturated,convergence_residual,row_name,chemistry_factor,K_rebond_max_Pa_sqrt_m,axis
15000000.0,-0.95,100.0,0.0,0.3333333333333046,0.3515577847604386,0.3151088819062566,0.6666123003161402,3.5655318534680244e-05,9.41424655894659,9.836065573763456,0.0,0.0,0.6665766449976054,0.6665766449976058,0.0,0.0,0.005,0.005,0.0,283597.9937156309,False,False,2.220598509946676e-16,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,1000.0,0.0,0.3333333333333331,0.3420513669583238,0.3246152997083433,0.47606269006052043,0.17802838252899197,0.9414246558946588,0.9836065573763468,0.0,0.0,0.29803430753152854,0.29803430753152843,0.0,0.0,0.0005,0.0005,0.0,292153.76973750896,False,False,5.551115123125783e-17,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,10000.0,0.0,0.3333333333333386,0.3406529507360079,0.3260137159306535,0.3420623495378018,0.31001862406351394,0.0941424655894659,0.09836065573763456,0.0,0.0,0.03204372547428774,0.0320437254742877,0.0,0.0,5e-05,5e-05,0.0,293412.3443375881,False,False,5.551115123125783e-17,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,100.0,0.0,0.3333333333332891,0.42291679651361697,0.2437498701530938,0.6271008357957544,3.354195541105056e-05,2.824273967683978,9.836065573763456,0.0,0.0,0.6270672938403432,0.6270672938403434,0.0,0.0,0.005,0.005,0.0,219374.8831377844,False,False,4.440968330811577e-16,SAT_EXISTING,0.3,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,1000.0,0.0,0.33333333333335047,0.5140991715144025,0.15256749515224693,0.22844073691930428,0.08542768787930984,0.2824273967683977,0.9836065573763468,0.0,0.0,0.14301304903999446,0.1430130490399945,0.0,0.0,0.0005,0.0005,0.0,137310.74563702225,False,False,1.1102230246251565e-16,SAT_EXISTING,0.3,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,10000.0,0.0,0.33333333333333065,0.5179065132042578,0.14876015346241148,0.15611814572473165,0.1414933061014357,0.028242739676839764,0.09836065573763456,0.0,0.0,0.01462483962329589,0.014624839623295924,0.0,0.0,5e-05,5e-05,0.0,133884.13811617033,False,False,0.0,SAT_EXISTING,0.3,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,100.0,0.0,0.33333333333335624,0.5311031190391787,0.13556354762746525,0.4066273362716023,2.1749414453943714e-05,0.9414246558946575,9.836065573763456,0.0,0.0,0.40660558685714837,0.4066055868571484,0.0,0.0,0.005,0.005,0.0,122007.19286471873,False,False,1.1102314949223176e-16,SAT_EXISTING,0.1,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,1000.0,0.0,0.33333333333328713,0.6063916455420274,0.06027502112468557,0.09080409778758218,0.03395709639432692,0.09414246558946576,0.9836065573763468,0.0,0.0,0.05684700139325525,0.056847001393255256,0.0,0.0,0.0005,0.0005,0.0,54247.51901221702,False,False,3.3486903561235222e-16,SAT_EXISTING,0.1,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,10000.0,0.0,0.33333333333333104,0.6084117938433163,0.05825487282335219,0.06114019961871516,0.05541270644481722,0.009414246558946576,0.09836065573763456,0.0,0.0,0.005727493173897953,0.005727493173897966,0.0,0.0,5e-05,5e-05,0.0,52429.38554101697,False,False,1.1102230246251565e-16,SAT_EXISTING,0.1,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,100.0,0.0005,0.3333333333332958,0.33934569154292155,0.3273209751237827,0.6666125855686241,0.0035333730052245125,10.69678237386974,9.836065573763456,0.0,0.0,1.1413339187935339,1.141333918793534,0.0,0.0,0.0055,0.005,0.0004999999999999996,294588.87761140446,False,False,2.3714374201337736e-16,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,1000.0,0.0005,0.33333333333330173,0.2542731130138325,0.41239355365286584,0.5739580592456303,0.3323805925801473,2.223960470817808,0.9836065573763468,0.0,0.0,0.4341185956606056,0.43411859566060573,0.0,0.0,0.001,0.0005,0.0005,371154.19828757923,False,False,2.237726045655905e-16,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,10000.0,0.0005,0.33333333333335363,0.07277951194441797,0.5938871547222282,0.645193092668012,0.5892378609894371,1.376678280512615,0.09836065573763456,0.0,0.0,0.060666511908737696,0.06066651190873766,0.0,0.0,0.00055,5e-05,0.0005,534498.4392500054,False,False,1.1123893155135927e-16,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,100000.0,0.0005,0.33333333333332804,0.008857828751866099,0.6578088379148054,0.6641923282303228,0.6577447671272697,1.2919500614820958,0.009836065573763465,0.0,0.0,0.0065012782113033655,0.006501278211303362,0.0,0.0,0.000505,5e-06,0.0005,592027.9541233248,False,False,1.1102314949223176e-16,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,100.0,0.0005,0.3333333333332944,0.4222164272377842,0.24445023942892138,0.6271926240600642,0.0015800556038074464,3.209034712160923,9.836065573763456,0.0,0.0,0.8370719119702552,0.8370719119702555,0.0,0.0,0.0055,0.005,0.0004999999999999996,220005.21548602925,False,False,2.3714374201337736e-16,SAT_EXISTING,0.3,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,1000.0,0.0005,0.33333333333332615,0.42094389157165724,0.24572277509501647,0.34797111690040383,0.19841916675417823,0.6671881412453424,0.9836065573763468,0.0,0.0,0.2612271315416749,0.26122713154167504,0.0,0.0,0.001,0.0005,0.0005,221150.49758551482,False,False,5.551115123125783e-17,SAT_EXISTING,0.3,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,10000.0,0.0005,0.3333333333333159,0.14980382550510066,0.5168628411615835,0.5619302667679718,0.5127813757099228,0.4130034841537846,0.09836065573763456,0.0,0.0,0.0528165298511601,0.05281652985116016,0.0,0.0,0.00055,5e-05,0.0005,465176.5570454252,False,False,1.1443916996305594e-16,SAT_EXISTING,0.3,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,100.0,0.0005,0.33333333333335896,0.532759335155121,0.1339073315115197,0.40685524567462733,0.0006060250503402756,1.0696782373869722,9.836065573763456,0.0,0.0,0.4861375274557907,0.486137527455791,0.0,0.0,0.0055,0.005,0.0004999999999999996,120516.59836036773,False,False,1.1443916996305594e-16,SAT_EXISTING,0.1,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,1000.0,0.0005,0.3333333333332974,0.5537533459533033,0.11291332071339942,0.16052678829981254,0.09126597565678016,0.22239604708178054,0.9836065573763468,0.0,0.0,0.12033886317815191,0.12033886317815196,0.0,0.0,0.001,0.0005,0.0005,101621.98864205948,False,False,2.2887833992611187e-16,SAT_EXISTING,0.1,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,10000.0,0.0005,0.33333333333332277,0.29273568547563694,0.37393098119103996,0.4065678810189401,0.37097563857490606,0.13766782805126135,0.09836065573763456,0.0,0.0,0.038212210001170505,0.03821221000117057,0.0,0.0,0.00055,5e-05,0.0005,336537.88307193597,False,False,7.850462293418876e-17,SAT_EXISTING,0.1,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,100.0,0.002,0.33333333333328374,0.3707832744024202,0.2958833922642962,0.6666126927030546,0.004847037150638324,14.544389818639187,9.836065573763456,0.0,0.0,1.319642079779042,1.3196420797790422,0.0,0.0,0.007,0.005,0.002,266295.0530378666,False,False,3.3307142486596306e-16,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,1000.0,0.002,0.3333333333332926,0.2717727160867395,0.39489395057996807,0.6647674885935213,0.3456270733435096,6.071567915587256,0.9836065573763468,0.0,0.0,0.47781099292352414,0.47781099292352414,0.0,0.0,0.0025,0.0005,0.002,355404.55552197126,False,False,3.330686720348457e-16,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,10000.0,0.002,0.33333333333336296,0.058593256296612925,0.6080734103700244,0.6663116750184074,0.6066584052034909,5.224285725282063,0.09836065573763456,0.0,0.0,0.06255816980430258,0.0625581698043026,0.0,0.0,0.00205,5e-05,0.002,547266.069333022,False,False,2.2204466448202742e-16,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,100000.0,0.002,0.3333333333333308,0.006516272066436619,0.6601503946002331,0.6666280214094847,0.6601340208733617,5.139557506251543,0.009836065573763465,0.0,0.0,0.0065250069925160735,0.006525006992516074,0.0,0.0,0.002005,5e-06,0.002,594135.3551402098,False,False,6.776263578034403e-21,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,100.0,0.002,0.33333333333329257,0.4367645954118802,0.22990207125482737,0.6273265549098376,0.0038366173620993727,4.363316945591757,9.836065573763456,0.0,0.0,1.1434955835803025,1.1434955835803027,0.0,0.0,0.007,0.005,0.002,206911.86412934464,False,False,2.2887833992611187e-16,SAT_EXISTING,0.3,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,1000.0,0.002,0.33333333333328685,0.3575159794020784,0.30915068726463474,0.5802398890637506,0.2639067953028152,1.821470374676177,0.9836065573763468,0.0,0.0,0.3930601156767326,0.3930601156767329,0.0,0.0,0.0025,0.0005,0.002,278235.6185381713,False,False,3.3335590258932494e-16,SAT_EXISTING,0.3,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,10000.0,0.002,0.3333333333333157,0.07455245076625854,0.5921142159004258,0.6503652410896587,0.5906999321597854,1.5672857175846189,0.09836065573763456,0.0,0.0,0.06098842885073486,0.06098842885073485,0.0,0.0,0.00205,5e-05,0.002,532902.7943103833,False,False,1.1107649934270853e-16,SAT_EXISTING,0.3,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,100.0,0.002,0.33333333333335285,0.5396134917467758,0.12705317491987095,0.4073871802181023,0.001969708994523848,1.4544389818639165,9.836065573763456,0.0,0.0,0.6717629819206332,0.6717629819206336,0.0,0.0,0.007,0.005,0.002,114347.85742788385,False,False,1.2412670766236366e-16,SAT_EXISTING,0.1,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,1000.0,0.002,0.33333333333331344,0.4776058387931159,0.18906082787357056,0.36355137523873066,0.1603675881858607,0.6071567915587248,0.9836065573763468,0.0,0.0,0.24310697196249317,0.24310697196249328,0.0,0.0,0.0025,0.0005,0.002,170154.74508621352,False,False,1.2412670766236366e-16,SAT_EXISTING,0.1,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.95,10000.0,0.002,0.3333333333333188,0.1331415724294435,0.5335250942372376,0.5861909130366867,0.5322465266896772,0.5224285725282057,0.09836065573763456,0.0,0.0,0.05496204527212714,0.05496204527212715,0.0,0.0,0.00205,5e-05,0.002,480172.58481351385,False,False,1.1188630228279524e-16,SAT_EXISTING,0.1,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.5,100.0,0.0,0.3333333333332976,0.42311110379507927,0.2435555628716231,0.6622803663001324,5.601959181897794e-06,5.023795637219015,11.680327868844103,0.0,0.0,0.6622747643409505,0.6622747643409506,0.0,0.0,0.0040625,0.0040625,0.0,219200.0065844608,False,False,3.3306697797361844e-16,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.5,1000.0,0.0,0.33333333333332343,0.46332603704081704,0.20334062962585994,0.32429666234691445,0.1008491599337671,0.5023795637219014,1.168032786884412,0.0,0.0,0.22344750241314737,0.22344750241314743,0.0,0.0,0.00040625000000000004,0.00040625000000000004,0.0,183006.56666327396,False,False,5.551115123125783e-17,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.5,10000.0,0.0,0.33333333333331827,0.46613516147723455,0.20053150518944707,0.21233490498704785,0.188927149809505,0.05023795637219014,0.11680327868844101,0.0,0.0,0.023407755177542785,0.023407755177542792,0.0,0.0,4.0625e-05,4.0625e-05,0.0,180478.35467050236,False,False,6.206335383118183e-17,SAT_EXISTING,1.0,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.5,100.0,0.0,0.3333333333333258,0.5117751980027014,0.15489146866397271,0.5189723226579723,4.389774959366888e-06,1.5071386911657045,11.680327868844103,0.0,0.0,0.518967932883013,0.518967932883013,0.0,0.0,0.0040625,0.0040625,0.0,139402.32179757545,False,False,2.168404344971009e-19,SAT_EXISTING,0.3,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.5,1000.0,0.0,0.3333333333332984,0.5877597461464512,0.07890692052025065,0.12732702560128234,0.039595916516150194,0.15071386911657045,1.168032786884412,0.0,0.0,0.08773110908513214,0.08773110908513214,0.0,0.0,0.00040625000000000004,0.00040625000000000004,0.0,71016.22846822558,False,False,2.2591401799415137e-16,SAT_EXISTING,0.3,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.5,10000.0,0.0,0.33333333333331766,0.5904481044385855,0.07621856222809682,0.0807148706345688,0.07181688030595902,0.015071386911657044,0.11680327868844101,0.0,0.0,0.008897990328609764,0.00889799032860976,0.0,0.0,4.0625e-05,4.0625e-05,0.0,68596.70600528714,False,False,1.1188630228279524e-16,SAT_EXISTING,0.3,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.5,100.0,0.0,0.33333333333332094,0.5957081696346426,0.07095849703203666,0.2632752827068255,2.2269381101626407e-06,0.5023795637219008,11.680327868844103,0.0,0.0,0.26327305576871535,0.2632730557687154,0.0,0.0,0.0040625,0.0040625,0.0,63862.647328832994,False,False,1.1102277891752612e-16,SAT_EXISTING,0.1,900000.0,kinetic_chemistry_and_conditions
15000000.0,-0.5,1000.0,0.0,0.3333333333333294,0.6380204294202381,0.02864623724643279,0.04638152462804267,0.014423638409764654,0.050237956372190085,1.168032786884412,0.0,0.0,0.03195788621827802,0.03195788621827803,0.0,0.0,0.00040625000000000004,0.00040625000000000004,0.0,25781.61352178951,False,False,1.1107649934270853e-16,SAT_EXISTING,0.1,900000.0,kinetic_chemistry_and_conditions
