claim_label,case,run_directory,maximum_fronts,branching_enabled,temperature_K,theta_deg,hazard_seed,material_candidate,returncode,family_sha256,failure_class,network_total_new_crack_length_um,max_root_to_tip_path_extension_um,max_forward_projected_extension_um,final_step,active_front_count,retired_or_terminated_front_count,stagnant_active_front_count_last_50_steps,leading_front_id,ligament_severed_by_leading_front,termination_reason,topology_fingerprint,mesh_identity
CAPABILITY_DEMONSTRATION_NOT_VALIDATED_BRANCHING_PHYSICS,branching_disabled_control,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_current_source_branching_capability_20260829/theta40_matched_pair/theta40_control_max1_seed3621,1,False,700.0,40.0,3621,oneD_v2_focused_weak_T_0016,0,b109a2fd6fc393fc986b1f15d6edd7c37366d84c111710ea70bcaba75f426847,,425.00000000000165,425.00000000000165,300.9175216390797,662,1,0,0,b00000000,False,target_reached,a2c1c9b355cd63f90f11d4f163917057d3ea89dc8532d35576d6d02a74f76786,ebb9fb407e05c358e0046e520aa82216dc0649230bf9d33076d532d13bcf31b8
CAPABILITY_DEMONSTRATION_NOT_VALIDATED_BRANCHING_PHYSICS,branching_enabled_theta40,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_current_source_branching_capability_20260829/theta40_matched_pair/theta40_enabled_max2_seed3621,2,True,700.0,40.0,3621,oneD_v2_focused_weak_T_0016,0,b109a2fd6fc393fc986b1f15d6edd7c37366d84c111710ea70bcaba75f426847,,435.0000000000015,405.0000000000013,302.23630529007903,2182,2,1,0,b7d5efe0822562b9,False,target_reached,e9d971044def5098d416be803f476766c3f0b8bc3d5a547c4989ae3a32b137f3,33c80336790c2e66c0328076265bf1c0f8ecc1f304a8eef1c2f01216472f4067
CAPABILITY_DEMONSTRATION_NOT_VALIDATED_BRANCHING_PHYSICS,branching_enabled_theta45_fallback,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_current_source_branching_capability_20260829/theta45_fallback/theta45_enabled_max2_seed3621,2,True,700.0,45.0,3621,oneD_v2_focused_weak_T_0016,1,d3ac342a1268a748c580d394bcdf9756ef91b3fbc1795de903b4b371aec030e4,RuntimeError,105.00000000000027,70.00000000000018,49.49747468305839,460,2,1,1,b7ad021ada7289d0,False,,7b53ccb6b395c30eec0057d0b0e5e0dcd209e50001a8e58eacc89927a489c1c6,42f08c0ccedda0a7b818ef622317b7e9b0758ad3acc7dcada500366d0464a7cd
