claim_label,case,event_record_id,step,branch_junction,parent_front,arm_front_ids,arm_directions,plane_identities,event_ids_consumed,completion_time_difference_s,arm_lengths_m,tip_positions_m,tip_separation_m,shared_cluster_id,shared_cluster_state_hash,topology_fingerprint,released_energy_J_per_m,total_cost_J_per_m,energy_margin_J_per_m,maximum_daughter_length_um,maximum_daughter_accepted_event_count,final_cluster_unresolved,handoff_required,handoff_step,handoff_gate_pass,final_independently_valid_local_J,final_tip_separation_um,qualified_daughter
CAPABILITY_DEMONSTRATION_NOT_VALIDATED_BRANCHING_PHYSICS,branching_enabled_theta40,action:2:b7c323766ce6cdf2722049dc,369,"[0.0005762531945699796,-2.0867446366839387e-05]",b00000000,"[""b0fa22bb892937f8"",""b7d5efe0822562b9""]","[-0.8726646259971617,0.6981317007977305]","[""cleave:cleavage:(010):694b159e5c3c21b95300"",""cleave:cleavage:(100):77278fedde405b16bcd0""]","[""cleave:cleavage:(010):694b159e5c3c21b95300#event:0000000000000014"",""cleave:cleavage:(100):77278fedde405b16bcd0#event:0000000000000010""]",9.165796654997393e-08,"[5.000000000000025e-06,5.000000000000015e-06]","[[0.0005794671326184123,-2.4697668582434286e-05],[0.0005800834167855745,-1.7653508318406686e-05]]",7.0710678118654874e-06,jc9ec4d7327bde23,147e9cd653d81ed6f540c4b0e9068bdabfd46637e09fa762c1638b2da9cc6ed0,92b3f347ab221d5940e2a2fef166ef0e8a49b5aa37b2d0ce6c5b1b0ddc8c8d78,0.14741141338225816,9.123433073106311e-06,0.14740228994918506,295.0000000000008,59,True,False,,True,"[false,false]",296.52150006365537,False
CAPABILITY_DEMONSTRATION_NOT_VALIDATED_BRANCHING_PHYSICS,branching_enabled_theta45_fallback,action:2:47d4f0adc338000d47331cf8,315,"[0.0005106066017177982,-3.5355339059327505e-06]",b00000000,"[""b002cebdef606974"",""b7ad021ada7289d0""]","[-0.7853981633974495,0.7853981633974495]","[""cleave:cleavage:(010):ee49045e2199f60d44a1"",""cleave:cleavage:(100):5b8d6e5e817cefaf59a4""]","[""cleave:cleavage:(010):ee49045e2199f60d44a1#event:0000000000000003"",""cleave:cleavage:(100):5b8d6e5e817cefaf59a4#event:0000000000000002""]",5.161473382031545e-08,"[5.000000000000012e-06,5.000000000000012e-06]","[[0.000514142135623731,-7.071067811865501e-06],[0.000514142135623731,0.0]]",7.071067811865501e-06,jad81c9c9ac5be36,e856834b2335aa40d1bd688a0e3f35385103102d260fceadc3851306707cf583,78cd339aa13c6765d0605eb4b99149958e3f6e9031e4c614aa902dc95e8f89d9,0.019813331691636904,1.7296740503550736e-05,0.019796034951133353,55.00000000000013,11,True,False,,True,"[false,false]",65.19202405202671,False
