material_class,candidate_id,source_or_search_provenance,parameter_decision,reduced_selection_status,same_material_row_both_providers,Tref_K,rho_forest_floor_m2,peierls_stress_fraction,taylor_stress_fraction,mobile_shield_fraction,source_recovery_rate_s,L_pz_um_recommended,cleave_G00_eV,cleave_gT_eV_per_K,cleave_sigc0_GPa,cleave_sT_GPa_per_K,cleave_exp_a,cleave_exp_n,cleave_floor_frac,emit_G00_eV,emit_gT_eV_per_K,emit_sigc0_GPa,emit_sT_GPa_per_K,emit_exp_a,emit_exp_n,emit_floor_frac,peierls_H0_eV,peierls_activation_entropy_kB,peierls_exp_a,peierls_exp_n,taylor_H0_eV,taylor_activation_entropy_kB,taylor_exp_a,taylor_exp_n,taylor_corr_rho_c_m2,taylor_corr_scale,source_sites_per_system,encounter_efficiency,retained_recovery_rate_s,source_refresh_length_um,c_blunt,peierls_nu0_s,taylor_nu0_s,rho_source0_m2,recovery_nu0_s,recovery_H0_eV,recovery_activation_entropy_kB,reference_source_area_um2,reference_front_width_um,source_zone_length_um
Peak,v913_zeroD_sobol_0242980,HISTORICAL_V913_RETAINED,RETAINED_QUALIFIED_NATIVE_BASELINE,NATIVE_BASELINE_TOPOLOGY_AND_ONSET_PASS,True,481.33,5000000000000.0,0.5773502691896258,0.5773502691896258,0.0,0.0,50.0,4.011803912930191,0.0081468212408944,7.349638969637454,-0.0012099820682778,1.3227705595549195,1.2558047282509506,0.0184513317135146,2.0446315124630927,0.000941995373927,7.205215461552143,0.0013325903080403,0.0858719444833695,1.1423492641188204,0.0058420097608974,6.368386985268444,12.2265643812716,1.9097672308795155,1.1372957159765065,1.6986502355337143,38.45378890633583,0.4561179580539465,1.2506696581840515,58780073970578.01,0.8638954413677038,141.0590567476921,9.160246308716648,0.0,0.0,2.687256144359708,1000000000000.0,100000000000.0,1.4102520844479966e+16,0.0,0.0,0.0,25.0,10.0,2.0
DBTT,v913_zeroD_sobol_0202500,HISTORICAL_V913_RETAINED,RETAINED_QUALIFIED_NATIVE_BASELINE,NATIVE_BASELINE_TOPOLOGY_AND_ONSET_PASS,True,481.33,5000000000000.0,0.5773502691896258,0.5773502691896258,0.0,0.0,50.0,2.357721022795886,0.0056085130451247,6.7501407796517015,-0.0012041387008503,0.4968366474844515,2.618804107885808,0.026239358201278,3.344896922819316,0.0061668124636635,2.7143102660775185,-0.0052233074344694,0.1572539726179093,0.5156166724395007,0.0103682254353579,3.525720003992319,-36.33932862430811,1.448395521938801,1.871259921230376,1.4998139148950578,31.365934647619724,0.7048910272121429,0.5389550719410181,22042481205294.297,1.2690231726199324,141.0590567476921,9.160246308716648,0.0,0.0,2.929164256900549,1000000000000.0,100000000000.0,523948859759023.8,0.0,0.0,0.0,25.0,10.0,2.0
weak-T,oneD_v2_focused_weak_T_0016,FOCUSED_TOPOLOGY_TREND_HYPERRECTANGLE,NEW_SHARED_TWO_PROVIDER_FINALIST,FULL_CLASS_CONTRACT_PASS,True,481.33,5000000000000.0,0.5773502691896258,0.5773502691896258,0.0,0.0,50.0,3.0409417554034506,0.0064701912851701,5.025395129160157,-0.0014868482932827,0.9755933427556992,1.0789590675557872,0.0254752893929062,2.933115011485353,-0.0004294320236987,1.496151672231702,-4.279285497456851e-05,0.2680205096220068,1.551767664067378,0.0645240567354888,4.856657209902395,-30.953125660022273,1.010412615071982,2.38337339903228,1.8920834250730325,39.53630023124541,0.526846093358472,1.4233212359249592,2.0520115074553476e+16,0.1044563455428077,141.0590567476921,9.160246308716648,0.0,0.0,1.530842099339777,1000000000000.0,100000000000.0,6.171441842801577e+16,0.0,0.0,0.0,25.0,10.0,2.0
ceramic-like,oneD_v2_focused_ceramic_like_0018,FOCUSED_TOPOLOGY_TREND_HYPERRECTANGLE,NEW_SHARED_TWO_PROVIDER_FINALIST,CREDIBLE_PROVIDER_SENSITIVE,True,481.33,5000000000000.0,0.5773502691896258,0.5773502691896258,0.0,0.0,50.0,3.2732801118100374,0.0085807287728085,4.664693699713819,-0.0020771049444415,1.075855059626184,1.081801056664378,0.0229905830425804,3.190912311769754,-0.0024371969176853,8.737523906696637,0.0040231639214142,0.4336954653273704,0.7408434090700092,0.0083827769047892,6.584887684187858,-5.126529938628602,1.4448536720126868,0.79892413970083,1.1080059874159442,-9.27664504429909,0.74570251586847,2.2320069298148155,1.2481557292822467e+17,1.8463973059218013,141.0590567476921,9.160246308716648,0.0,0.0,0.4627569415458887,1000000000000.0,100000000000.0,2.873857196519663e+16,0.0,0.0,0.0,25.0,10.0,2.0
