case_id,material_class,temperature_K,theta_deg,rate_tag,seed,row_start,row_stop_exclusive,accepted_row_count,numerical_event_count,physical_avalanche_count,onset_marker_count,initial_projected_crack_length_m,initial_projected_crack_length_explicit,duplicate_extension_row_count,raw_steps_relative_path,raw_steps_sha256,observer_archive_present,observer_record_count,observer_manifest_schema,full_local_tensor_archived
canonical_theta0_shared__dbtt__T1100K__theta0__rate1x__seed1010684,DBTT,1100.0,0.0,rate1x,1010684,47251,48867,1616,191,1,1,0.0005,True,1605,canonical_theta0_shared__dbtt__T1100K__theta0__rate1x__seed1010684/steps_1100K.csv,253363ff573b24227433369eb8ee56670502f206ac43cf32d3432b0f7032f5d5,True,1616,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__dbtt__T1150K__theta0__rate1x__seed1011693,DBTT,1150.0,0.0,rate1x,1011693,48867,50497,1630,193,2,2,0.0005,True,1617,canonical_theta0_shared__dbtt__T1150K__theta0__rate1x__seed1011693/steps_1150K.csv,003dcebb27e93e7213f2d87ce82ffa1850b4eba3ffd662aa4d62f22aaefa62e8,True,1630,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__dbtt__T1200K__theta0__rate1x__seed1012702,DBTT,1200.0,0.0,rate1x,1012702,50497,52116,1619,189,2,2,0.0005,True,1608,canonical_theta0_shared__dbtt__T1200K__theta0__rate1x__seed1012702/steps_1200K.csv,74af0ce56003016334d28602ff1dc3629f812a08de6471fb142b9b45e4602ae3,True,1619,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__dbtt__T1250K__theta0__rate1x__seed1013711,DBTT,1250.0,0.0,rate1x,1013711,52116,53619,1503,183,2,2,0.0005,True,1484,canonical_theta0_shared__dbtt__T1250K__theta0__rate1x__seed1013711/steps_1250K.csv,e83c73f9e9c2cdd8571cd9ee0055d13b3c8b117215d97923b595775985992b68,True,1503,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__dbtt__T1300K__theta0__rate1x__seed1014720,DBTT,1300.0,0.0,rate1x,1014720,53619,55289,1670,193,2,2,0.0005,True,1652,canonical_theta0_shared__dbtt__T1300K__theta0__rate1x__seed1014720/steps_1300K.csv,119ee6903e433012798056f471052e4d050308653a50ea97821fdf21cb8e32d4,True,1670,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__weakt__T0300K__theta0__rate1x__seed2003621,weak-T,300.0,0.0,rate1x,2003621,55289,56781,1492,211,1,1,0.0005,True,1475,canonical_theta0_shared__weakt__T0300K__theta0__rate1x__seed2003621/steps_0300K.csv,887cce47b03fa112c52acbeb328d1ff783b87080c17f1c3e2105adb76c5de87c,True,1492,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__weakt__T0600K__theta0__rate1x__seed2004630,weak-T,600.0,0.0,rate1x,2004630,56781,58224,1443,184,3,3,0.0005,True,1425,canonical_theta0_shared__weakt__T0600K__theta0__rate1x__seed2004630/steps_0600K.csv,61e40f92dbd02e28da2249d26bb29e4b152f9f99b71ca9895439bb6c3c6b3893,True,1443,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__weakt__T0800K__theta0__rate1x__seed2005639,weak-T,800.0,0.0,rate1x,2005639,58224,59635,1411,191,2,2,0.0005,True,1391,canonical_theta0_shared__weakt__T0800K__theta0__rate1x__seed2005639/steps_0800K.csv,ff0d14f07d4319eb45c0eea6322eb28d188d690e1570aa709fd75fca53671988,True,1411,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__weakt__T0900K__theta0__rate1x__seed2006648,weak-T,900.0,0.0,rate1x,2006648,59635,61115,1480,188,1,1,0.0005,True,1469,canonical_theta0_shared__weakt__T0900K__theta0__rate1x__seed2006648/steps_0900K.csv,5997c8e4b26944f6b5b12c4da084d6144bd37f2f69258b6e28e532f21f6a22c5,True,1480,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__weakt__T0950K__theta0__rate1x__seed2007657,weak-T,950.0,0.0,rate1x,2007657,61115,62656,1541,210,1,1,0.0005,True,1530,canonical_theta0_shared__weakt__T0950K__theta0__rate1x__seed2007657/steps_0950K.csv,23ea65bed8359b18b5892b167f8b321e78bae9eb7ebc236940c5c85b1a68f627,True,1541,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__weakt__T1000K__theta0__rate1x__seed2008666,weak-T,1000.0,0.0,rate1x,2008666,62656,64048,1392,177,1,1,0.0005,True,1376,canonical_theta0_shared__weakt__T1000K__theta0__rate1x__seed2008666/steps_1000K.csv,ea6bc6b1a5647a55c966ef27217058d3fbcdc8504b509c899361aefa53ffa5ab,True,1392,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__weakt__T1050K__theta0__rate1x__seed2009675,weak-T,1050.0,0.0,rate1x,2009675,64048,65480,1432,201,1,1,0.0005,True,1412,canonical_theta0_shared__weakt__T1050K__theta0__rate1x__seed2009675/steps_1050K.csv,d1f187a11711d06fb7298f4f3e99ce9066a7e0abf928dd2ad11e2cba37f0837c,True,1432,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__weakt__T1100K__theta0__rate1x__seed2010684,weak-T,1100.0,0.0,rate1x,2010684,65480,67062,1582,209,2,2,0.0005,True,1564,canonical_theta0_shared__weakt__T1100K__theta0__rate1x__seed2010684/steps_1100K.csv,65b667d80c207c10990e393b4c88c86a4654839960071f58dd7038f759fffc57,True,1582,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__weakt__T1150K__theta0__rate1x__seed2011693,weak-T,1150.0,0.0,rate1x,2011693,67062,68647,1585,238,1,1,0.0005,True,1555,canonical_theta0_shared__weakt__T1150K__theta0__rate1x__seed2011693/steps_1150K.csv,a175d981cf0ecb8f323bc1d023e485474bb040e545d0b64079dd56e2f4962847,True,1585,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__weakt__T1200K__theta0__rate1x__seed2012702,weak-T,1200.0,0.0,rate1x,2012702,68647,70093,1446,205,1,1,0.0005,True,1424,canonical_theta0_shared__weakt__T1200K__theta0__rate1x__seed2012702/steps_1200K.csv,cf46c1cae9739d2d6347e8773fcbc9764cc2d9bd19382aa4c03653181ee47e74,True,1446,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__weakt__T1250K__theta0__rate1x__seed2013711,weak-T,1250.0,0.0,rate1x,2013711,70093,71599,1506,199,1,1,0.0005,True,1488,canonical_theta0_shared__weakt__T1250K__theta0__rate1x__seed2013711/steps_1250K.csv,619a0751cc9ac8362b045ecc82421693f943d157c581ce59f9ca4fc63d071962,True,1506,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__weakt__T1300K__theta0__rate1x__seed2014720,weak-T,1300.0,0.0,rate1x,2014720,71599,73106,1507,193,2,2,0.0005,True,1494,canonical_theta0_shared__weakt__T1300K__theta0__rate1x__seed2014720/steps_1300K.csv,8474d4bbfe06b58c9b04842836afcb2151aa7cb5dadc3c08d95c18d1206a7ae8,True,1507,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__ceramiclike__T0300K__theta0__rate1x__seed3003621,ceramic-like,300.0,0.0,rate1x,3003621,73106,74586,1480,196,1,1,0.0005,True,1465,canonical_theta0_shared__ceramiclike__T0300K__theta0__rate1x__seed3003621/steps_0300K.csv,84bd892a8ed09e269ef85b4e392f3f4a1f61ac66a4e7b96e2799717852b51dd1,True,1480,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__ceramiclike__T0600K__theta0__rate1x__seed3004630,ceramic-like,600.0,0.0,rate1x,3004630,74586,76175,1589,208,2,2,0.0005,True,1575,canonical_theta0_shared__ceramiclike__T0600K__theta0__rate1x__seed3004630/steps_0600K.csv,c2897c7e58e9a0ee7033fb9f58d4d55c0691edba8f94bf7afc16d362ff0af5fa,True,1589,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__ceramiclike__T0800K__theta0__rate1x__seed3005639,ceramic-like,800.0,0.0,rate1x,3005639,76175,77708,1533,206,1,1,0.0005,True,1520,canonical_theta0_shared__ceramiclike__T0800K__theta0__rate1x__seed3005639/steps_0800K.csv,69e3a5df87633348059031b0e078de2057fb27158f63e85e46a746f270b679d8,True,1533,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__ceramiclike__T0900K__theta0__rate1x__seed3006648,ceramic-like,900.0,0.0,rate1x,3006648,77708,79256,1548,210,1,1,0.0005,True,1528,canonical_theta0_shared__ceramiclike__T0900K__theta0__rate1x__seed3006648/steps_0900K.csv,20df0e33154a64373a3eadea47302806ed6416baaf0c2b1e031c8e896ac53f33,True,1548,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__ceramiclike__T0950K__theta0__rate1x__seed3007657,ceramic-like,950.0,0.0,rate1x,3007657,79256,80778,1522,209,1,1,0.0005,True,1500,canonical_theta0_shared__ceramiclike__T0950K__theta0__rate1x__seed3007657/steps_0950K.csv,13f05e2525ce7e239f7bb8fdd5356b1f6e7454fd3a47c73b7994922c507b1c9b,True,1522,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__ceramiclike__T1000K__theta0__rate1x__seed3008666,ceramic-like,1000.0,0.0,rate1x,3008666,80778,82254,1476,195,1,1,0.0005,True,1460,canonical_theta0_shared__ceramiclike__T1000K__theta0__rate1x__seed3008666/steps_1000K.csv,a52943cb7b76f004138804ff5adfe8c513a902064231587cfac7182e3f6b64b2,True,1476,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__ceramiclike__T1050K__theta0__rate1x__seed3009675,ceramic-like,1050.0,0.0,rate1x,3009675,82254,83801,1547,219,2,2,0.0005,True,1521,canonical_theta0_shared__ceramiclike__T1050K__theta0__rate1x__seed3009675/steps_1050K.csv,af966f367e49d3c0ec0d7572faddcce98e4107964f81064a317fdabfa27708c6,True,1547,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__ceramiclike__T1100K__theta0__rate1x__seed3010684,ceramic-like,1100.0,0.0,rate1x,3010684,83801,85395,1594,218,2,2,0.0005,True,1574,canonical_theta0_shared__ceramiclike__T1100K__theta0__rate1x__seed3010684/steps_1100K.csv,6a23bff2de8cda0690a9bddf56a8ac4b9a76a898d5f73a1185915600d30efcca,True,1594,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__ceramiclike__T1150K__theta0__rate1x__seed3011693,ceramic-like,1150.0,0.0,rate1x,3011693,85395,86852,1457,204,1,1,0.0005,True,1439,canonical_theta0_shared__ceramiclike__T1150K__theta0__rate1x__seed3011693/steps_1150K.csv,1c2852ccc8eb90a8d2a202ae84a770ea5e980d49e8dce33231b335cbe41a0b94,True,1457,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__ceramiclike__T1200K__theta0__rate1x__seed3012702,ceramic-like,1200.0,0.0,rate1x,3012702,86852,88374,1522,209,1,1,0.0005,True,1504,canonical_theta0_shared__ceramiclike__T1200K__theta0__rate1x__seed3012702/steps_1200K.csv,07ab8898e990dad834882f58f21168d82ba4a6b1be4f961ce0b42a5d5c189b3e,True,1522,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__ceramiclike__T1250K__theta0__rate1x__seed3013711,ceramic-like,1250.0,0.0,rate1x,3013711,88374,89996,1622,203,1,1,0.0005,True,1610,canonical_theta0_shared__ceramiclike__T1250K__theta0__rate1x__seed3013711/steps_1250K.csv,86fcc32fba68323872b37015c64541adf609bbd731fdbd8298a21ada07c3729c,True,1622,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__ceramiclike__T1300K__theta0__rate1x__seed3014720,ceramic-like,1300.0,0.0,rate1x,3014720,89996,91568,1572,212,2,2,0.0005,True,1558,canonical_theta0_shared__ceramiclike__T1300K__theta0__rate1x__seed3014720/steps_1300K.csv,8efc5cd79b56766e77d6f9d9a51a2e0ab6ce225835288c483282a6d72c820a1c,True,1572,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T0300K__theta0__rate100x__seed3621,Peak,300.0,0.0,rate100x,3621,91568,93740,2172,207,1,1,0.0005,True,2171,canonical_theta0_rate__peak__T0300K__theta0__rate100x__seed3621/steps_0300K.csv,1ced7d62a11ce64d66ba8eeef63cd494163d4592382b9bf67c0a6e35cedc09bf,True,2172,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T0600K__theta0__rate100x__seed4630,Peak,600.0,0.0,rate100x,4630,93740,95774,2034,194,1,1,0.0005,True,2033,canonical_theta0_rate__peak__T0600K__theta0__rate100x__seed4630/steps_0600K.csv,bc24834c0c5efb84c719bf0d5bd3532bb7b1954e27bb7323af709668fd7b5cc3,True,2034,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T0800K__theta0__rate100x__seed5639,Peak,800.0,0.0,rate100x,5639,95774,97811,2037,196,1,1,0.0005,True,2036,canonical_theta0_rate__peak__T0800K__theta0__rate100x__seed5639/steps_0800K.csv,bdf1d4ae7e928a5c5b0d5a68fac5608e7ec0673e1dada0e794fd901a01071e23,True,2037,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T0900K__theta0__rate100x__seed6648,Peak,900.0,0.0,rate100x,6648,97811,99717,1906,180,2,2,0.0005,True,1905,canonical_theta0_rate__peak__T0900K__theta0__rate100x__seed6648/steps_0900K.csv,88c0a6e7e4b1421b5344e3497627c37b43c1fa0aa7a6fadf72b5fb447b4b5690,True,1906,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T0950K__theta0__rate100x__seed7657,Peak,950.0,0.0,rate100x,7657,99717,101963,2246,214,1,1,0.0005,True,2245,canonical_theta0_rate__peak__T0950K__theta0__rate100x__seed7657/steps_0950K.csv,c121bc38af130c2464c2aca26c095769615901f27c8ad624101617924d965f96,True,2246,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1000K__theta0__rate100x__seed8666,Peak,1000.0,0.0,rate100x,8666,101963,104178,2215,208,1,1,0.0005,True,2214,canonical_theta0_rate__peak__T1000K__theta0__rate100x__seed8666/steps_1000K.csv,3998e44466b74680f53c58d2744b69b160188b423bd5682670d91a66e35eb16a,True,2215,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1050K__theta0__rate100x__seed9675,Peak,1050.0,0.0,rate100x,9675,104178,106591,2413,225,1,1,0.0005,True,2412,canonical_theta0_rate__peak__T1050K__theta0__rate100x__seed9675/steps_1050K.csv,4f15f997015f207666a2d63cf087697dea03a170ef4284dc2292f16d956218f6,True,2413,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1100K__theta0__rate100x__seed10684,Peak,1100.0,0.0,rate100x,10684,106591,108721,2130,196,1,1,0.0005,True,2129,canonical_theta0_rate__peak__T1100K__theta0__rate100x__seed10684/steps_1100K.csv,0a69ad79da789b602e5b894eae9bdf4b50736f6f5ce57c6afa9d755912744ff2,True,2130,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1150K__theta0__rate100x__seed11693,Peak,1150.0,0.0,rate100x,11693,108721,110997,2276,211,1,1,0.0005,True,2275,canonical_theta0_rate__peak__T1150K__theta0__rate100x__seed11693/steps_1150K.csv,405c9727b183a7d4ee8fc18173e7d296bddac362f0a5f8cd4817a04c3174dfb5,True,2276,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1200K__theta0__rate100x__seed12702,Peak,1200.0,0.0,rate100x,12702,110997,112990,1993,183,1,1,0.0005,True,1992,canonical_theta0_rate__peak__T1200K__theta0__rate100x__seed12702/steps_1200K.csv,6636ea46c4df5a3ea47f3e80f5671a849b550a8c48117c179b17fa5fe738369a,True,1993,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1250K__theta0__rate100x__seed13711,Peak,1250.0,0.0,rate100x,13711,112990,115244,2254,209,1,1,0.0005,True,2252,canonical_theta0_rate__peak__T1250K__theta0__rate100x__seed13711/steps_1250K.csv,a001d8873397d0b64d64cd94d27fbc9758b16ccb1f86db973e37f07101aa880a,True,2254,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1300K__theta0__rate100x__seed14720,Peak,1300.0,0.0,rate100x,14720,115244,117143,1899,174,1,1,0.0005,True,1898,canonical_theta0_rate__peak__T1300K__theta0__rate100x__seed14720/steps_1300K.csv,2be3799ec1b9af10d13ad5ff5fd8638ea536f8c3742c86a8b7d75fc2217a653c,True,1899,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T0300K__theta0__rate100x__seed1003621,DBTT,300.0,0.0,rate100x,1003621,117143,119315,2172,204,2,2,0.0005,True,2171,canonical_theta0_rate__dbtt__T0300K__theta0__rate100x__seed1003621/steps_0300K.csv,cad7a111f664784825323280aa504b2c07363703fe1d3791de8a9bac133cc8b6,True,2172,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T0600K__theta0__rate100x__seed1004630,DBTT,600.0,0.0,rate100x,1004630,119315,121355,2040,190,2,2,0.0005,True,2039,canonical_theta0_rate__dbtt__T0600K__theta0__rate100x__seed1004630/steps_0600K.csv,a19d8352f882c2b055b1e624ea1ae90d849f3f6d120201d62c6e08cb7543c305,True,2040,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T0800K__theta0__rate100x__seed1005639,DBTT,800.0,0.0,rate100x,1005639,121355,123744,2389,230,1,1,0.0005,True,2387,canonical_theta0_rate__dbtt__T0800K__theta0__rate100x__seed1005639/steps_0800K.csv,f9b0eb387bbd8f54f60a29c62627db8a01c585211b9908e61865ae39ab75ccc2,True,2389,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T0900K__theta0__rate100x__seed1006648,DBTT,900.0,0.0,rate100x,1006648,123744,125810,2066,197,1,1,0.0005,True,2065,canonical_theta0_rate__dbtt__T0900K__theta0__rate100x__seed1006648/steps_0900K.csv,a0095078ccee4269965e33d9fed01871fb199bc6fb0d96eec84e17ad353c349f,True,2066,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T0950K__theta0__rate100x__seed1007657,DBTT,950.0,0.0,rate100x,1007657,125810,127984,2174,204,2,2,0.0005,True,2173,canonical_theta0_rate__dbtt__T0950K__theta0__rate100x__seed1007657/steps_0950K.csv,2502bcdd730c8502102649292a54f4bfa926ac0e2e7178d92e55ee6637ef46e6,True,2174,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1000K__theta0__rate100x__seed1008666,DBTT,1000.0,0.0,rate100x,1008666,127984,130276,2292,208,2,2,0.0005,True,2289,canonical_theta0_rate__dbtt__T1000K__theta0__rate100x__seed1008666/steps_1000K.csv,83ff34e25b23921400f18f883273a829253c876a6d5089c7d0043127d7c9d406,True,2292,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1050K__theta0__rate100x__seed1009675,DBTT,1050.0,0.0,rate100x,1009675,130276,132619,2343,212,1,1,0.0005,True,2342,canonical_theta0_rate__dbtt__T1050K__theta0__rate100x__seed1009675/steps_1050K.csv,e08f75fad655773219cde484da9bf4198160d9c4795262e066c21b160adb9157,True,2343,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1100K__theta0__rate100x__seed1010684,DBTT,1100.0,0.0,rate100x,1010684,132619,134737,2118,191,1,1,0.0005,True,2117,canonical_theta0_rate__dbtt__T1100K__theta0__rate100x__seed1010684/steps_1100K.csv,82839a4e153af0269bbeebbe9d218e982f76f9f151fb8f2c8840e819aa1a162e,True,2118,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1150K__theta0__rate100x__seed1011693,DBTT,1150.0,0.0,rate100x,1011693,134737,136906,2169,193,2,2,0.0005,True,2167,canonical_theta0_rate__dbtt__T1150K__theta0__rate100x__seed1011693/steps_1150K.csv,201a64dc5db3bcf82ffae6c6b5dec9b4e058079b51783cb71e692ae0212ad9f3,True,2169,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1200K__theta0__rate100x__seed1012702,DBTT,1200.0,0.0,rate100x,1012702,136906,139002,2096,189,2,2,0.0005,True,2095,canonical_theta0_rate__dbtt__T1200K__theta0__rate100x__seed1012702/steps_1200K.csv,98408ca5bdbb93b971a04aa1394c280dc38f2db03bc36127094dfc4037984818,True,2096,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1250K__theta0__rate100x__seed1013711,DBTT,1250.0,0.0,rate100x,1013711,139002,141030,2028,183,2,2,0.0005,True,2026,canonical_theta0_rate__dbtt__T1250K__theta0__rate100x__seed1013711/steps_1250K.csv,db8e900ed017af67767dde9e2c1997c8ba1df13ae6ce3e68c2a1b591f60fd733,True,2028,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1300K__theta0__rate100x__seed1014720,DBTT,1300.0,0.0,rate100x,1014720,141030,143210,2180,193,2,2,0.0005,True,2179,canonical_theta0_rate__dbtt__T1300K__theta0__rate100x__seed1014720/steps_1300K.csv,eff198c91317c45cbb9df2f37f4a776ab635804177bcbf8450446d4c4395176b,True,2180,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T0300K__theta0__rate100x__seed2003621,weak-T,300.0,0.0,rate100x,2003621,143210,145415,2205,211,1,1,0.0005,True,2204,canonical_theta0_rate__weakt__T0300K__theta0__rate100x__seed2003621/steps_0300K.csv,0f052d82701db062eb1790801a30d662a7bbd3a0beb040ea96138360359bf834,True,2205,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T0600K__theta0__rate100x__seed2004630,weak-T,600.0,0.0,rate100x,2004630,145415,147367,1952,184,2,2,0.0005,True,1950,canonical_theta0_rate__weakt__T0600K__theta0__rate100x__seed2004630/steps_0600K.csv,523410d8a8d367814433a9dee6a40b3474c83ee6b29a4bfee17a14a05a7dbeaf,True,1952,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T0800K__theta0__rate100x__seed2005639,weak-T,800.0,0.0,rate100x,2005639,147367,149380,2013,191,2,2,0.0005,True,2012,canonical_theta0_rate__weakt__T0800K__theta0__rate100x__seed2005639/steps_0800K.csv,79bda19baba20c1a9a9bede939b97da9966c55d84241418fd380e1c78900a3a0,True,2013,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T0900K__theta0__rate100x__seed2006648,weak-T,900.0,0.0,rate100x,2006648,149380,151341,1961,188,1,1,0.0005,True,1959,canonical_theta0_rate__weakt__T0900K__theta0__rate100x__seed2006648/steps_0900K.csv,9279b42a24d06750ed860ef8aafa0ccf2429d214404c3e01e8a4e986b047a451,True,1961,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T0950K__theta0__rate100x__seed2007657,weak-T,950.0,0.0,rate100x,2007657,151341,153529,2188,210,1,1,0.0005,True,2186,canonical_theta0_rate__weakt__T0950K__theta0__rate100x__seed2007657/steps_0950K.csv,96789c009167576807845ceb900353f1c610c4ea3d1c9e7cb732db4f15b11bc0,True,2188,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1000K__theta0__rate100x__seed2008666,weak-T,1000.0,0.0,rate100x,2008666,153529,155386,1857,177,1,1,0.0005,True,1855,canonical_theta0_rate__weakt__T1000K__theta0__rate100x__seed2008666/steps_1000K.csv,1546e0d93f6d4fe153838ca4b1538e6e6f5856562873dec878e42227c0af4445,True,1857,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1050K__theta0__rate100x__seed2009675,weak-T,1050.0,0.0,rate100x,2009675,155386,157490,2104,201,1,1,0.0005,True,2102,canonical_theta0_rate__weakt__T1050K__theta0__rate100x__seed2009675/steps_1050K.csv,cc007ecd7ac0f89b17707c474111cb7cc15077c8dba200493d0e74f04076d949,True,2104,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1100K__theta0__rate100x__seed2010684,weak-T,1100.0,0.0,rate100x,2010684,157490,159680,2190,209,2,2,0.0005,True,2189,canonical_theta0_rate__weakt__T1100K__theta0__rate100x__seed2010684/steps_1100K.csv,61a8c9a3bed9cb35d58c2a915bd1a4a551e2c661d06d63ae099b6fb11f633cd7,True,2190,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1150K__theta0__rate100x__seed2011693,weak-T,1150.0,0.0,rate100x,2011693,159680,162138,2458,238,1,1,0.0005,True,2457,canonical_theta0_rate__weakt__T1150K__theta0__rate100x__seed2011693/steps_1150K.csv,a0cc639f687ce0a1f6cc555675e5e89429a17cb06ad8cae10ab37926dad0ffc8,True,2458,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1200K__theta0__rate100x__seed2012702,weak-T,1200.0,0.0,rate100x,2012702,162138,164278,2140,205,1,1,0.0005,True,2139,canonical_theta0_rate__weakt__T1200K__theta0__rate100x__seed2012702/steps_1200K.csv,91231f396cc8841bb565a108d954feedc19e5cb5f45dab129d71d42c6a3c3762,True,2140,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1250K__theta0__rate100x__seed2013711,weak-T,1250.0,0.0,rate100x,2013711,164278,166352,2074,199,1,1,0.0005,True,2072,canonical_theta0_rate__weakt__T1250K__theta0__rate100x__seed2013711/steps_1250K.csv,6559838d0d3f261ca9a030afa81f72bebd1d5645c55ed9df2e0a61588aff30ec,True,2074,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1300K__theta0__rate100x__seed2014720,weak-T,1300.0,0.0,rate100x,2014720,166352,168381,2029,193,2,2,0.0005,True,2028,canonical_theta0_rate__weakt__T1300K__theta0__rate100x__seed2014720/steps_1300K.csv,655a8c1e00605978173c0ee793663cd4b0a36ee1225d18be1dfd76533ac6234d,True,2029,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T0300K__theta0__rate100x__seed3003621,ceramic-like,300.0,0.0,rate100x,3003621,168381,170417,2036,196,1,1,0.0005,True,2034,canonical_theta0_rate__ceramiclike__T0300K__theta0__rate100x__seed3003621/steps_0300K.csv,0a34a00c478a8a1c8e6882350400ca0cf16f16302bdffaa43f4d03f43ea8569e,True,2036,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T0600K__theta0__rate100x__seed3004630,ceramic-like,600.0,0.0,rate100x,3004630,170417,172596,2179,208,2,2,0.0005,True,2178,canonical_theta0_rate__ceramiclike__T0600K__theta0__rate100x__seed3004630/steps_0600K.csv,a372ec3d2dc160b6031ea0c54c364d1a85cb5a763c6a8a3152f12c1a66cf918b,True,2179,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T0800K__theta0__rate100x__seed3005639,ceramic-like,800.0,0.0,rate100x,3005639,172596,174738,2142,206,1,1,0.0005,True,2141,canonical_theta0_rate__ceramiclike__T0800K__theta0__rate100x__seed3005639/steps_0800K.csv,49bd6b71d912ac22c90b25c3dca5e7cab0b0e79e22459d1ae714491012321aca,True,2142,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T0900K__theta0__rate100x__seed3006648,ceramic-like,900.0,0.0,rate100x,3006648,174738,176900,2162,210,1,1,0.0005,True,2160,canonical_theta0_rate__ceramiclike__T0900K__theta0__rate100x__seed3006648/steps_0900K.csv,0fc6a26786a1bea933590921979883885e38a0ccb5cc1df23a548102cc44f6c1,True,2162,canonical_pf_state_observer_consolidation_v2,False
