case_id,material_class,temperature_K,theta_deg,seed,U0_theta_m,K0_theta_MPa_sqrt_m,C0_theta_MPa_sqrt_m_per_m,theta0_reference_U_m,theta0_reference_K_MPa_sqrt_m,theta0_reference_C_MPa_sqrt_m_per_m,delta_K_vs_theta0_MPa_sqrt_m,opening_local_threshold_contribution_MPa_sqrt_m,structural_KJ_per_opening_contribution_MPa_sqrt_m,identity_residual_MPa_sqrt_m,opening_tensor_available,complete_channel_tensors_available,resolved_signed_shears_available_in_full_trajectory,onset_tip_radius_um,onset_front_width_um,onset_mobile_count,onset_retained_count,onset_multiplicity,onset_backstress_Pa,onset_signed_shielding_MPa_sqrt_m,onset_maximum_emission_rate_system_index,onset_maximum_emission_rate_system_name,onset_tensor_probe_reliable
canonical_theta0_shared__dbtt__T0300K__theta0__rate1x__seed1003621,DBTT,300.0,0.0,1003621,1.3752245763737945e-05,23.35655128646154,1698380.8817646585,1.3752245763737945e-05,23.35655128646154,1698380.8817646585,0.0,0.0,0.0,0.0,False,False,True,1.0000000000000002,9.9999999999996,3.662309824890186e-13,1.764858253435444e-13,13098.721493975076,33.92569621280032,-1.9465675255278598e-17,0,(110),True
canonical_single_crack_theta__dbtt__T0300K__theta15__rate1x__seed1003621,DBTT,300.0,15.0,1003621,1.3782027203607368e-05,23.359857302114374,1694950.7468683608,1.3752245763737945e-05,23.35655128646154,1698380.8817646585,0.0033060156528357254,0.05052915092757242,-0.04722313527473888,2.185751579730777e-15,False,False,True,1.0,9.999999999999904,8.948809076946536e-14,4.2348732250501744e-14,13098.72149397547,16.08590710912079,-3.913167460323226e-18,1,(1-10),True
canonical_single_crack_theta__dbtt__T0300K__theta30__rate1x__seed1003621,DBTT,300.0,30.0,1003621,1.3805109864175868e-05,23.361452945869974,1692232.3093199518,1.3752245763737945e-05,23.35655128646154,1698380.8817646585,0.004901659408435677,0.0896208581398224,-0.08471919873138684,1.1102230246251565e-16,False,False,True,1.0,9.999999999999998,1.6600490677071766e-15,7.436391381432925e-16,13098.721493975592,1.9173523264674188,-3.6042845133247654e-20,1,(1-10),True
canonical_strain_rate__dbtt__T0300K__theta45__rate1x__seed1003621,DBTT,300.0,45.0,1003621,1.3752245763737945e-05,23.356551286461535,1698380.881764658,1.3752245763737945e-05,23.35655128646154,1698380.8817646585,-3.552713678800501e-15,0.0,-6.403888465714615e-15,2.8511747869141143e-15,False,False,True,1.0,10.0,2.7040170734808263e-19,1.0030726546689933e-19,13098.721493975596,0.0227778112029423,1.3502412222842265e-25,0,(110),True
canonical_theta0_shared__dbtt__T0600K__theta0__rate1x__seed1004630,DBTT,600.0,0.0,1004630,1.3712509964190322e-05,23.289064764188225,1698380.8817646585,1.3712509964190322e-05,23.289064764188225,1698380.8817646585,0.0,0.0,0.0,0.0,False,False,True,1.0000000000028535,9.99999999062974,0.0,8.759055328509473e-09,13098.721481739132,5202.440332395002,-1.186618476376988e-12,0,(110),True
canonical_single_crack_theta__dbtt__T0600K__theta15__rate1x__seed1004630,DBTT,600.0,15.0,1004630,1.3737749597989482e-05,23.284808941402805,1694950.7468683615,1.3712509964190322e-05,23.289064764188225,1698380.8817646585,-0.004255822785420804,0.04282322383290194,-0.04707904661832178,-9.645062526431047e-16,False,False,True,1.0000000000005722,9.999999998126665,0.0,1.7483690338424556e-09,13098.72149152926,2228.34452041401,-2.097499290083325e-13,1,(1-10),True
canonical_single_crack_theta__dbtt__T0600K__theta30__rate1x__seed1004630,DBTT,600.0,30.0,1004630,1.3764246368763065e-05,23.292302418660675,1692232.3093199513,1.3712509964190322e-05,23.289064764188225,1698380.8817646585,0.0032376544724499468,0.08770906790181578,-0.084471413429365,-8.326672684688674e-16,False,False,True,1.0000000000000058,9.999999999981528,0.0,1.7059189426294638e-11,13098.721493951474,193.5092934120312,-1.3959767781052701e-15,1,(1-10),True
canonical_strain_rate__dbtt__T0600K__theta45__rate1x__seed1004630,DBTT,600.0,45.0,1004630,1.3712509964158868e-05,23.28906476413479,1698380.8817646573,1.3712509964190322e-05,23.289064764188225,1698380.8817646585,-5.3436366442838334e-11,-5.342039919368935e-11,-1.596346260534436e-14,-3.786543642300015e-18,False,False,True,1.0,10.0,3.4834103386204874e-16,3.0922966994106934e-16,13098.721493975596,0.8181106388337367,-9.458477574062527e-21,0,(110),True
canonical_theta0_shared__dbtt__T0800K__theta0__rate1x__seed1005639,DBTT,800.0,0.0,1005639,1.3375966982338957e-05,22.717486597919788,1698380.881764658,1.3375966982338957e-05,22.717486597919788,1698380.881764658,0.0,0.0,0.0,0.0,False,False,True,1.0000000040205292,9.999986634842577,0.0,1.2400818006472632e-05,13098.70403999184,196478.33766267705,-1.6786473010526402e-09,0,(110),True
canonical_single_crack_theta__dbtt__T0800K__theta15__rate1x__seed1005639,DBTT,800.0,15.0,1005639,1.3405086165766751e-05,22.720960808501076,1694950.74686836,1.3375966982338957e-05,22.717486597919788,1698380.881764658,0.003474210581288162,0.04940552306275148,-0.045931312481463586,2.706168622523819e-16,False,False,True,1.0000000005904932,9.99999803706628,0.0,1.8056888929192627e-06,13098.718930518096,70777.8796951575,-2.1628043322495082e-10,1,(1-10),True
