case_id,temperature_K,rate_tag,loading_rate_factor,seed,preinitiation_accepted_row_count,C_K_initial_mean_Pa_sqrt_m_per_m,C_K_initial_min_Pa_sqrt_m_per_m,C_K_initial_max_Pa_sqrt_m_per_m,C_K_initial_relative_range,matched_rate_relative_spread,matched_structural_transfer_identical_to_numerical_precision
canonical_theta0_rate__peak__T0300K__theta0__rate0p01x__seed3621,300.0,rate0p01x,0.01,3621,82,1698380881764.6582,1698380881764.6565,1698380881764.6597,1.8687375482596795e-15,0.0,True
canonical_theta0_rate__peak__T0600K__theta0__rate0p01x__seed4630,600.0,rate0p01x,0.01,4630,77,1698380881764.658,1698380881764.6565,1698380881764.6597,1.86873754825968e-15,2.8749808434764303e-16,True
canonical_theta0_rate__peak__T0800K__theta0__rate0p01x__seed5639,800.0,rate0p01x,0.01,5639,164,1698380881764.6584,1698380881764.6565,1698380881764.6597,1.868737548259679e-15,4.3124712652146457e-16,True
canonical_theta0_rate__peak__T0900K__theta0__rate0p01x__seed6648,900.0,rate0p01x,0.01,6648,165,1698380881764.6584,1698380881764.6565,1698380881764.6597,1.868737548259679e-15,4.312471265214645e-16,True
canonical_theta0_rate__peak__T0950K__theta0__rate0p01x__seed7657,950.0,rate0p01x,0.01,7657,180,1698380881764.658,1698380881764.6565,1698380881764.6597,1.86873754825968e-15,4.312471265214645e-16,True
canonical_theta0_rate__peak__T1000K__theta0__rate0p01x__seed8666,1000.0,rate0p01x,0.01,8666,197,1698380881764.658,1698380881764.6565,1698380881764.6597,1.86873754825968e-15,2.87498084347643e-16,True
canonical_theta0_rate__peak__T1050K__theta0__rate0p01x__seed9675,1050.0,rate0p01x,0.01,9675,234,1698380881764.6582,1698380881764.6565,1698380881764.6597,1.8687375482596795e-15,1.437490421738215e-16,True
canonical_theta0_rate__peak__T1100K__theta0__rate0p01x__seed10684,1100.0,rate0p01x,0.01,10684,259,1698380881764.6582,1698380881764.6565,1698380881764.6597,1.8687375482596795e-15,0.0,True
canonical_theta0_rate__peak__T1150K__theta0__rate0p01x__seed11693,1150.0,rate0p01x,0.01,11693,271,1698380881764.6582,1698380881764.6565,1698380881764.6597,1.8687375482596795e-15,1.437490421738215e-16,True
canonical_theta0_rate__peak__T1200K__theta0__rate0p01x__seed12702,1200.0,rate0p01x,0.01,12702,264,1698380881764.6582,1698380881764.6565,1698380881764.6597,1.8687375482596795e-15,1.437490421738215e-16,True
canonical_theta0_rate__peak__T1250K__theta0__rate0p01x__seed13711,1250.0,rate0p01x,0.01,13711,270,1698380881764.6584,1698380881764.6565,1698380881764.6597,1.868737548259679e-15,2.87498084347643e-16,True
canonical_theta0_rate__peak__T1300K__theta0__rate0p01x__seed14720,1300.0,rate0p01x,0.01,14720,262,1698380881764.6582,1698380881764.6565,1698380881764.6597,1.8687375482596795e-15,1.437490421738215e-16,True
canonical_theta0_shared__peak__T0300K__theta0__rate1x__seed3621,300.0,rate1x,1.0,3621,83,1698380881764.6582,1698380881764.6565,1698380881764.6597,1.8687375482596795e-15,0.0,True
canonical_theta0_shared__peak__T0600K__theta0__rate1x__seed4630,600.0,rate1x,1.0,4630,79,1698380881764.6577,1698380881764.6565,1698380881764.6597,1.86873754825968e-15,2.8749808434764303e-16,True
canonical_theta0_shared__peak__T0800K__theta0__rate1x__seed5639,800.0,rate1x,1.0,5639,122,1698380881764.6577,1698380881764.6565,1698380881764.6597,1.86873754825968e-15,4.3124712652146457e-16,True
canonical_theta0_shared__peak__T0900K__theta0__rate1x__seed6648,900.0,rate1x,1.0,6648,166,1698380881764.6582,1698380881764.6565,1698380881764.6597,1.8687375482596795e-15,4.312471265214645e-16,True
