backend,theta_deg,extension_um,physical_path_extension_um,tip_radius_um,reference_opening_m,drive_factor_system_0,drive_factor_system_1,tau_signed_system_0_Pa,tau_signed_system_1_Pa,opening_stress_Pa,sigma_nn_probe_Pa,sigma1_probe_Pa,tau_over_opening_system_0,tau_over_opening_system_1,reliable,field_snapshot_hash,topology_fingerprint,source_commit,actual_extension_um,reaction_N_per_m,compliance_m2_per_N,elastic_energy_J_per_m,native_J_J_per_m2,native_KJ_MPa_sqrt_m,KJ_native_over_U,F_over_U_N_per_m2,damage_wake_fingerprint,diagnostic_label,state_history,stochastic_clock_advanced,crack_path_rotation,crystal_orientation_rotated_relative_to_fixed_horizontal_path
PF,0.0,5.0,5.0,8.0,1e-05,0.0586135441824944,1.7579454205368945,39002563.36800129,-1169770206.1574934,1330837911.6801405,-28546184.298268307,1330837911.6801405,0.0293067720912472,-0.8789727102684471,True,be3ee5bd4434cfbf904157b58e1c4ebb2d3828d7d4e264ed49c2a5dc11aafc7e,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49,5.0,2178281.4551270255,4.590774978349552e-12,10.891407275635222,873.9172008031421,19.717681129940782,1971768.1129940783,217828145512.70255,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,5.0,5.0,12.0,1e-05,1.6971720082510915,0.0621786038332448,1129438892.5510514,-41378795.497669324,1330965732.477429,-43763252.390650615,1330965732.477429,0.8485860041255459,-0.0310893019166224,True,be3ee5bd4434cfbf904157b58e1c4ebb2d3828d7d4e264ed49c2a5dc11aafc7e,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49,5.0,2178281.4551270255,4.590774978349552e-12,10.891407275635222,873.9172008031421,19.717681129940782,1971768.1129940783,217828145512.70255,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,5.0,5.0,25.0,1e-05,1.368037834212572,0.0802991862532316,1062748199.7394518,-62379718.96463257,1553682468.6594405,970040.0942851482,1553682468.6594405,0.684018917106286,-0.0401495931266158,True,be3ee5bd4434cfbf904157b58e1c4ebb2d3828d7d4e264ed49c2a5dc11aafc7e,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49,5.0,2178281.4551270255,4.590774978349552e-12,10.891407275635222,873.9172008031421,19.717681129940782,1971768.1129940783,217828145512.70255,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,5.0,5.0,50.0,1e-05,1.2170639255852127,0.0672095542377071,715597815.2149279,-39517242.408566535,1175941214.2149231,130625445.52171518,1175941214.2149231,0.6085319627926064,-0.0336047771188535,True,be3ee5bd4434cfbf904157b58e1c4ebb2d3828d7d4e264ed49c2a5dc11aafc7e,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49,5.0,2178281.4551270255,4.590774978349552e-12,10.891407275635222,873.9172008031421,19.717681129940782,1971768.1129940783,217828145512.70255,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,10.0,10.0,1.0,1e-05,0.7917701731757975,0.2373979431309195,785396480.1654078,-235486906.7442552,1983900143.6873412,498101702.3175775,1983900143.6873412,0.3958850865878987,-0.1186989715654597,True,533e0010595ffb802dae3e8971162d720a9abacfb12668d4055710e5dea89419,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49,10.0,2177971.5031570275,4.591428301749924e-12,10.88985751578525,859.9582092774376,19.559572958485173,1955957.2958485172,217797150315.70273,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,10.0,10.0,2.0,1e-05,0.5298634217922786,0.5300452751545597,920694441.2162764,-921010430.90887,3475214190.487052,3475210657.4709115,3475214190.487052,0.2649317108961393,-0.2650226375772798,True,533e0010595ffb802dae3e8971162d720a9abacfb12668d4055710e5dea89419,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49,10.0,2177971.5031570275,4.591428301749924e-12,10.88985751578525,859.9582092774376,19.559572958485173,1955957.2958485172,217797150315.70273,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,10.0,10.0,4.0,1e-05,0.0025524228052026,1.3103464106433371,-2710751.608159541,-1391628233.6364114,2124061579.9499424,466687926.8704178,2124061579.9499424,-0.0012762114026013,-0.6551732053216686,True,533e0010595ffb802dae3e8971162d720a9abacfb12668d4055710e5dea89419,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49,10.0,2177971.5031570275,4.591428301749924e-12,10.88985751578525,859.9582092774376,19.559572958485173,1955957.2958485172,217797150315.70273,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,10.0,10.0,8.0,1e-05,0.0379939957973502,1.4139961979337836,34076316.753888704,-1268194653.3495774,1793773781.291265,138775037.78644362,1793773781.291265,0.0189969978986751,-0.7069980989668918,True,533e0010595ffb802dae3e8971162d720a9abacfb12668d4055710e5dea89419,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49,10.0,2177971.5031570275,4.591428301749924e-12,10.88985751578525,859.9582092774376,19.559572958485173,1955957.2958485172,217797150315.70273,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,10.0,10.0,12.0,1e-05,1.4729687296909952,0.086441915425029,1194177520.4524865,-70080912.2044838,1621456717.147017,-18283856.754215054,1621456717.147017,0.7364843648454976,-0.0432209577125145,True,533e0010595ffb802dae3e8971162d720a9abacfb12668d4055710e5dea89419,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49,10.0,2177971.5031570275,4.591428301749924e-12,10.88985751578525,859.9582092774376,19.559572958485173,1955957.2958485172,217797150315.70273,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,10.0,10.0,25.0,1e-05,1.3284752095110843,0.0916818669213571,1078495606.058046,-74430060.81104988,1623659362.7591474,-7246382.84781286,1623659362.7591474,0.6642376047555422,-0.0458409334606785,True,533e0010595ffb802dae3e8971162d720a9abacfb12668d4055710e5dea89419,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49,10.0,2177971.5031570275,4.591428301749924e-12,10.88985751578525,859.9582092774376,19.559572958485173,1955957.2958485172,217797150315.70273,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
