case_id,material_class,temperature_K,theta_deg,initial_onset_classification,reinitiation_classification,final_delta_K_reinit_MPa_sqrt_m,classification_scope,tensor_state_limitation
canonical_theta0_shared__dbtt__T0300K__theta0__rate1x__seed1003621,DBTT,300.0,0.0,THETA0_REFERENCE,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.050894469567662526,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T0300K__theta15__rate1x__seed1003621,DBTT,300.0,15.0,UNRESOLVED,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T0300K__theta30__rate1x__seed1003621,DBTT,300.0,30.0,UNRESOLVED,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__dbtt__T0300K__theta45__rate1x__seed1003621,DBTT,300.0,45.0,LOWER_INITIAL_ONSET_STRUCTURAL_TRANSFER,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.05559350480658054,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__dbtt__T0600K__theta0__rate1x__seed1004630,DBTT,600.0,0.0,THETA0_REFERENCE,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.03682835031190734,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T0600K__theta15__rate1x__seed1004630,DBTT,600.0,15.0,LOWER_INITIAL_ONSET_STRUCTURAL_TRANSFER,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.1457312047596524,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T0600K__theta30__rate1x__seed1004630,DBTT,600.0,30.0,UNRESOLVED,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__dbtt__T0600K__theta45__rate1x__seed1004630,DBTT,600.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__dbtt__T0800K__theta0__rate1x__seed1005639,DBTT,800.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T0800K__theta15__rate1x__seed1005639,DBTT,800.0,15.0,UNRESOLVED,NEGATIVE_REINITIATION_SOFTENING,-0.1723129396568268,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T0800K__theta30__rate1x__seed1005639,DBTT,800.0,30.0,LOWER_INITIAL_ONSET_STRUCTURAL_TRANSFER,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.26579733673418815,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__dbtt__T0800K__theta45__rate1x__seed1005639,DBTT,800.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__dbtt__T0900K__theta0__rate1x__seed1006648,DBTT,900.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T0900K__theta15__rate1x__seed1006648,DBTT,900.0,15.0,LOWER_INITIAL_ONSET_STRUCTURAL_TRANSFER,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T0900K__theta30__rate1x__seed1006648,DBTT,900.0,30.0,LOWER_INITIAL_ONSET_STRUCTURAL_TRANSFER,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__dbtt__T0900K__theta45__rate1x__seed1006648,DBTT,900.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__dbtt__T0950K__theta0__rate1x__seed1007657,DBTT,950.0,0.0,THETA0_REFERENCE,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.5790391307364047,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T0950K__theta15__rate1x__seed1007657,DBTT,950.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.5236861470103662,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T0950K__theta30__rate1x__seed1007657,DBTT,950.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__dbtt__T0950K__theta45__rate1x__seed1007657,DBTT,950.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,0.9244999585353213,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__dbtt__T1000K__theta0__rate1x__seed1008666,DBTT,1000.0,0.0,THETA0_REFERENCE,NEGATIVE_REINITIATION_SOFTENING,-9.282329638132119,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1000K__theta15__rate1x__seed1008666,DBTT,1000.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,1.6164428175767114,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1000K__theta30__rate1x__seed1008666,DBTT,1000.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,2.0513388337552314,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__dbtt__T1000K__theta45__rate1x__seed1008666,DBTT,1000.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,10.731874942304337,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
