case_id,material_class,temperature_K,theta_deg,seed,reinitiation_event_transaction_index,reinitiation_physical_avalanche_index,initial_U_m,initial_KJ_MPa_sqrt_m,initial_C_MPa_sqrt_m_per_m,reinitiation_U_m,reinitiation_KJ_MPa_sqrt_m,reinitiation_C_MPa_sqrt_m_per_m,delta_K_reinit_MPa_sqrt_m,required_opening_local_state_contribution_MPa_sqrt_m,structural_wake_transfer_contribution_MPa_sqrt_m,identity_residual_MPa_sqrt_m,frozen_geometry_linearity_basis,complete_evolved_state_swap_available,initial_tip_radius_um,initial_front_width_um,initial_mobile_count,initial_retained_count,initial_multiplicity,initial_backstress_Pa,initial_signed_shielding_MPa_sqrt_m,initial_maximum_emission_rate_system_index,initial_maximum_emission_rate_system_name,initial_tensor_probe_reliable,reinitiation_tip_radius_um,reinitiation_front_width_um,reinitiation_mobile_count,reinitiation_retained_count,reinitiation_multiplicity,reinitiation_backstress_Pa,reinitiation_signed_shielding_MPa_sqrt_m,reinitiation_maximum_emission_rate_system_index,reinitiation_maximum_emission_rate_system_name,reinitiation_tensor_probe_reliable
canonical_single_crack_theta__ceramiclike__T1200K__theta15__rate1x__seed3012702,ceramic-like,1200.0,15.0,3012702,12,1,7.983791587876853e-06,13.53213351471321,1694950.7468683613,9.72700092323662e-06,12.483695647789164,1283406.4421611326,-1.048437866924047,2.5959500279760457,-3.6443878949000936,8.881784197001252e-16,PF_sharp_wake_map_load_scaling_passed,False,1.2590875706812656,0.302705866393515,6199.511628121403,0.0001439782179737,27383.05930652682,3958617457.739791,-1.3220809158139238e-08,1,(1-10),True,1.104289283717223,0.4767922033487488,2518.223602969176,4.92124185977016e-05,37828.33230379411,2506703037.1543093,-4.448648225906087e-09,0,(110),True
canonical_single_crack_theta__ceramiclike__T1200K__theta30__rate1x__seed3012702,ceramic-like,1200.0,30.0,3012702,13,1,7.384592058443821e-06,12.496445272446165,1692232.309319952,8.478860973983303e-06,13.004280439322292,1533729.6459070235,0.5078351668761272,1.7650349451589247,-1.2571997782827988,1.3322676295501878e-15,PF_sharp_wake_map_load_scaling_passed,False,1.0698505545270185,0.5822651699734084,1679.2686529033415,3.6537689520423024e-05,44755.77903288314,2008248017.941332,-1.663823929512698e-09,1,(1-10),True,1.1190617155538265,0.4462972161248205,2926.907648175237,3.188713827160828e-05,35882.55909675315,2462720154.576108,-1.0874459757663886e-09,0,(110),True
canonical_single_crack_theta__ceramiclike__T1250K__theta15__rate1x__seed3013711,ceramic-like,1250.0,15.0,3013711,37,1,7.766209369795913e-06,13.163342371671648,1694950.7468683613,8.73171794559627e-06,12.834958867719482,1469923.6676778628,-0.32838350395216587,1.527856694287758,-1.8562401982399221,-1.7763568394002505e-15,PF_sharp_wake_map_load_scaling_passed,False,1.2489410933052911,0.3088074145579522,5972.684701532509,0.0003151133665041,27709.894177277656,3880328951.876073,-2.9029018499620336e-08,0,(110),True,1.1063877660004895,0.4720770297904688,2573.831764929258,4.480818806171069e-05,37525.40833174784,2521132792.055711,-3.975455186956395e-09,0,(110),True
canonical_single_crack_theta__ceramiclike__T1250K__theta30__rate1x__seed3013711,ceramic-like,1250.0,30.0,3013711,49,1,7.205446268319417e-06,12.193288978318996,1692232.3093199518,7.972594497216198e-06,11.981219913444011,1502800.614985186,-0.212069064874985,1.2255319245737943,-1.4376009894487793,0.0,PF_sharp_wake_map_load_scaling_passed,False,1.0657341923678971,0.6001557580209887,1613.2214224312386,7.70500195068674e-05,45953.44444129014,1948175534.4585912,-3.538775141958244e-09,1,(1-10),True,1.0541024127858054,0.6612767169703175,1319.6614204290936,6.862890805208102e-05,50080.79701852113,1743085056.8391929,-2.502201075235846e-09,0,(110),True
canonical_single_crack_theta__dbtt__T0600K__theta15__rate1x__seed1004630,DBTT,600.0,15.0,1004630,6,1,1.3737749597989482e-05,23.284808941402805,1694950.7468683615,1.4560626080902245e-05,23.430540146162457,1609171.2001926906,0.1457312047596524,1.3594421234562344,-1.2137109186965815,-4.440892098500626e-16,PF_sharp_wake_map_load_scaling_passed,False,1.0000000000005722,9.999999998126665,0.0,1.7483690338424556e-09,13098.72149152926,2228.34452041401,-2.097499290083325e-13,1,(1-10),True,1.0000000000000038,9.999999999987384,0.0,1.3740913919048516e-11,13098.721493959123,162.54329000667596,-1.7625848235855417e-15,0,(110),True
canonical_single_crack_theta__dbtt__T0800K__theta15__rate1x__seed1005639,DBTT,800.0,15.0,1005639,4,1,1.3405086165766751e-05,22.720960808501076,1694950.74686836,1.3971099242778258e-05,22.684642973530273,1623683.4753898191,-0.03631783497080221,0.9391951838080208,-0.9755130187788246,1.5543122344752192e-15,PF_sharp_wake_map_load_scaling_passed,False,1.0000000005904932,9.99999803706628,0.0,1.8056888929192627e-06,13098.718930518096,70777.8796951575,-2.1628043322495082e-10,1,(1-10),True,1.0000000000383575,9.9999998724898,0.0,1.2804434983742585e-07,13098.721327455974,16475.690098882136,-1.5792470127115073e-11,0,(110),True
canonical_single_crack_theta__dbtt__T0800K__theta15__rate1x__seed1005639,DBTT,800.0,15.0,1005639,18,2,1.3405086165766751e-05,22.720960808501076,1694950.74686836,1.5246437018759598e-05,22.54864786884425,1478945.3982658263,-0.1723129396568268,2.9221281870767704,-3.0944411267335967,-4.440892098500626e-16,PF_sharp_wake_map_load_scaling_passed,False,1.0000000005904932,9.99999803706628,0.0,1.8056888929192627e-06,13098.718930518096,70777.8796951575,-2.1628043322495082e-10,1,(1-10),True,1.000000000109568,9.999999635769274,0.0,3.627246009937511e-07,13098.721018315113,28947.657016481724,-2.6257941733721048e-11,0,(110),True
canonical_single_crack_theta__dbtt__T0800K__theta30__rate1x__seed1005639,DBTT,800.0,30.0,1005639,16,1,1.3417555381752844e-05,22.70562072909195,1692232.3093199509,1.5312214407001476e-05,22.97141806582614,1500202.2212621649,0.26579733673418815,3.024287447941394,-2.758490111207206,4.440892098500626e-16,PF_sharp_wake_map_load_scaling_passed,False,1.0000000000021338,9.999999992906456,0.0,6.512110167825238e-09,13098.721484711916,3602.47238678011,-5.350186506745926e-13,1,(1-10),True,1.0000000000015852,9.999999994729995,0.0,5.8850075328098685e-09,13098.721487093331,2770.0593820682616,-3.310704949980148e-13,0,(110),True
canonical_single_crack_theta__dbtt__T0950K__theta15__rate1x__seed1007657,DBTT,950.0,15.0,1007657,10,1,1.2580703693264473e-05,21.32367312102817,1694950.7468683613,1.5604282773810787e-05,21.847359268038534,1400087.372468392,0.5236861470103662,4.679046255560007,-4.155360108549641,0.0,PF_sharp_wake_map_load_scaling_passed,False,1.0083574192296996,3.9054100338013993,0.0,26.63251419294676,5158.340947399806,265480978.501859,-0.0032399552075309,1,(1-10),True,1.0017754501387577,6.772224440482282,0.0,5.73352811415406,8886.497755151482,98925762.7753897,-0.0005376222516184,0,(110),True
canonical_single_crack_theta__dbtt__T1000K__theta15__rate1x__seed1008666,DBTT,1000.0,15.0,1008666,43,1,2.902884445683256e-05,49.20246159283379,1694950.7468683599,3.0492507688349093e-05,50.818904410410504,1666602.9875210277,1.6164428175767114,2.460091300896421,-0.8436484833197117,2.1094237467877974e-15,PF_sharp_wake_map_load_scaling_passed,False,5.603818803846011,0.180720967337731,7.055859896357241e-09,17391.859104352716,1326.5436192434904,6631626027.568011,-2.3322654430356664,1,(1-10),True,3.5269152751678696,0.243901252650882,3.890676227044909e-09,9590.765628274488,1126.7769807009015,4740696653.539545,0.0207394316626827,0,(110),True
canonical_single_crack_theta__dbtt__T1000K__theta30__rate1x__seed1008666,DBTT,1000.0,30.0,1008666,1,1,1.915438804181103e-05,32.41367430960434,1692232.309319951,1.9956910914154223e-05,34.46501314335957,1726971.3379797488,2.0513388337552314,1.371994566078635,0.6793442676765972,-7.771561172376096e-16,PF_sharp_wake_map_load_scaling_passed,False,2.257091604175203,0.3456968824018003,1.9229133840789088e-09,4740.027179349701,1022.0533274952404,3376567334.825304,-0.4594650282033778,1,(1-10),True,2.5221033822763164,0.3141970022781964,0.0,5744.980055407683,1037.991578423431,3822954402.986413,-0.5432034583185068,0,(110),True
canonical_single_crack_theta__dbtt__T1050K__theta15__rate1x__seed1009675,DBTT,1050.0,15.0,1009675,15,1,2.867510244876818e-05,48.60288631206638,1694950.7468683606,3.6558599512504905e-05,48.23780190608249,1319465.2571300687,-0.36508440598389313,11.882069858201303,-12.247154264185196,0.0,PF_sharp_wake_map_load_scaling_passed,False,5.623972448187804,0.1803268282626756,0.0,17969.773924832058,1328.4109190155118,6647103962.435645,-2.4114753047926967,1,(1-10),True,3.912476093596036,0.2271931787043437,4.545086086226344e-09,11334.432549757816,1164.329478353577,5193981432.9051,-1.1879297769688688,0,(110),True
canonical_single_crack_theta__dbtt__T1050K__theta30__rate1x__seed1009675,DBTT,1050.0,30.0,1009675,1,1,1.917157730854026e-05,32.44276254213709,1692232.3093199527,2.009476950139207e-05,34.22840387034705,1703348.917138655,1.7856413282099624,1.5673870392303813,0.21825428897958368,-2.581268532253489e-15,PF_sharp_wake_map_load_scaling_passed,False,2.351957220888434,0.3333616683995155,0.0,5143.805719936258,1027.0083803696175,3511708825.6222267,-0.4975501477736128,1,(1-10),True,2.572719374194421,0.309104546863118,0.0,6094.140747965099,1041.661754021883,3882453767.672593,-0.5822186986214146,1,(1-10),True
canonical_single_crack_theta__dbtt__T1050K__theta30__rate1x__seed1009675,DBTT,1050.0,30.0,1009675,2,2,1.917157730854026e-05,32.44276254213709,1692232.3093199527,2.0498936162265227e-05,35.667554025055985,1739970.979114194,3.2247914829188957,2.277882711343506,0.9469087715753902,-3.3306690738754696e-16,PF_sharp_wake_map_load_scaling_passed,False,2.351957220888434,0.3333616683995155,0.0,5143.805719936258,1027.0083803696175,3511708825.6222267,-0.4975501477736128,1,(1-10),True,2.7834297680322115,0.290286955478819,0.0,6731.039785666715,1058.3679901910857,4131134248.834063,-0.6325844606059446,0,(110),True
canonical_single_crack_theta__dbtt__T1050K__theta30__rate1x__seed1009675,DBTT,1050.0,30.0,1009675,3,3,1.917157730854026e-05,32.44276254213709,1692232.3093199527,2.0810382071717487e-05,37.114679579165816,1783469.3976910117,4.671917037028727,2.847998256416394,1.8239187806123323,1.1102230246251565e-15,PF_sharp_wake_map_load_scaling_passed,False,2.351957220888434,0.3333616683995155,0.0,5143.805719936258,1027.0083803696175,3511708825.6222267,-0.4975501477736128,1,(1-10),True,2.950362799976208,0.277596180286371,0.0,7401.933846974097,1072.7976604386558,4211157144.9853497,-0.6831544200456043,0,(110),True
canonical_single_crack_theta__dbtt__T1050K__theta30__rate1x__seed1009675,DBTT,1050.0,30.0,1009675,5,4,1.917157730854026e-05,32.44276254213709,1692232.3093199527,2.2041465233095996e-05,39.687949450386526,1800603.9539873123,7.245186908249437,5.012024307257949,2.2331626009914882,-4.440892098500626e-16,PF_sharp_wake_map_load_scaling_passed,False,2.351957220888434,0.3333616683995155,0.0,5143.805719936258,1027.0083803696175,3511708825.6222267,-0.4975501477736128,1,(1-10),True,3.4698994838356416,0.2466986367371989,0.0,9374.420257339774,1121.2760660781146,4653144883.271087,-0.8477480279501938,0,(110),True
canonical_single_crack_theta__dbtt__T1050K__theta30__rate1x__seed1009675,DBTT,1050.0,30.0,1009675,18,5,1.917157730854026e-05,32.44276254213709,1692232.3093199527,2.260806489187467e-05,37.94005481553012,1678164.6282856239,5.497292273393029,5.791163613494943,-0.29387134010191185,-2.1094237467877974e-15,PF_sharp_wake_map_load_scaling_passed,False,2.351957220888434,0.3333616683995155,0.0,5143.805719936258,1027.0083803696175,3511708825.6222267,-0.4975501477736128,1,(1-10),True,2.936701623820365,0.2785727617055819,0.0,7346.469397925217,1071.5868642947703,3954370754.881713,-0.3818921196496225,0,(110),True
canonical_single_crack_theta__dbtt__T1100K__theta15__rate1x__seed1010684,DBTT,1100.0,15.0,1010684,10,1,2.8813760505750687e-05,48.83790488930821,1694950.746868361,3.5885938656870336e-05,49.62136259000109,1382752.2547052316,0.7834577006928782,10.883031961682061,-10.099574260989185,1.7763568394002505e-15,PF_sharp_wake_map_load_scaling_passed,False,5.759836124984075,0.1777354172187308,0.0,18021.221395214023,1340.951324491156,6744051108.569599,-2.419556321613063,0,(110),True,4.00033914294329,0.2238435479839453,4.5685055741707045e-09,11509.692069988756,1172.9251561974586,5321016646.566666,-1.267106248081366,0,(110),True
canonical_single_crack_theta__dbtt__T1100K__theta15__rate1x__seed1010684,DBTT,1100.0,15.0,1010684,138,2,2.8813760505750687e-05,48.83790488930821,1694950.746868361,3.6994412448189505e-05,64.2986997276694,1738065.1691041023,15.460794838361188,14.042154160711757,1.4186406776494336,-1.9984014443252818e-15,PF_sharp_wake_map_load_scaling_passed,False,5.759836124984075,0.1777354172187308,0.0,18021.221395214023,1340.951324491156,6744051108.569599,-2.419556321613063,0,(110),True,5.505246786532259,0.1826866488406367,6.798359210366113e-09,17128.713941574424,1317.3843794419636,6442887353.381316,0.0088761186027571,0,(110),True
canonical_single_crack_theta__dbtt__T1100K__theta30__rate1x__seed1010684,DBTT,1100.0,30.0,1010684,1,1,1.922031928271182e-05,32.52524528565024,1692232.3093199527,2.0217836699814935e-05,34.92942550668636,1727653.9535511278,2.404180221036114,1.7056980558627917,0.6984821651733257,-3.3306690738754696e-15,PF_sharp_wake_map_load_scaling_passed,False,2.341742027493284,0.334626851312887,0.0,5217.050291003193,1026.428602253692,3498416687.4055595,-0.5071298692770314,1,(1-10),True,2.6839557577596205,0.2987303714084631,0.0,6379.163160550244,1050.228113529828,4020623989.433385,-0.6021673926416826,0,(110),True
canonical_single_crack_theta__dbtt__T1100K__theta30__rate1x__seed1010684,DBTT,1100.0,30.0,1010684,2,2,1.922031928271182e-05,32.52524528565024,1692232.3093199527,2.1060284292961055e-05,37.22058502781265,1767335.3554991102,4.69533974216241,3.1827417269283633,1.5125980152340472,-2.220446049250313e-16,PF_sharp_wake_map_load_scaling_passed,False,2.341742027493284,0.334626851312887,0.0,5217.050291003193,1026.428602253692,3498416687.4055595,-0.5071298692770314,1,(1-10),True,3.0882720092257117,0.2682802520258883,0.0,7882.503865094018,1085.258407689962,4412864608.997253,-0.7323034930537329,0,(110),True
canonical_single_crack_theta__dbtt__T1100K__theta30__rate1x__seed1010684,DBTT,1100.0,30.0,1010684,11,3,1.922031928271182e-05,32.52524528565024,1692232.3093199527,2.1843165231139783e-05,38.49041983704511,1762126.4789121712,5.965174551394867,4.530125476065576,1.4350490753292904,2.220446049250313e-16,PF_sharp_wake_map_load_scaling_passed,False,2.341742027493284,0.334626851312887,0.0,5217.050291003193,1026.428602253692,3498416687.4055595,-0.5071298692770314,1,(1-10),True,3.234135141906019,0.2593807391732243,0.0,8764.38329104168,1098.8155461016574,4346350584.380693,-0.6481372940464936,0,(110),True
canonical_single_crack_theta__dbtt__T1100K__theta30__rate1x__seed1010684,DBTT,1100.0,30.0,1010684,14,4,1.922031928271182e-05,32.52524528565024,1692232.3093199527,2.3720367137401623e-05,39.05318972983419,1646399.0419548014,6.5279444441839445,7.512000424952037,-0.9840559807680909,-1.3322676295501878e-15,PF_sharp_wake_map_load_scaling_passed,False,2.341742027493284,0.334626851312887,0.0,5217.050291003193,1026.428602253692,3498416687.4055595,-0.5071298692770314,1,(1-10),True,3.3458628926336984,0.2531326052251273,0.0,9069.771683748617,1109.392275184367,4351302096.619079,-0.6111797711938805,0,(110),True
canonical_single_crack_theta__dbtt__T1150K__theta15__rate1x__seed1011693,DBTT,1150.0,15.0,1011693,9,1,2.832640188904392e-05,48.01185603792833,1694950.7468683606,3.385642368975098e-05,48.09230352342651,1420477.956092717,0.08044748549817626,8.614194322961632,-8.533746837463458,1.7763568394002505e-15,PF_sharp_wake_map_load_scaling_passed,False,5.633871930622932,0.1801341689839556,0.0,17479.611761705426,1329.3274687373066,6654215564.846994,-2.341820016177841,0,(110),True,4.190345818890532,0.217078771114586,4.7574530987251895e-09,12105.924838825673,1191.5057109937604,5416974802.035272,-1.4869752212237046,0,(110),True
canonical_single_crack_theta__dbtt__T1150K__theta15__rate1x__seed1011693,DBTT,1150.0,15.0,1011693,47,2,2.832640188904392e-05,48.01185603792833,1694950.7468683606,3.9070932092878565e-05,52.806108443686355,1351544.6296023047,4.794252405758023,16.36658079416583,-11.572328388407804,-3.552713678800501e-15,PF_sharp_wake_map_load_scaling_passed,False,5.633871930622932,0.1801341689839556,0.0,17479.611761705426,1329.3274687373066,6654215564.846994,-2.341820016177841,0,(110),True,3.637091868402395,0.2387548147498507,4.0414533950921805e-09,10282.844502552434,1137.4578637657112,5001913041.498876,0.0116360367309269,0,(110),True
canonical_single_crack_theta__dbtt__T1150K__theta30__rate1x__seed1011693,DBTT,1150.0,30.0,1011693,1,1,1.8939742163592344e-05,32.050443619420356,1692232.309319953,1.952473176823876e-05,33.734466287092935,1727781.2923386437,1.6840226676725791,1.000336202359811,0.6836864653127679,2.220446049250313e-16,PF_sharp_wake_map_load_scaling_passed,False,2.3438776468775995,0.3343611574255021,0.0,5078.873520841229,1026.548955437446,3501199754.4662933,-0.4927165473673704,0,(110),True,2.6252308463461937,0.3040746302457713,0.0,6142.271971040314,1045.6265307737374,3949896149.325323,-0.5816016332489243,0,(110),True
canonical_single_crack_theta__dbtt__T1150K__theta30__rate1x__seed1011693,DBTT,1150.0,30.0,1011693,12,2,1.8939742163592344e-05,32.050443619420356,1692232.309319953,2.1305540936924075e-05,35.59332818354497,1670613.6816202167,3.5428845641246127,3.9779084601348913,-0.43502389601027625,-2.3314683517128287e-15,PF_sharp_wake_map_load_scaling_passed,False,2.3438776468775995,0.3343611574255021,0.0,5078.873520841229,1026.548955437446,3501199754.4662933,-0.4927165473673704,0,(110),True,2.957304809090997,0.2771038439396275,0.0,7420.43347126468,1073.4147236138558,3948870526.39565,-0.5822052739436997,0,(110),True
canonical_single_crack_theta__dbtt__T1150K__theta30__rate1x__seed1011693,DBTT,1150.0,30.0,1011693,13,3,1.8939742163592344e-05,32.050443619420356,1692232.309319953,2.36813577751392e-05,38.79703111358083,1638294.2009478079,6.746587494160472,7.896038247878139,-1.1494507537176644,-2.4424906541753444e-15,PF_sharp_wake_map_load_scaling_passed,False,2.3438776468775995,0.3343611574255021,0.0,5078.873520841229,1026.548955437446,3501199754.4662933,-0.4927165473673704,0,(110),True,3.4490216304510155,0.2477473125526488,0.0,9395.4682856278,1119.2672037136492,4333104672.1079235,-0.7217246206333822,0,(110),True
canonical_single_crack_theta__dbtt__T1150K__theta30__rate1x__seed1011693,DBTT,1150.0,30.0,1011693,15,4,1.8939742163592344e-05,32.050443619420356,1692232.309319953,2.4147109102998057e-05,37.58537794263614,1556516.6737897256,5.534934323215786,8.458714024536635,-2.923779701320848,0.0,PF_sharp_wake_map_load_scaling_passed,False,2.3438776468775995,0.3343611574255021,0.0,5078.873520841229,1026.548955437446,3501199754.4662933,-0.4927165473673704,0,(110),True,3.155483023634611,0.2640674121159025,0.0,8131.350567824395,1091.4643763720148,4060289892.414768,-0.5782996744794768,0,(110),True
canonical_single_crack_theta__dbtt__T1150K__theta30__rate1x__seed1011693,DBTT,1150.0,30.0,1011693,19,5,1.8939742163592344e-05,32.050443619420356,1692232.309319953,2.4725532367395113e-05,38.19195526905968,1544636.3176965353,6.141511649639327,9.363921396594257,-3.2224097469549298,-8.881784197001252e-16,PF_sharp_wake_map_load_scaling_passed,False,2.3438776468775995,0.3343611574255021,0.0,5078.873520841229,1026.548955437446,3501199754.4662933,-0.4927165473673704,0,(110),True,2.9011464888964804,0.2811635807757207,0.0,7322.25406615265,1068.4584357576873,3634777333.4911785,-0.4688428497658377,0,(110),True
canonical_single_crack_theta__dbtt__T1200K__theta15__rate1x__seed1012702,DBTT,1200.0,15.0,1012702,4,1,2.8045904859222713e-05,47.53642738773855,1694950.7468683615,2.867629755719322e-05,46.56184769437681,1623704.9989285364,-0.9745796933617399,1.046028174614118,-2.0206078679758526,-5.329070518200751e-15,PF_sharp_wake_map_load_scaling_passed,False,5.588922924736144,0.1810139485042026,0.0,17312.39298275672,1325.1622955013588,6621863652.263514,-2.318697885548913,0,(110),True,4.086087281623716,0.2207133871477751,4.56850557384314e-09,11727.729304500754,1181.3136523840917,5393468815.943363,-1.524347216770602,0,(110),True
