case_id,material_class,temperature_K,theta_deg,seed,reinitiation_event_transaction_index,reinitiation_physical_avalanche_index,initial_U_m,initial_KJ_MPa_sqrt_m,initial_C_MPa_sqrt_m_per_m,reinitiation_U_m,reinitiation_KJ_MPa_sqrt_m,reinitiation_C_MPa_sqrt_m_per_m,delta_K_reinit_MPa_sqrt_m,required_opening_local_state_contribution_MPa_sqrt_m,structural_wake_transfer_contribution_MPa_sqrt_m,identity_residual_MPa_sqrt_m,frozen_geometry_linearity_basis,complete_evolved_state_swap_available,initial_tip_radius_um,initial_front_width_um,initial_mobile_count,initial_retained_count,initial_multiplicity,initial_backstress_Pa,initial_signed_shielding_MPa_sqrt_m,initial_maximum_emission_rate_system_index,initial_maximum_emission_rate_system_name,initial_tensor_probe_reliable,reinitiation_tip_radius_um,reinitiation_front_width_um,reinitiation_mobile_count,reinitiation_retained_count,reinitiation_multiplicity,reinitiation_backstress_Pa,reinitiation_signed_shielding_MPa_sqrt_m,reinitiation_maximum_emission_rate_system_index,reinitiation_maximum_emission_rate_system_name,reinitiation_tensor_probe_reliable
canonical_single_crack_theta__ceramiclike__T0300K__theta15__rate1x__seed3003621,ceramic-like,300.0,15.0,3003621,35,1,9.078555935416446e-06,15.387705163220296,1694950.746868361,1.1163853020708917e-05,14.82383529461521,1327842.2124616865,-0.5638698686050869,3.1517106737667753,-3.7155805423718626,4.440892098500626e-16,PF_sharp_wake_map_load_scaling_passed,False,1.0,10.0,2.5979454014173543e-27,2.942693194323477e-73,718464.2991299158,2.192614629291475e-06,-2.7690380935871758e-77,1,(1-10),True,1.0,10.0,1.3769590678073432e-31,1.6741421541696899e-78,718464.2991299158,1.71575858961984e-08,1.7714294192212865e-83,0,(110),True
canonical_single_crack_theta__ceramiclike__T0300K__theta30__rate1x__seed3003621,ceramic-like,300.0,30.0,3003621,8,1,9.090717925413816e-06,15.38360658829931,1692232.3093199525,1.0302422898342297e-05,15.786962062132757,1532354.3032457875,0.4033554738334466,1.9536238170422555,-1.5502683432088087,-2.220446049250313e-16,PF_sharp_wake_map_load_scaling_passed,False,1.0,10.0,3.5060913756699214e-32,4.1980826895024423e-78,718464.2991299158,7.120552393072038e-09,-2.071799206050991e-82,1,(1-10),True,1.0,10.0,2.5555327643922383e-30,5.345696981430553e-76,718464.2991299158,5.7068190625769233e-08,-8.515944509934633e-81,0,(110),True
canonical_single_crack_theta__ceramiclike__T0600K__theta15__rate1x__seed3004630,ceramic-like,600.0,15.0,3004630,8,1,9.497088983828958e-06,16.097098066216173,1694950.7468683608,1.0276168760410665e-05,15.6595551588174,1523870.960464024,-0.43754290739877355,1.2538594483024312,-1.6914023557012066,1.7763568394002505e-15,PF_sharp_wake_map_load_scaling_passed,False,1.0000023869801715,9.95014882066839,0.055540309697686,2.4554944354534716e-21,714884.3762787456,11540729.455099525,-2.2559914758226997e-25,1,(1-10),True,1.0000069780387677,9.85632598972824,0.1528454937929741,8.046278286764969e-21,708146.7758617811,17933644.7383579,-5.621593604943481e-25,0,(110),True
canonical_single_crack_theta__ceramiclike__T0600K__theta15__rate1x__seed3004630,ceramic-like,600.0,15.0,3004630,13,2,9.497088983828958e-06,16.097098066216173,1694950.7468683608,1.1852243589620532e-05,15.701794783864583,1324795.14660121,-0.3953032823515894,3.555984224662526,-3.951287507014114,-1.3322676295501878e-15,PF_sharp_wake_map_load_scaling_passed,False,1.0000023869801715,9.95014882066839,0.055540309697686,2.4554944354534716e-21,714884.3762787456,11540729.455099525,-2.2559914758226997e-25,1,(1-10),True,1.0000039079325356,9.918770491557122,0.083190524513792,5.3410601992656776e-21,712631.0338478277,13034979.712137347,-3.1904598244602814e-25,0,(110),True
canonical_single_crack_theta__ceramiclike__T0800K__theta15__rate1x__seed3005639,ceramic-like,800.0,15.0,3005639,20,1,9.444509898497936e-06,16.0079791062647,1694950.7468683603,1.030155290519849e-05,15.224119748400248,1477847.0671851498,-0.7838593578644506,1.3596120891046826,-2.1434714469691336,4.440892098500626e-16,PF_sharp_wake_map_load_scaling_passed,False,1.102510845495798,0.4809008199634754,1998.7625325718675,5.493755453737321e-11,38092.86000271,2490365289.6643972,-4.970810411392529e-15,1,(1-10),True,1.061030821617457,0.6227658222032564,1246.6753156133236,4.5748252852325374e-11,47474.23362502938,1917669555.081594,-3.983172320181647e-15,0,(110),True
canonical_single_crack_theta__ceramiclike__T0950K__theta15__rate1x__seed3007657,ceramic-like,950.0,15.0,3007657,7,1,9.437431730891949e-06,15.995981960794476,1694950.7468683608,1.022766592975128e-05,15.737868770082176,1538754.6756198066,-0.2581131907122991,1.2776923069435049,-1.5358054976558024,-1.5543122344752192e-15,PF_sharp_wake_map_load_scaling_passed,False,1.338460936202976,0.2648722860996276,8158.194989796522,2.0488623272694034e-07,25471.083125190315,4524540918.184841,-1.8591747288798118e-11,1,(1-10),True,1.2402346499158794,0.3143479921284032,5987.842759020647,7.629545920564207e-08,28010.427938039484,3781429451.2453175,-4.7135471006492905e-12,0,(110),True
canonical_single_crack_theta__ceramiclike__T0950K__theta15__rate1x__seed3007657,ceramic-like,950.0,15.0,3007657,8,2,9.437431730891949e-06,15.995981960794476,1694950.7468683608,1.141533617706191e-05,15.442087124248207,1352749.221286859,-0.5538948365462684,3.014029658803129,-3.567924495349397,0.0,PF_sharp_wake_map_load_scaling_passed,False,1.338460936202976,0.2648722860996276,8158.194989796522,2.0488623272694034e-07,25471.083125190315,4524540918.184841,-1.8591747288798118e-11,1,(1-10),True,1.207172639619872,0.3384761514264424,5035.006431455967,7.542372597362673e-08,29356.390133051096,3473589671.5217047,-3.940706568782445e-12,0,(110),True
canonical_single_crack_theta__ceramiclike__T1000K__theta15__rate1x__seed3008666,ceramic-like,1000.0,15.0,3008666,18,1,9.274026849829771e-06,15.71901873559621,1694950.7468683617,1.0775373177997744e-05,14.331228758220831,1329998.3695677284,-1.3877899773753786,2.2707481244281396,-3.6585381018035186,4.440892098500626e-16,PF_sharp_wake_map_load_scaling_passed,False,1.3298217978154891,0.2683163441184719,7941.571612675858,8.070388474084612e-07,25635.734672912116,4466423725.224436,-7.324844845485787e-11,1,(1-10),True,1.1589469969253248,0.3863604319462012,3798.9237559943,4.088935734126375e-07,32170.766616390498,3091129176.792762,-1.6428221235164303e-11,0,(110),True
canonical_single_crack_theta__ceramiclike__T1000K__theta30__rate1x__seed3008666,ceramic-like,1000.0,30.0,3008666,4,1,8.41781117676958e-06,14.244892047084091,1692232.3093199523,9.0830983134138e-06,14.332189294894354,1577896.5282946199,0.08729724781026249,1.0877873254171457,-1.0004900776068844,1.1102230246251565e-15,PF_sharp_wake_map_load_scaling_passed,False,1.0900043993973194,0.5131434464310339,2160.348827835451,1.8810489285730664e-07,40185.76407354604,2279629589.7937746,-8.334545199182463e-12,0,(110),True,1.105201710395044,0.474724745517646,2523.4211271691106,2.2799040573081135e-07,37695.422155810826,2356251533.249855,-7.45426026767245e-12,0,(110),True
canonical_single_crack_theta__ceramiclike__T1050K__theta15__rate1x__seed3009675,ceramic-like,1050.0,15.0,3009675,191,1,8.802830891356953e-06,14.920364793861348,1694950.746868361,1.140845951535178e-05,13.606314468632156,1192651.3347681023,-1.314050325229191,3.7620093193095068,-5.076059644538698,0.0,PF_sharp_wake_map_load_scaling_passed,False,1.303073851439497,0.279897342122937,7282.474170445656,3.925671870638402e-06,26204.326204826975,4281485509.278002,-3.5746788068741715e-10,1,(1-10),True,1.143960803636261,0.4059410162017976,3500.226801612436,1.2358221373393267e-06,33364.08903001008,2957457476.525429,1.493550119787332e-11,0,(110),True
