material_class,theta_deg,temperature_case_count,finite_reinitiation_case_count,finite_reinitiation_fraction,conditional_mean_delta_K_reinit_MPa_sqrt_m,conditional_median_delta_K_reinit_MPa_sqrt_m,reinitiation_temperature_min_K,reinitiation_temperature_max_K,total_physical_avalanche_count,mean_physical_avalanche_count_per_case,mean_largest_avalanche_fraction,median_largest_avalanche_fraction
DBTT,0.0,12,8,0.6666666666666666,-1.862497263955731,-1.6655029503740977,300.0,1300.0,20,1.6666666666666667,0.9477852079251293,0.949556237474307
DBTT,15.0,12,10,0.8333333333333334,5.744541794625355,3.205347611667367,600.0,1300.0,30,2.5,0.8483135354049746,0.8665878587617826
DBTT,30.0,12,8,0.6666666666666666,7.369747332981429,6.334728046911636,800.0,1300.0,38,3.1666666666666665,0.9014499718657535,0.9391525332778796
DBTT,45.0,12,9,0.75,8.557076942111083,10.623112122906182,300.0,1300.0,40,3.3333333333333335,0.9285397970555215,0.9496439819684116
Peak,0.0,12,0,0.0,,,,,12,1.0,1.0,1.0
Peak,15.0,12,1,0.08333333333333333,-0.040547793896273276,-0.040547793896273276,300.0,300.0,13,1.0833333333333333,0.9966040489266281,1.0
Peak,30.0,12,3,0.25,1.3415420797489972,1.8785227057946123,950.0,1200.0,15,1.25,0.9935612074457634,1.0
Peak,45.0,12,6,0.5,6.130714772179407,6.120925092753893,800.0,1300.0,18,1.5,0.9549197673604878,0.9768051450299085
ceramic-like,0.0,12,4,0.3333333333333333,-0.5834087769089842,-0.40373292057981125,600.0,1300.0,16,1.3333333333333333,0.9473475300802626,1.0
ceramic-like,15.0,12,8,0.6666666666666666,-0.7969486273560222,-0.6738646132347688,300.0,1250.0,22,1.8333333333333333,0.9196646851187819,0.9322720377625497
ceramic-like,30.0,12,4,0.3333333333333333,0.19660470591121282,0.24532636082185455,300.0,1250.0,16,1.3333333333333333,0.9720272772819291,1.0
ceramic-like,45.0,12,5,0.4166666666666667,0.2842320891405617,0.5584421600550016,600.0,1300.0,18,1.5,0.9324926433177545,1.0
weak-T,0.0,12,4,0.3333333333333333,-2.928556940704607,-2.872771458023383,600.0,1300.0,17,1.4166666666666667,0.9778831569572377,1.0
weak-T,15.0,12,5,0.4166666666666667,-1.6143659386965248,-2.393350005555817,300.0,1300.0,19,1.5833333333333333,0.9077376293459657,1.0
weak-T,30.0,12,2,0.16666666666666666,1.413505110605037,1.413505110605037,800.0,950.0,15,1.25,0.9458405558568977,1.0
weak-T,45.0,12,3,0.25,1.9458965332056763,2.0862710331709664,950.0,1100.0,16,1.3333333333333333,0.9775824942206519,1.0
