h_tip_m,kappa,representation,delta_a_m,G_energy_J_per_m2,G_compliance_J_per_m2,energy_compliance_relative_error
1.25e-05,0.0001,V12,2.5e-05,90.42959973845437,90.28855306143548,0.0015597401451165887
1.25e-05,,CONF,2.5e-05,84.51498797806184,84.41293107305394,0.0012075598358292452
1.25e-05,1e-06,V12,2.5e-05,90.56511350597596,90.42330216903862,0.0015658494915702812
1.25e-05,,CONF,2.5e-05,84.51498797806184,84.41293107305394,0.0012075598358292452
1.25e-05,1e-08,V12,2.5e-05,90.56647071004106,90.42465169927985,0.001565910757583348
1.25e-05,,CONF,2.5e-05,84.51498797806184,84.41293107305394,0.0012075598358292452
6.25e-06,0.0001,V12,2.5e-05,87.75655193912004,87.63334805286533,0.0014039280661367064
6.25e-06,,CONF,2.5e-05,84.75030222186014,84.64596698628895,0.0012310898349135661
6.25e-06,1e-06,V12,2.5e-05,88.02214893983862,87.89764445399533,0.00141446769185771
6.25e-06,,CONF,2.5e-05,84.75030222186014,84.64596698628895,0.0012310898349135661
6.25e-06,1e-08,V12,2.5e-05,88.02481274952686,87.90029516850817,0.0014145736540560024
6.25e-06,,CONF,2.5e-05,84.75030222186014,84.64596698628895,0.0012310898349135661
