angle_deg,h_tip_m,kappa,representation,parent_geometry_fingerprint,parent_connectivity_fingerprint,selected_element_count,reaction_N_per_m,compliance_m2_per_N,energy_J_per_m,reaction_reference_error,compliance_reference_error,energy_reference_error,outside_support_stress_l2_error,free_residual_relative,energy_reaction_identity_relative,conditioning_diagonal_ratio,support_width_m,support_footprint_m
30.0,2.5e-05,,A_INTACT,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,0,184615.38461538425,4.333333333333342e-12,0.07384615384615391,0.17362601450583298,0.17362601450583304,0.17362601450583565,0.25891840696694374,1.0965089542863071e-14,2.818925648462309e-15,4.000000000000029,0.0,0.0
30.0,2.5e-05,1e-08,B_V11,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,24,179234.2720647867,4.463432081286491e-12,0.07169370882591476,0.14881596353956122,0.1488159635395612,0.14881596353956253,0.20974532890987854,1.0208028551228764e-14,1.161423062225353e-15,100000001.00000039,5.0000000000000057e-05,5.421010862427522e-20
30.0,2.5e-05,,D_CONFORMING,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,0,152561.3511681536,5.243792047425153e-12,0.06102454046726142,0.0,0.0,0.0,0.0,1.2462746699514078e-14,3.411198437928339e-16,4.000000000000029,0.0,0.0
30.0,2.5e-05,0.0001,C_V12,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,100,136015.1747468292,5.881696667221682e-12,0.05440606989873252,0.1084558854167931,0.10845588541679307,0.10845588541677902,0.09959553034171037,1.3656172489497526e-14,1.543221489689581e-14,10001.000000000042,5.0000000000000057e-05,5.421010862427522e-20
30.0,2.5e-05,1e-06,C_V12,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,100,135970.78866129837,5.8836166788205554e-12,0.054388315464519416,0.10874682466969673,0.10874682466969669,0.1087468246696953,0.09972865156154088,1.4825969008172203e-14,1.2758059970498374e-15,1000001.0000000043,5.0000000000000057e-05,5.421010862427522e-20
30.0,2.5e-05,1e-08,C_V12,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,100,135970.34461827588,5.8836358931495376e-12,0.054388137847310454,0.10874973525628431,0.10874973525628433,0.1087497352562823,0.09972998438856143,1.3739773115337635e-14,1.913715245239922e-15,100000001.00000042,5.0000000000000057e-05,5.421010862427522e-20
30.0,1.25e-05,,A_INTACT,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,0,184615.3846153851,4.333333333333322e-12,0.07384615384615528,0.1830276731533349,0.18302767315333496,0.18302767315333016,0.26678107607538415,2.2659035820543435e-14,1.691355389077354e-14,4.000000000000068,0.0,0.0
30.0,1.25e-05,1e-08,B_V11,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,48,181819.27319680576,4.399973588795836e-12,0.07272770927872357,0.17046384748405807,0.170463847484058,0.17046384748405374,0.2409216969676075,2.2694100425667107e-14,1.755529619977243e-14,100000001.00000083,2.5000000000000066e-05,5.421010862427522e-20
30.0,1.25e-05,,D_CONFORMING,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,0,150825.66034092318,5.304137228318422e-12,0.06033026413637064,0.0,0.0,0.0,0.0,2.6748011083900063e-14,2.2772998140171622e-14,4.000000000000068,0.0,0.0
30.0,1.25e-05,0.0001,C_V12,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,196,142134.0056029234,5.628491201711025e-12,0.056853602241171516,0.05762716183939354,0.0576271618393935,0.057627161839379146,0.055855234329508945,2.8111024083474845e-14,3.7957067257778755e-14,10001.000000000087,2.5000000000000066e-05,5.421010862427522e-20
