case_id,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,nominal_dU_m,nominal_dt_s,nominal_opening_rate_m_per_s,seed,status,returncode,result_sha256,output_path,output_directory_exists,active_process_owned,active_process_pids,canonical_status,complete_result_preserved,cleanup_eligible_after_lock
canonical_strain_rate__peak__T0300K__theta45__rate0p01x__seed3621,Peak,v913_zeroD_sobol_0242980,300,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3621,COMPLETE,0,6459a691ca863fc52dd08f60b7808c9c444be216754b6773fd117db8a596b270,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T0300K__theta45__rate0p01x__seed3621,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__peak__T0600K__theta45__rate0p01x__seed4630,Peak,v913_zeroD_sobol_0242980,600,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,4630,COMPLETE,0,fb3263176bd1d908da50308c079a63ca1d2336692219cca4f02b6e926f6e9886,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T0600K__theta45__rate0p01x__seed4630,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__peak__T0800K__theta45__rate0p01x__seed5639,Peak,v913_zeroD_sobol_0242980,800,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,5639,COMPLETE,0,eb2c3fb861fcdc7a1553b7a7a01ff68117a94e60da35608b2080a903a533b248,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T0800K__theta45__rate0p01x__seed5639,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__peak__T0900K__theta45__rate0p01x__seed6648,Peak,v913_zeroD_sobol_0242980,900,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,6648,COMPLETE,0,6f1a944fc689cd8ece4cca4d0a318b719928cd400801e817fa5b2c381e6f18bc,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T0900K__theta45__rate0p01x__seed6648,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__peak__T0950K__theta45__rate0p01x__seed7657,Peak,v913_zeroD_sobol_0242980,950,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,7657,COMPLETE,0,70626283e637f33933bbc4b29a9bba9f3fd6e66d183fbd70966831ac0832f17c,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T0950K__theta45__rate0p01x__seed7657,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__peak__T1000K__theta45__rate0p01x__seed8666,Peak,v913_zeroD_sobol_0242980,1000,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,8666,COMPLETE,0,d52d1cc4665a0631236d5b4804351012b04b1250b64d1fd47585af981d80c900,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1000K__theta45__rate0p01x__seed8666,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__peak__T1050K__theta45__rate0p01x__seed9675,Peak,v913_zeroD_sobol_0242980,1050,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,9675,COMPLETE,0,6bdda0f9bee0568f8e969411c67e8827429e3a2643d0c8a09e27e9f533e540dd,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1050K__theta45__rate0p01x__seed9675,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__peak__T1100K__theta45__rate0p01x__seed10684,Peak,v913_zeroD_sobol_0242980,1100,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,10684,COMPLETE,0,d99efa56f7a27a760604a9772e58d827a80aa8edad30466f70ea615e3b7cac92,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1100K__theta45__rate0p01x__seed10684,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__peak__T1150K__theta45__rate0p01x__seed11693,Peak,v913_zeroD_sobol_0242980,1150,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,11693,COMPLETE,0,b1b672bcba101280bc0d9e29aedc2b003fcc395f826cd37d9ca79fb8c4b0ff57,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1150K__theta45__rate0p01x__seed11693,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__peak__T1200K__theta45__rate0p01x__seed12702,Peak,v913_zeroD_sobol_0242980,1200,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,12702,COMPLETE,0,aa4db6f72105d84bf1d774600c21bb50dd95f4e493b0f1b1db5c2876ea181e9e,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1200K__theta45__rate0p01x__seed12702,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
