case_id,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,nominal_dU_m,nominal_dt_s,nominal_opening_rate_m_per_s,seed,status,returncode,result_sha256,output_path,output_directory_exists,active_process_owned,active_process_pids,canonical_status,complete_result_preserved,cleanup_eligible_after_lock
canonical_strain_rate__ceramiclike__T1050K__theta45__rate0p01x__seed3009675,ceramic-like,oneD_v2_focused_ceramic_like_0018,1050,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3009675,INTERRUPTED,-2,c1e24eb76893a5909afdbca4dfb024a26a671fadbf64a3465f4d4b90bc683b93,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1050K__theta45__rate0p01x__seed3009675,True,False,,CANCEL_SUPERSEDED_INCOMPLETE,False,True
canonical_strain_rate__ceramiclike__T1100K__theta45__rate0p01x__seed3010684,ceramic-like,oneD_v2_focused_ceramic_like_0018,1100,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3010684,INTERRUPTED,-2,39346f5b633984c195469b19f748b6f1640be3b57cfed152074db835091b1055,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1100K__theta45__rate0p01x__seed3010684,True,False,,CANCEL_SUPERSEDED_INCOMPLETE,False,True
canonical_strain_rate__ceramiclike__T1150K__theta45__rate0p01x__seed3011693,ceramic-like,oneD_v2_focused_ceramic_like_0018,1150,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3011693,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1150K__theta45__rate0p01x__seed3011693,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T1200K__theta45__rate0p01x__seed3012702,ceramic-like,oneD_v2_focused_ceramic_like_0018,1200,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3012702,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1200K__theta45__rate0p01x__seed3012702,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T1250K__theta45__rate0p01x__seed3013711,ceramic-like,oneD_v2_focused_ceramic_like_0018,1250,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3013711,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1250K__theta45__rate0p01x__seed3013711,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T1300K__theta45__rate0p01x__seed3014720,ceramic-like,oneD_v2_focused_ceramic_like_0018,1300,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3014720,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1300K__theta45__rate0p01x__seed3014720,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__peak__T0300K__theta45__rate100x__seed3621,Peak,v913_zeroD_sobol_0242980,300,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,3621,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T0300K__theta45__rate100x__seed3621,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__peak__T0600K__theta45__rate100x__seed4630,Peak,v913_zeroD_sobol_0242980,600,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,4630,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T0600K__theta45__rate100x__seed4630,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__peak__T0800K__theta45__rate100x__seed5639,Peak,v913_zeroD_sobol_0242980,800,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,5639,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T0800K__theta45__rate100x__seed5639,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__peak__T0900K__theta45__rate100x__seed6648,Peak,v913_zeroD_sobol_0242980,900,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,6648,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T0900K__theta45__rate100x__seed6648,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__peak__T0950K__theta45__rate100x__seed7657,Peak,v913_zeroD_sobol_0242980,950,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,7657,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T0950K__theta45__rate100x__seed7657,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__peak__T1000K__theta45__rate100x__seed8666,Peak,v913_zeroD_sobol_0242980,1000,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,8666,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1000K__theta45__rate100x__seed8666,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__peak__T1050K__theta45__rate100x__seed9675,Peak,v913_zeroD_sobol_0242980,1050,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,9675,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1050K__theta45__rate100x__seed9675,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__peak__T1100K__theta45__rate100x__seed10684,Peak,v913_zeroD_sobol_0242980,1100,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,10684,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1100K__theta45__rate100x__seed10684,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__peak__T1150K__theta45__rate100x__seed11693,Peak,v913_zeroD_sobol_0242980,1150,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,11693,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1150K__theta45__rate100x__seed11693,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__peak__T1200K__theta45__rate100x__seed12702,Peak,v913_zeroD_sobol_0242980,1200,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,12702,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1200K__theta45__rate100x__seed12702,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__peak__T1250K__theta45__rate100x__seed13711,Peak,v913_zeroD_sobol_0242980,1250,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,13711,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1250K__theta45__rate100x__seed13711,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__peak__T1300K__theta45__rate100x__seed14720,Peak,v913_zeroD_sobol_0242980,1300,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,14720,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1300K__theta45__rate100x__seed14720,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__dbtt__T0300K__theta45__rate100x__seed1003621,DBTT,v913_zeroD_sobol_0202500,300,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,1003621,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T0300K__theta45__rate100x__seed1003621,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__dbtt__T0600K__theta45__rate100x__seed1004630,DBTT,v913_zeroD_sobol_0202500,600,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,1004630,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T0600K__theta45__rate100x__seed1004630,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__dbtt__T0800K__theta45__rate100x__seed1005639,DBTT,v913_zeroD_sobol_0202500,800,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,1005639,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T0800K__theta45__rate100x__seed1005639,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__dbtt__T0900K__theta45__rate100x__seed1006648,DBTT,v913_zeroD_sobol_0202500,900,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,1006648,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T0900K__theta45__rate100x__seed1006648,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__dbtt__T0950K__theta45__rate100x__seed1007657,DBTT,v913_zeroD_sobol_0202500,950,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,1007657,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T0950K__theta45__rate100x__seed1007657,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__dbtt__T1000K__theta45__rate100x__seed1008666,DBTT,v913_zeroD_sobol_0202500,1000,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,1008666,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1000K__theta45__rate100x__seed1008666,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__dbtt__T1050K__theta45__rate100x__seed1009675,DBTT,v913_zeroD_sobol_0202500,1050,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,1009675,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1050K__theta45__rate100x__seed1009675,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__dbtt__T1100K__theta45__rate100x__seed1010684,DBTT,v913_zeroD_sobol_0202500,1100,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,1010684,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1100K__theta45__rate100x__seed1010684,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__dbtt__T1150K__theta45__rate100x__seed1011693,DBTT,v913_zeroD_sobol_0202500,1150,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,1011693,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1150K__theta45__rate100x__seed1011693,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__dbtt__T1200K__theta45__rate100x__seed1012702,DBTT,v913_zeroD_sobol_0202500,1200,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,1012702,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1200K__theta45__rate100x__seed1012702,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__dbtt__T1250K__theta45__rate100x__seed1013711,DBTT,v913_zeroD_sobol_0202500,1250,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,1013711,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1250K__theta45__rate100x__seed1013711,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__dbtt__T1300K__theta45__rate100x__seed1014720,DBTT,v913_zeroD_sobol_0202500,1300,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,1014720,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1300K__theta45__rate100x__seed1014720,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__weakt__T0300K__theta45__rate100x__seed2003621,weak-T,oneD_v2_focused_weak_T_0016,300,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,2003621,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T0300K__theta45__rate100x__seed2003621,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__weakt__T0600K__theta45__rate100x__seed2004630,weak-T,oneD_v2_focused_weak_T_0016,600,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,2004630,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T0600K__theta45__rate100x__seed2004630,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__weakt__T0800K__theta45__rate100x__seed2005639,weak-T,oneD_v2_focused_weak_T_0016,800,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,2005639,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T0800K__theta45__rate100x__seed2005639,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__weakt__T0900K__theta45__rate100x__seed2006648,weak-T,oneD_v2_focused_weak_T_0016,900,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,2006648,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T0900K__theta45__rate100x__seed2006648,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__weakt__T0950K__theta45__rate100x__seed2007657,weak-T,oneD_v2_focused_weak_T_0016,950,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,2007657,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T0950K__theta45__rate100x__seed2007657,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__weakt__T1000K__theta45__rate100x__seed2008666,weak-T,oneD_v2_focused_weak_T_0016,1000,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,2008666,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1000K__theta45__rate100x__seed2008666,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__weakt__T1050K__theta45__rate100x__seed2009675,weak-T,oneD_v2_focused_weak_T_0016,1050,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,2009675,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1050K__theta45__rate100x__seed2009675,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__weakt__T1100K__theta45__rate100x__seed2010684,weak-T,oneD_v2_focused_weak_T_0016,1100,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,2010684,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1100K__theta45__rate100x__seed2010684,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__weakt__T1150K__theta45__rate100x__seed2011693,weak-T,oneD_v2_focused_weak_T_0016,1150,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,2011693,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1150K__theta45__rate100x__seed2011693,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__weakt__T1200K__theta45__rate100x__seed2012702,weak-T,oneD_v2_focused_weak_T_0016,1200,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,2012702,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1200K__theta45__rate100x__seed2012702,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__weakt__T1250K__theta45__rate100x__seed2013711,weak-T,oneD_v2_focused_weak_T_0016,1250,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,2013711,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1250K__theta45__rate100x__seed2013711,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__weakt__T1300K__theta45__rate100x__seed2014720,weak-T,oneD_v2_focused_weak_T_0016,1300,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,2014720,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1300K__theta45__rate100x__seed2014720,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
