matrix,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,nominal_dU_m,nominal_dt_s,nominal_opening_rate_m_per_s,seed,target_extension_um,planned_disposition
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,950.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2007657,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1000.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2008666,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1050.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2009675,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1100.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2010684,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1150.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2011693,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1200.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2012702,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1250.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2013711,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1300.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2014720,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,300.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3003621,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,600.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3004630,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,800.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3005639,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,900.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3006648,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,950.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3007657,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1000.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3008666,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1050.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3009675,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1100.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3010684,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1150.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3011693,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1200.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3012702,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1250.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3013711,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1300.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3014720,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,300.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3621,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,600.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,4630,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,800.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,5639,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,900.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,6648,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,950.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,7657,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1000.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,8666,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1050.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,9675,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1100.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,10684,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1150.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,11693,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1200.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,12702,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1250.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,13711,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1300.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,14720,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,300.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,1003621,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,600.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,1004630,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,800.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,1005639,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,900.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,1006648,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,950.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,1007657,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1000.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,1008666,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1050.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,1009675,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1100.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,1010684,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1150.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,1011693,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1200.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,1012702,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1250.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,1013711,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1300.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,1014720,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,300.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2003621,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,600.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2004630,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,800.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2005639,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,900.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2006648,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,950.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2007657,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1000.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2008666,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1050.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2009675,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1100.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2010684,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1150.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2011693,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1200.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2012702,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1250.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2013711,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,weak-T,oneD_v2_focused_weak_T_0016,1300.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,2014720,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,300.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3003621,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,600.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3004630,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,800.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3005639,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,900.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3006648,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,950.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3007657,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1000.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3008666,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1050.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3009675,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1100.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3010684,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1150.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3011693,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1200.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3012702,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1250.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3013711,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1300.0,30.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3014720,1000.0,RERUN_PARAMETER_REPLACEMENT_AND_CANONICAL_SOURCE
CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,300.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3621,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,600.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,4630,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,800.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,5639,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,900.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,6648,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,950.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,7657,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
