theta_deg,family_path,configuration_fingerprint,physics_fingerprint,family_sha256,validation_manifest_sha256,coordinate_definition,prescribed_crack_path_policy,nominal_crack_angle_deg,forward_cosine,valid_extension_min_um,valid_extension_max_um,required_extension_um,target_extension_um,established_safety_margin_um,interpolation_method,interpolation_neighbors,interpolation_power,interpolation_envelope_relative_tolerance,interpolation_uncertainty,extrapolation_allowed,production_parameterization_allowed,source_qualified
0,runtime_inputs/pf_canonical_kernel_families_v2/1447653d199f0b43cb475951092d69444c9b785f6fdf518c723792abb3b1f5e5/family.json,1447653d199f0b43cb475951092d69444c9b785f6fdf518c723792abb3b1f5e5,e215b7895b06ef21c6e6cbf135b85c46a941a9d3b163623c40bc919426eb172f,a15eada6a3d86a8f52e3ba6a921c5cf6c98d7f9bae082f2e09f1ad8c14307c24,a1eae68fa03dab09d310a2d9322be5b64f59c56ef66e3bf1ad37d87d733bd5b1,laboratory_x_projected_extension_along_horizontal_forward_100_cleavage_trace,forward_100_cleavage_trace,0.0,1.0,0.0,1100.0,1020.0,1000.0,20.0,inverse_distance,4,2.0,1e-10,bounded_by_recorded_family_envelope_relative_tolerance,False,True,True
15,runtime_inputs/pf_canonical_kernel_families_v2/9cab030e4f82a69fa1693b9c05449303f089743226ab8f2b403294b5fa4e98ae/family.json,9cab030e4f82a69fa1693b9c05449303f089743226ab8f2b403294b5fa4e98ae,060377517f26addc16e8357fed720ce8566e7e4f6af39a9a0dfe3c47cb58992a,2eac89aa8fa2658dcae791036287c26c7f34e92d971409b0aad84581b9f5e6b7,2fed2c389fc1dc684e8dcb2349d70dc73236e018df6927d5b3530e7b6d472eea,laboratory_x_projected_extension_along_horizontal_forward_100_cleavage_trace,forward_100_cleavage_trace,0.0,1.0,0.0,1160.0,1020.0,1000.0,20.0,inverse_distance,4,2.0,1e-10,bounded_by_recorded_family_envelope_relative_tolerance,False,True,True
30,runtime_inputs/pf_canonical_kernel_families_v2/4fa015d77f1aadf05f77f550366f64cd611f537ae716bbd47870bf9e6fe2f873/family.json,4fa015d77f1aadf05f77f550366f64cd611f537ae716bbd47870bf9e6fe2f873,5c78d4ff5e4af46c36f5de466b56ffba9f5cb18137d72eb2e7db5352f9fb2312,33fae4e8088d0a914dff8139ba4b133dcb32f8e95f298857652047f239f2b51d,df672ea884b2ec5839d3a2ac5801cf9c2538fae370fc52e34f4336f51560a9b9,laboratory_x_projected_extension_along_horizontal_forward_100_cleavage_trace,forward_100_cleavage_trace,0.0,1.0,0.0,1290.0000000000002,1020.0,1000.0,20.0,inverse_distance,4,2.0,1e-10,bounded_by_recorded_family_envelope_relative_tolerance,False,True,True
45,runtime_inputs/pf_canonical_kernel_families_v2/03fa55d25e18e685b71f26a5ed724d84b94193acefaddb91d552e0f43e3802f4/family.json,03fa55d25e18e685b71f26a5ed724d84b94193acefaddb91d552e0f43e3802f4,58c0bfa080c44a7701fb51eb4b88d27bd8d90fcb39d5adc9e27cae149602f057,d3ac342a1268a748c580d394bcdf9756ef91b3fbc1795de903b4b371aec030e4,5455bcca65585c67bd8af43ce067afb17802dfb58e46478d8e6a064e6c3710d3,laboratory_x_projected_extension_along_horizontal_forward_100_cleavage_trace,forward_100_cleavage_trace,0.0,1.0,0.0,1575.0000000000002,1020.0,1000.0,20.0,inverse_distance,4,2.0,1e-10,bounded_by_recorded_family_envelope_relative_tolerance,False,True,True
