mesh,h_m,outer_radius_m,inner_radius_m,q_gradient_element_count,raw_q_gradient_crack_overlap_count,active_element_count,angular_bins_of_24,external_boundary_clearance_m,status,K_I_Pa_sqrt_m,K_II_Pa_sqrt_m,exact_mask_total_elements,skipped_exact_q_gradient_overlap,skipped_damage_elements,skipped_branch_cut_elements,skipped_line_of_sight_elements,git_sha
coarse,0.00025,0.0006,0.00017999999999999998,56,0,56,24,0.002,EXECUTED_CONFORMING_TRACTION_FREE_SLIT,10634779.534885677,-1.254942431600911e-07,0,0,0,0,0,c7154cf97e512377fd4404f9278aa9669dd261ac
coarse,0.00025,0.0008,0.00024,104,0,104,24,0.002,EXECUTED_CONFORMING_TRACTION_FREE_SLIT,10831414.02905755,-1.3269035657461434e-07,0,0,0,0,0,c7154cf97e512377fd4404f9278aa9669dd261ac
coarse,0.00025,0.001,0.0003,112,0,112,24,0.002,EXECUTED_CONFORMING_TRACTION_FREE_SLIT,10874395.134573083,-1.3423843304466706e-07,0,0,0,0,0,c7154cf97e512377fd4404f9278aa9669dd261ac
medium,0.000125,0.0006,0.00017999999999999998,168,0,168,24,0.002,EXECUTED_CONFORMING_TRACTION_FREE_SLIT,10959701.905301083,-8.030719881952243e-07,0,0,0,0,0,c7154cf97e512377fd4404f9278aa9669dd261ac
medium,0.000125,0.0008,0.00024,304,0,304,24,0.002,EXECUTED_CONFORMING_TRACTION_FREE_SLIT,10963816.213108588,-7.889170826653832e-07,0,0,0,0,0,c7154cf97e512377fd4404f9278aa9669dd261ac
medium,0.000125,0.001,0.0003,416,0,416,24,0.002,EXECUTED_CONFORMING_TRACTION_FREE_SLIT,10970327.637122551,-7.801041731606875e-07,0,0,0,0,0,c7154cf97e512377fd4404f9278aa9669dd261ac
fine,6.25e-05,0.0006,0.00017999999999999998,616,0,616,24,0.002,EXECUTED_CONFORMING_TRACTION_FREE_SLIT,11008880.120164998,-2.7631934599048304e-06,0,0,0,0,0,c7154cf97e512377fd4404f9278aa9669dd261ac
fine,6.25e-05,0.0008,0.00024,1040,0,1040,24,0.002,EXECUTED_CONFORMING_TRACTION_FREE_SLIT,11010512.67238967,-2.7585180084033783e-06,0,0,0,0,0,c7154cf97e512377fd4404f9278aa9669dd261ac
fine,6.25e-05,0.001,0.0003,1592,0,1592,24,0.002,EXECUTED_CONFORMING_TRACTION_FREE_SLIT,11011295.908091309,-2.758323207369122e-06,0,0,0,0,0,c7154cf97e512377fd4404f9278aa9669dd261ac
