mesh,h_m,physical_p0_x_m,physical_p0_y_m,physical_p1_x_m,physical_p1_y_m,physical_crack_length_m,selected_element_count,selected_element_ids,selected_element_area_m2,represented_intersection_length_sum_m,maximum_normal_support_distance_m,endpoint_support_overshoot_m,support_fingerprint,support_distance_over_h,git_sha
coarse,0.0002,0.0005,0.0,0.002,0.0,0.0015,18,1678 1680 1775 1777 1870 1872 1967 1969 2062 2064 2159 2161 2254 2256 2351 2353 2446 2448,5.93038920947752e-07,0.003000000000002893,0.00044061700551187966,0.00010022996559262698,f38eb48eef38bcd59343d86353327923c52de77777272e3df01c302d516e7b2a,2.203085027559398,8ad7f42c49c27d1066ff5ef7ee4a910232f2e7d4
medium,0.00013333333333333334,0.0005,0.0,0.002,0.0,0.0015,26,3670 3672 3815 3817 3958 3960 4103 4105 4246 4248 4391 4393 4534 4536 4679 4681 4822 4824 4967 4969 5110 5112 5255 5257 5398 5400,3.8985908577361614e-07,0.0030000000000030393,0.00029771694356909336,8.84404286900101e-05,9ab7117ae6018c2ace5a93c87435a30cb5397d0ece8be40ab07916d9882cbe59,2.2328770767682,8ad7f42c49c27d1066ff5ef7ee4a910232f2e7d4
fine,0.0001,0.0005,0.0,0.002,0.0,0.0015,34,6623 6625 6814 6816 7007 7009 7198 7200 7391 7393 7582 7584 7775 7777 7966 7968 8159 8161 8350 8352 8543 8545 8734 8736 8927 8929 9118 9120 9311 9313 9502 9504 9695 9697,2.889020871091916e-07,0.0030000000000030293,0.00023269238626472054,5.133169625834129e-05,c07bcf2139003705559348882ee66bc5d79513d71f597cdffa80defc3994d2c4,2.326923862647205,8ad7f42c49c27d1066ff5ef7ee4a910232f2e7d4
finer,7.5e-05,0.0005,0.0,0.002,0.0,0.0015,46,11646 11648 11903 11905 12158 12160 12415 12417 12670 12672 12927 12929 13182 13184 13439 13441 13694 13696 13951 13953 14206 14208 14463 14465 14718 14720 14975 14977 15230 15232 15487 15489 15742 15744 15999 16001 16254 16256 16511 16513 16766 16768 17023 17025 17278 17280,2.213754225686931e-07,0.003000000000003252,0.00017163595171496257,5.9140740991868185e-05,f96df34f04e3825a95aafc9452a84d3a3ef1d8ac5389ae58f31ed9dd32e1a2f4,2.288479356199501,8ad7f42c49c27d1066ff5ef7ee4a910232f2e7d4
