mesh,h_m,segments,weak_residual,recovered_traction,Kirsch_error,free_residual,minimum_angle_deg,mirror_xx,mirror_yy,mirror_xy,topology_components,disk_intersections,exact_boundary_nodes,git_sha
coarse,0.0002,48,2.282506823691495e-15,0.16834435510279838,0.0076393026623605325,1.386931436342674e-14,11.993372725428816,1.3448002308722393e-13,1.7587485210245914e-14,1.0265201591437719e-13,1,0,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
medium,0.00013333333333333334,72,7.814030589338749e-15,0.1167437493554185,0.0037003008761165765,2.0336564950784314e-14,11.505217935392286,3.6464110885044136e-13,2.8517262390777776e-14,2.109740411565532e-13,1,0,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
fine,0.0001,96,1.20555135229563e-14,0.08853618457587624,0.007391014674796488,2.8142611668641748e-14,11.258303200892477,1.4530967552975756e-13,2.4510203603473038e-14,1.1064929966477375e-13,1,0,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
finer,7.5e-05,128,4.136700094570434e-14,0.06723187502527528,0.009311396600299263,3.912275115592104e-14,11.233133266389432,1.9278253016475107e-12,1.185357845923234e-13,9.257709018583906e-13,1,0,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
