h_tip_m,delta_a_m,delta_a_over_h_tip,G_energy_J_per_m2,G_compliance_J_per_m2,G_K_J_per_m2,energy_compliance_relative_error,energy_K_relative_error,compliance_K_relative_error,weak_face_residual_relative,full_face_traction_relative,fixed_trim_face_traction_relative,four_h_trim_face_traction_relative,direct_face_COD_m,extrapolated_COD_m,COD_extrapolation_check_relative,crack_opening_displacement_m,reaction_N_per_m,compliance_m2_per_N,contour_KI_spread_relative,git_sha
1.25e-05,5e-05,4.0,522.2260081976682,522.2187022286497,525.4477786198539,1.3990052015417306e-05,0.006131475958749051,0.006145380231096873,1.3181374936765289e-15,1.2303984052061372,0.0075409048535638205,0.016226482829368307,2.982314593049307e-06,2.9834359037775555e-06,0.00037584542266469977,2.9834359037775555e-06,1745343.14922622,4.583625863800317e-12,0.0006494783265827003,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
1.25e-05,7.5e-05,5.999999999999999,522.121961184953,522.1055304975665,525.4477786198539,3.146906011989382e-05,0.006329491854807301,0.006360761731767487,1.3181374936765289e-15,1.2303984052061372,0.0075409048535638205,0.016226482829368307,2.982314593049307e-06,2.9834359037775555e-06,0.00037584542266469977,2.9834359037775555e-06,1745343.14922622,4.583625863800317e-12,0.0006494783265827003,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
6.25e-06,5e-05,8.0,523.8112899198377,523.8039113949189,525.7981323169839,1.4086227350843559e-05,0.0037787171064891513,0.0037927501059717384,1.9798253007930653e-15,1.2304691958073277,0.0037261228245620854,0.015035199040606819,2.992622575815566e-06,2.992902239994199e-06,9.344247028716693e-05,2.992902239994199e-06,1744654.006662455,4.5854364071327245e-12,0.0006648667343742967,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
6.25e-06,7.5e-05,11.999999999999998,523.7047444522661,523.6881507948762,525.7981323169839,3.168513855520801e-05,0.0039813527969242745,0.004012911785764474,1.9798253007930653e-15,1.2304691958073277,0.0037261228245620854,0.015035199040606819,2.992622575815566e-06,2.992902239994199e-06,9.344247028716693e-05,2.992902239994199e-06,1744654.006662455,4.5854364071327245e-12,0.0006648667343742967,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
