outer_radius_m,q_gradient_element_count,excluded_p0_elements,active_angular_bins_of_24,active_element_count,K_I_Pa_sqrt_m,K_II_Pa_sqrt_m,h_tip_m,kappa,conforming_KI_relative_error,ADJACENT_INTACT_ELEMENT_STRESS_RMS_DIAGNOSTIC,killed_energy_fraction,git_sha
0.0006,1940,34,24,1906,7274110.167732401,-3.575717581307251e-07,2.5e-05,0.0001,0.3387638983922132,1.94450490352508,4.4606553889963595e-07,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0008,2592,46,24,2546,8372907.502586766,-4.2276806606062336e-07,2.5e-05,0.0001,0.2391506303541973,1.94450490352508,4.4606553889963595e-07,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.001,3348,58,24,3290,9343693.160265842,-4.783437942006054e-07,2.5e-05,0.0001,0.1511554834425042,1.94450490352508,4.4606553889963595e-07,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0006,1940,34,24,1906,7273421.540015318,-5.199216697758952e-07,2.5e-05,1e-06,0.3388264964965315,1.944791065754085,4.462856758805823e-09,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0008,2592,46,24,2546,8372102.209754978,-6.119988024426514e-07,2.5e-05,1e-06,0.23922380762783335,1.944791065754085,4.462856758805823e-09,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.001,3348,58,24,3290,9342785.939811425,-6.788032449272696e-07,2.5e-05,1e-06,0.15123790150727068,1.944791065754085,4.462856758805823e-09,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0006,1940,34,24,1906,7273414.653815499,5.673936605742304e-07,2.5e-05,1e-08,0.3388271224705433,1.9447939282539433,4.462878781963888e-11,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0008,2592,46,24,2546,8372094.156885882,6.29481646464627e-07,2.5e-05,1e-08,0.23922453939518823,1.9447939282539433,4.462878781963888e-11,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.001,3348,58,24,3290,9342776.867652526,6.797954798866659e-07,2.5e-05,1e-08,0.15123872568377164,1.9447939282539433,4.462878781963888e-11,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0006,6546,68,24,6478,7243861.48474261,-9.527268090185149e-07,1.25e-05,0.0001,0.3419171144644307,1.9801920607833112,2.297023858093584e-07,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0008,8150,90,24,8060,8351732.846320021,-9.561821651396216e-07,1.25e-05,0.0001,0.2415571484973713,1.9801920607833112,2.297023858093584e-07,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.001,9646,114,24,9532,9329480.876573421,-8.722338238426812e-07,1.25e-05,0.0001,0.15299537546700692,1.9801920607833112,2.297023858093584e-07,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0006,6546,68,24,6478,7243159.7599138655,2.070923686767389e-06,1.25e-05,1e-06,0.34198086404069256,1.980493296319761,2.2981728586409452e-09,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0008,8150,90,24,8060,8350917.655777922,2.3012177367080806e-06,1.25e-05,1e-06,0.24163117809705373,1.980493296319761,2.2981728586409452e-09,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.001,9646,114,24,9532,9328566.062159102,2.490284333414135e-06,1.25e-05,1e-06,0.15307842961007967,1.980493296319761,2.2981728586409452e-09,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
