h_tip_m,kappa,window_m,window_over_h_tip,window_over_physical_crack_length,phase_offset_over_h,G_regression_J_per_m2,git_sha,phase_averaged_G_J_per_m2
2.5e-05,1e-08,0.0001,4.0,0.06666666666666667,-0.5,7.829423846428386,c7154cf97e512377fd4404f9278aa9669dd261ac,7.8292903652303245
2.5e-05,1e-08,0.0001,4.0,0.06666666666666667,0.0,7.829423846399092,c7154cf97e512377fd4404f9278aa9669dd261ac,7.8292903652303245
2.5e-05,1e-08,0.0001,4.0,0.06666666666666667,0.5,7.829023402863496,c7154cf97e512377fd4404f9278aa9669dd261ac,7.8292903652303245
1.25e-05,1e-08,5e-05,4.0,0.03333333333333333,-0.5,3.9273512568770967,c7154cf97e512377fd4404f9278aa9669dd261ac,3.9273339499193134
1.25e-05,1e-08,5e-05,4.0,0.03333333333333333,0.0,3.927351256935434,c7154cf97e512377fd4404f9278aa9669dd261ac,3.9273339499193134
1.25e-05,1e-08,5e-05,4.0,0.03333333333333333,0.5,3.9272993359454094,c7154cf97e512377fd4404f9278aa9669dd261ac,3.9273339499193134
6.25e-06,1e-08,5e-05,8.0,0.03333333333333333,-0.5,1.9668285021412415,c7154cf97e512377fd4404f9278aa9669dd261ac,1.966825655702529
6.25e-06,1e-08,5e-05,8.0,0.03333333333333333,0.0,1.9668285021186158,c7154cf97e512377fd4404f9278aa9669dd261ac,1.966825655702529
6.25e-06,1e-08,5e-05,8.0,0.03333333333333333,0.5,1.9668199628477294,c7154cf97e512377fd4404f9278aa9669dd261ac,1.966825655702529
