outer_radius_m,q_gradient_element_count,excluded_p0_elements,active_angular_bins_of_24,active_element_count,K_I_Pa_sqrt_m,K_II_Pa_sqrt_m,h_tip_m,git_sha
0.0006,1940,0,24,1940,11000775.895395758,7.657000635639956e-07,2.5e-05,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0008,2592,0,24,2592,11004684.81229681,7.383682663201016e-07,2.5e-05,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.001,3348,0,24,3348,11007543.758613601,7.199317944030886e-07,2.5e-05,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0006,6546,0,24,6546,11007521.45962179,9.839272345434027e-07,1.25e-05,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0008,8150,0,24,8150,11011683.78048992,9.756639865557483e-07,1.25e-05,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.001,9646,0,24,9646,11014675.252472619,1.0046918460627448e-06,1.25e-05,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0006,23948,0,24,23948,11011063.760210471,8.914653960810676e-06,6.25e-06,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0008,28150,0,24,28150,11015354.308177682,9.094582255838572e-06,6.25e-06,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.001,31648,0,24,31648,11018389.520869276,8.94649581717864e-06,6.25e-06,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
