h_tip_m,parent_nodes,parent_elements,parent_geometry_fingerprint,parent_connectivity_fingerprint,p0_geometry_fingerprint,p0_connectivity_fingerprint,conforming_normalized_geometry_fingerprint,conforming_normalized_connectivity_fingerprint,internal_face_components_from_incidence,git_sha
2.5e-05,6867,13392,940a22ad51a5e7dd26abc3369b90c63765e78b7a75da28de5cec398b1164e967,688c27d3bda212571aeac062520779905dae8ac93e322deb208a03e153744920,940a22ad51a5e7dd26abc3369b90c63765e78b7a75da28de5cec398b1164e967,688c27d3bda212571aeac062520779905dae8ac93e322deb208a03e153744920,7752db942d14c9f55a13b56afa43d46143f75baad7eb39b1bdf9bda6c5771822,688c27d3bda212571aeac062520779905dae8ac93e322deb208a03e153744920,1,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
1.25e-05,16095,31648,30771c7b194ac824223008d6210982e034a78e8226879cab5642019a03ed47d4,a54f0777aaf352035321f758800b7482eb4f9e4b6eb94aacdee59da79b1e54b0,30771c7b194ac824223008d6210982e034a78e8226879cab5642019a03ed47d4,a54f0777aaf352035321f758800b7482eb4f9e4b6eb94aacdee59da79b1e54b0,52cf22c4ee4e9b88d042983350aaf56fef1e7df56d6c1caba9d1b0224325cde9,a54f0777aaf352035321f758800b7482eb4f9e4b6eb94aacdee59da79b1e54b0,1,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
6.25e-06,45495,90048,fde6b549adb1fdaf935a01b23410fb934cc591c348c219b7b902757f3b05dd8b,78179642146c72f009ed34c4e7be12e91bcfbc9c185d3b66cdef4964c0c43d56,fde6b549adb1fdaf935a01b23410fb934cc591c348c219b7b902757f3b05dd8b,78179642146c72f009ed34c4e7be12e91bcfbc9c185d3b66cdef4964c0c43d56,431791bfe71123bec86b7e1811cf1631bff998bd7d45a95091f41cda017cf57f,78179642146c72f009ed34c4e7be12e91bcfbc9c185d3b66cdef4964c0c43d56,1,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
