mesh,h_m,nodes,elements,shared_crack_endpoints,duplicated_interior_face_nodes,weak_crack_face_residual_relative,recovered_crack_face_traction_relative,energy_J_per_m,G_energy_J_per_m2,delta_a_m,reaction_N_per_m,compliance_m2_per_N,git_sha
coarse,0.00025,1094,2048,True,5,2.2939714397782284e-16,0.5397748058577886,7.064788784320066,465.92664307578957,0.00025,1766197.196080009,4.529505548845633e-12,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
medium,0.000125,4236,8192,True,11,5.540140732700106e-16,0.5228739725074969,7.018990933867237,498.42163268380443,0.000125,1754747.7334668622,4.55905988503223e-12,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
fine,6.25e-05,16664,32768,True,23,5.87167386286469e-16,0.5153023439888917,6.996181349750417,513.8017195693152,6.25e-05,1749045.3374376886,4.573923745006986e-12,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
