h_tip_m,representation,policy,kappa,kappa_E_over_t_support_Pa_per_m,extrapolated_COD_m,transmitted_face_traction_relative,killed_energy_J_per_m,reaction_N_per_m,compliance_m2_per_N,global_G_energy_J_per_m2,global_G_compliance_J_per_m2,free_residual_relative,conditioning_diagonal_ratio,git_sha
2.5e-05,causal_p0,fixed_1e-4,0.0001,840000000000.0,7.483656817571084e-08,1.153743905476195,3.289253914899896e-06,1843481.2981821124,4.3396154915642125e-12,7.827727417315522,7.827727329123374,3.284510022650058e-14,78007.80000000064,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
2.5e-05,causal_p0,fixed_1e-6,1e-06,8400000000.0,7.485937204011566e-08,1.1538785273404868,3.290549970855702e-08,1843297.9976128347,4.340047030030093e-12,7.8292401370250175,7.829240048729412,3.3543616633147746e-14,7800007.800000066,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
2.5e-05,causal_p0,fixed_1e-8,1e-08,84000000.0,7.485960014891313e-08,1.1538798739703982,3.290562936757577e-10,1843296.164605658,4.340051345851666e-12,7.829255268907431,7.8292551808367294,3.43654224017916e-14,780000007.8000063,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
2.5e-05,causal_p0,coupled_p1,1.6666666666666667e-06,14000000000.0,7.485921843227935e-08,1.1538776205234245,5.484235399446805e-08,1843299.2319612824,4.3400441237573495e-12,7.829229947353689,7.829229859094596,3.2888289793039626e-14,4680007.800000039,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
2.5e-05,causal_p0,coupled_p2,2.777777777777778e-08,233333333.33333334,7.485959605267413e-08,1.1538798497883849,9.140451955343388e-10,1843296.1975217513,4.3400512683505376e-12,7.829254997373525,7.8292549089939145,3.292537843513404e-14,280800007.80000234,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
2.5e-05,complete_corridor,fixed_1e-4,0.0001,840000000000.0,3.043866265858366e-06,0.40541347484886425,0.0026465594844692127,1741198.9865245635,4.594535180593009e-12,529.5798295405341,529.5491995079774,3.6013838160033453e-14,78007.80000000066,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
2.5e-05,complete_corridor,fixed_1e-6,1e-06,8400000000.0,3.0642089979813323e-06,0.4070959537051796,2.679882132978328e-05,1740367.556757029,4.596730138377816e-12,534.4532180625228,534.4217042810187,3.6720871850961804e-14,7800007.800000066,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
2.5e-05,complete_corridor,fixed_1e-8,1e-08,84000000.0,3.0644137573189008e-06,0.4071134062418434,2.6802185748664235e-07,1740359.2006770237,4.596752208904857e-12,534.5023680990035,534.470845317006,3.658396224755823e-14,780000007.8000063,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
2.5e-05,complete_corridor,coupled_p1,1.6666666666666667e-06,14000000000.0,3.064071127861796e-06,0.40708420822049823,4.466092681603888e-05,1740373.183277993,4.596715277428028e-12,534.4201250747283,534.3886173523475,3.663016188991297e-14,4680007.800000039,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
2.5e-05,complete_corridor,coupled_p2,2.777777777777778e-08,233333333.33333334,3.064410080149962e-06,0.40711309272994356,7.445034813043856e-07,1740359.3507375557,4.596751812555056e-12,534.5014854214413,534.469962801396,3.646970685168516e-14,280800007.8000024,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
