mesh,h_m,delta_a_over_physical_crack_length,delta_a_m,support_resolution_status,G_energy_J_per_m2,G_compliance_J_per_m2,energy_compliance_error,INTERACTION_INTEGRAL_G,ENERGY_VS_INTERACTION_G,physical_length_normalization,git_sha
coarse,0.0002,0.025,3.7500000000000003e-05,NOT_RESOLVED_NO_P0_SUPPORT_CHANGE,nan,nan,nan,NOT_CONVERGED_NO_CONTOUR_PLATEAU,NOT_EVALUATED_REQUIRES_CONVERGED_INTERACTION_G,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
coarse,0.0002,0.05,7.500000000000001e-05,NOT_RESOLVED_NO_P0_SUPPORT_CHANGE,nan,nan,nan,NOT_CONVERGED_NO_CONTOUR_PLATEAU,NOT_EVALUATED_REQUIRES_CONVERGED_INTERACTION_G,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
coarse,0.0002,0.1,0.00015000000000000001,RESOLVED_DISTINCT_P0_SUPPORT,66.33580633599163,66.33568162720881,1.8799618141188645e-06,NOT_CONVERGED_NO_CONTOUR_PLATEAU,NOT_EVALUATED_REQUIRES_CONVERGED_INTERACTION_G,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
medium,0.00013333333333333334,0.025,3.7500000000000003e-05,NOT_RESOLVED_NO_P0_SUPPORT_CHANGE,nan,nan,nan,NOT_CONVERGED_NO_CONTOUR_PLATEAU,NOT_EVALUATED_REQUIRES_CONVERGED_INTERACTION_G,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
medium,0.00013333333333333334,0.05,7.500000000000001e-05,NOT_RESOLVED_NO_P0_SUPPORT_CHANGE,nan,nan,nan,NOT_CONVERGED_NO_CONTOUR_PLATEAU,NOT_EVALUATED_REQUIRES_CONVERGED_INTERACTION_G,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
medium,0.00013333333333333334,0.1,0.00015000000000000001,RESOLVED_DISTINCT_P0_SUPPORT,51.97910529133468,51.97904599876222,1.1407001358283797e-06,NOT_CONVERGED_NO_CONTOUR_PLATEAU,NOT_EVALUATED_REQUIRES_CONVERGED_INTERACTION_G,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
fine,0.0001,0.025,3.7500000000000003e-05,NOT_RESOLVED_NO_P0_SUPPORT_CHANGE,nan,nan,nan,NOT_CONVERGED_NO_CONTOUR_PLATEAU,NOT_EVALUATED_REQUIRES_CONVERGED_INTERACTION_G,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
fine,0.0001,0.05,7.500000000000001e-05,RESOLVED_DISTINCT_P0_SUPPORT,35.6479616706314,35.64795691529182,1.333972367228281e-07,NOT_CONVERGED_NO_CONTOUR_PLATEAU,NOT_EVALUATED_REQUIRES_CONVERGED_INTERACTION_G,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
fine,0.0001,0.1,0.00015000000000000001,RESOLVED_DISTINCT_P0_SUPPORT,35.41242491481651,35.41240626599086,5.266181487594488e-07,NOT_CONVERGED_NO_CONTOUR_PLATEAU,NOT_EVALUATED_REQUIRES_CONVERGED_INTERACTION_G,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
finer,7.5e-05,0.025,3.7500000000000003e-05,NOT_RESOLVED_NO_P0_SUPPORT_CHANGE,nan,nan,nan,NOT_CONVERGED_NO_CONTOUR_PLATEAU,NOT_EVALUATED_REQUIRES_CONVERGED_INTERACTION_G,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
finer,7.5e-05,0.05,7.500000000000001e-05,RESOLVED_DISTINCT_P0_SUPPORT,32.777178852600265,32.77717517005731,1.1235082097221529e-07,NOT_CONVERGED_NO_CONTOUR_PLATEAU,NOT_EVALUATED_REQUIRES_CONVERGED_INTERACTION_G,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
finer,7.5e-05,0.1,0.00015000000000000001,RESOLVED_DISTINCT_P0_SUPPORT,24.44239794302009,24.442391834756602,2.4990442845020214e-07,NOT_CONVERGED_NO_CONTOUR_PLATEAU,NOT_EVALUATED_REQUIRES_CONVERGED_INTERACTION_G,True,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
