representation,h_tip_m,y_m,u_y_m,epsilon_yy,sigma_yy_Pa,git_sha
causal_p0,2.5e-05,-0.00015000000000000001,-1.8097677178444402e-07,0.00099524844740362,227697334.17685646,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,2.5e-05,-0.000125,-1.562144277278225e-07,0.0009957574788674165,227750314.6569771,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,2.5e-05,-0.0001,-1.3164569946666905e-07,0.0009961893701794372,227795514.61744523,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,2.5e-05,-7.500000000000001e-05,-1.0767384049257151e-07,0.0009965319459618255,227831300.48838115,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,2.5e-05,-5e-05,-8.535508300584558e-08,0.000996776340662132,227856380.88280827,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,2.5e-05,-2.5e-05,-6.767431576305302e-08,0.0016259368308528617,227869643.21453124,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,2.5e-05,0.0,2.391861463276882e-19,0.0022549997610692533,227873037.74456102,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,2.5e-05,2.5e-05,6.76743157635313e-08,0.0016259368308528608,227869643.21453094,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,2.5e-05,5e-05,8.535508300632393e-08,0.0009967763406621315,227856380.88280728,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,2.5e-05,7.500000000000001e-05,1.0767384049304998e-07,0.0009965319459618199,227831300.4883789,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,2.5e-05,0.0001,1.3164569946714723e-07,0.0009961893701794303,227795514.61744317,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,2.5e-05,0.000125,1.5621442772830057e-07,0.0009957574788674102,227750314.65697563,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,2.5e-05,0.00015000000000000001,1.809767717849218e-07,0.0009952484474036129,227697334.17685527,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,2.5e-05,-0.00015000000000000001,-1.5823445889786462e-06,0.00028007150215078754,753149.8972989704,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,2.5e-05,-0.000125,-1.5754658527500456e-06,0.0003048124418557786,354028.7603862821,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,2.5e-05,-0.0001,-1.5670885524176533e-06,0.0003309197234545811,122817.80296709134,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,2.5e-05,-7.500000000000001e-05,-1.5589268411112373e-06,0.0003580460563601347,17133.071094228377,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,2.5e-05,-5e-05,-1.5491787011032203e-06,0.0003858219917922044,-7786.817155291486,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,2.5e-05,-2.5e-05,-1.5396375232681201e-06,0.0309799521840448,-1308.8376250488825,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,2.5e-05,0.0,3.2304195933925274e-19,0.06156006706118676,172.79951440504607,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,2.5e-05,2.5e-05,1.5396375232687647e-06,0.030979952184044774,-1308.8376261324618,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,2.5e-05,5e-05,1.5491787011038647e-06,0.0003858219917922148,-7786.8171494507405,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,2.5e-05,7.500000000000001e-05,1.5589268411118838e-06,0.0003580460563601251,17133.071094993502,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,2.5e-05,0.0001,1.567088552418298e-06,0.00033091972345454404,122817.80296097531,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,2.5e-05,0.000125,1.5754658527506895e-06,0.0003048124418557745,354028.76038906083,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,2.5e-05,0.00015000000000000001,1.5823445889792904e-06,0.00028007150215080955,753149.8973077685,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,2.5e-05,-0.00015000000000000001,-1.5313774044209392e-06,0.00025890598968866666,1295302.6503635827,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,2.5e-05,-0.000125,-1.5250375550591476e-06,0.0002827170956011736,698041.5683986583,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,2.5e-05,-0.0001,-1.5172223016540178e-06,0.0003082405776083981,310060.4280208079,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,2.5e-05,-7.500000000000001e-05,-1.509635090647592e-06,0.00033514762409221345,91805.03615136641,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,2.5e-05,-5e-05,-1.5004528774071026e-06,0.0003630815475867855,740.1168785592163,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,2.5e-05,-2.5e-05,-1.491484943088398e-06,0.0003916332874095989,-13778.03986640989,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,2.5e-05,0.0,1.4808686579812381e-06,0.0004059962420282378,-11892.787224192318,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,2.5e-05,2.5e-05,1.4914849430884622e-06,0.0003916332874095967,-13778.039863840575,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,2.5e-05,5e-05,1.5004528774071682e-06,0.0003630815475867561,740.1168730896752,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,2.5e-05,7.500000000000001e-05,1.5096350906476557e-06,0.00033514762409216986,91805.03614167678,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,2.5e-05,0.0001,1.5172223016540811e-06,0.0003082405776084039,310060.42802485207,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,2.5e-05,0.000125,1.5250375550592129e-06,0.0002827170956011964,698041.568408287,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,2.5e-05,0.00015000000000000001,1.5313774044210049e-06,0.0002589059896886687,1295302.6503678758,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,1.25e-05,-7.500000000000001e-05,-9.074425291659212e-08,0.0009982997255580924,229316844.06950396,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,1.25e-05,-6.25e-05,-7.832605838433094e-08,0.0009983689167684271,229324252.7745526,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,1.25e-05,-5e-05,-6.601466847544588e-08,0.0009984255968195513,229330298.53179792,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,1.25e-05,-3.7500000000000003e-05,-5.400441856802998e-08,0.0009984692830895432,229334914.54260504,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,1.25e-05,-2.5e-05,-4.2831920465242366e-08,0.0009984997889353358,229338065.81091744,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,1.25e-05,-1.25e-05,-3.399368701196374e-08,0.0016315775558367733,229339697.99075267,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,1.25e-05,0.0,-1.0025968167653361e-18,0.0022646433147906577,229340114.360649,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,1.25e-05,1.25e-05,3.399368700995856e-08,0.001631577555836762,229339697.99075258,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,1.25e-05,2.5e-05,4.2831920463236876e-08,0.0009984997889353167,229338065.81091663,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,1.25e-05,3.7500000000000003e-05,5.400441856602415e-08,0.000998469283089532,229334914.54260486,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,1.25e-05,5e-05,6.60146684734401e-08,0.000998425596819549,229330298.53179792,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,1.25e-05,6.25e-05,7.832605838232514e-08,0.0009983689167684256,229324252.7745523,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,1.25e-05,7.500000000000001e-05,9.074425291458627e-08,0.000998299725558097,229316844.0695051,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,1.25e-05,-7.500000000000001e-05,-1.5447745818820618e-06,0.0003465503884997232,51780.75979378773,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,1.25e-05,-6.25e-05,-1.5404696989943145e-06,0.00036031358210756237,15635.274694380765,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,1.25e-05,-5e-05,-1.535765830397842e-06,0.00037423125183672784,-1388.8495162438703,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,1.25e-05,-3.7500000000000003e-05,-1.5311142540369769e-06,0.000388253084342055,-5514.07459274734,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,1.25e-05,-2.5e-05,-1.5260591985195218e-06,0.0004023279584431912,-3048.698617717884,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,1.25e-05,-1.25e-05,-1.5210560869293676e-06,0.0610405499032717,-92.59430020553506,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,1.25e-05,0.0,-1.3445226722365956e-18,0.12167172572962501,342.75143083545936,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,1.25e-05,1.25e-05,1.521056086926678e-06,0.061040549903271624,-92.59429634719669,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,1.25e-05,2.5e-05,1.5260591985168319e-06,0.00040232795844312257,-3048.6986149995137,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,1.25e-05,3.7500000000000003e-05,1.531114254034286e-06,0.0003882530843419708,-5514.074596493832,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,1.25e-05,5e-05,1.5357658303951499e-06,0.00037423125183666544,-1388.84951717277,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,1.25e-05,6.25e-05,1.5404696989916211e-06,0.00036031358210752876,15635.274696392,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,1.25e-05,7.500000000000001e-05,1.5447745818793685e-06,0.0003465503884997338,51780.7598039884,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,1.25e-05,-7.500000000000001e-05,-1.5194679702829123e-06,0.00033542932449589293,92029.51662101605,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,1.25e-05,-6.25e-05,-1.5153028131404758e-06,0.000349212112662249,36169.71329489955,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,1.25e-05,-5e-05,-1.5107364934224424e-06,0.0003631938357538563,4903.431533747556,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,1.25e-05,-3.7500000000000003e-05,-1.5062234415793996e-06,0.000377323973418431,-8001.315416828693,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,1.25e-05,-2.5e-05,-1.5013028140716103e-06,0.0003915510401137268,-8879.142463025404,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,1.25e-05,-1.25e-05,-1.4964347915641026e-06,0.00040582174269830065,-4344.640775984422,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,1.25e-05,0.0,1.4911572965247427e-06,0.00041295931884023727,-2015.2104100451397,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,1.25e-05,1.25e-05,1.4964347915642803e-06,0.0004058217426982074,-4344.640777793371,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,1.25e-05,2.5e-05,1.501302814071787e-06,0.00039155104011353404,-8879.142491797,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,1.25e-05,3.7500000000000003e-05,1.5062234415795733e-06,0.0003773239734181714,-8001.315460084559,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,1.25e-05,5e-05,1.5107364934226124e-06,0.0003631938357535679,4903.431485810586,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,1.25e-05,6.25e-05,1.515302813140641e-06,0.00034921211266194537,36169.71324075073,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,1.25e-05,7.500000000000001e-05,1.5194679702830736e-06,0.00033542932449567744,92029.51658626276,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,6.25e-06,-3.7500000000000003e-05,-4.5427690481611236e-08,0.0009992486262477636,230057504.26259375,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,6.25e-06,-3.125e-05,-3.921281282329968e-08,0.000999257396614888,230058450.62333333,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,6.25e-06,-2.5e-05,-3.305212878371506e-08,0.0009992645184441192,230059214.65210524,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,6.25e-06,-1.8750000000000002e-05,-2.7042540339144417e-08,0.0009992699676292518,230059792.79877645,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,6.25e-06,-1.25e-05,-2.145351237652616e-08,0.00099927375150524,230060184.93991727,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,6.25e-06,-6.25e-06,-1.703530365255264e-08,0.0016343236433992772,230060386.94276989,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,6.25e-06,0.0,-2.211285387925758e-19,0.0022693720515982764,230060438.41319504,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,6.25e-06,6.25e-06,1.7035303652110407e-08,0.001634323643399296,230060386.9427733,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,6.25e-06,1.25e-05,2.145351237608404e-08,0.0009992737515052527,230060184.93992323,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,6.25e-06,1.8750000000000002e-05,2.704254033870232e-08,0.0009992699676292457,230059792.79878205,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,6.25e-06,2.5e-05,3.305212878327292e-08,0.0009992645184441185,230059214.65211424,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,6.25e-06,3.125e-05,3.92128128228575e-08,0.0009992573966149073,230058450.6233454,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
causal_p0,6.25e-06,3.7500000000000003e-05,4.542769048116927e-08,0.0009992486262477961,230057504.26260632,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
