h_tip_m,representation,reaction_N_per_m,compliance_m2_per_N,energy_J_per_m,extrapolated_COD_m,global_G_energy_J_per_m2,global_G_compliance_J_per_m2,git_sha,direct_face_COD_m
2.5e-05,causal_p0,1843296.164605658,4.340051345851666e-12,7.373184658422576,7.485960014891313e-08,7.829255268907431,7.8292551808367294,9386e7d76fcb98bcae17851a3a9a3a19b03f4888,
2.5e-05,complete_corridor,1740359.2006770237,4.596752208904857e-12,6.96143680270809,3.0644137573189008e-06,534.5023680990035,534.470845317006,9386e7d76fcb98bcae17851a3a9a3a19b03f4888,
2.5e-05,intact,1846153.84615395,4.333333333333089e-12,7.384615384615589,-3.8207944898730468e-25,0.0,0.0,9386e7d76fcb98bcae17851a3a9a3a19b03f4888,
2.5e-05,conforming_slit,1746701.5340559056,4.580061243447645e-12,6.986806136223384,2.9662004619299473e-06,nan,nan,9386e7d76fcb98bcae17851a3a9a3a19b03f4888,2.9617373159624114e-06
1.25e-05,causal_p0,1844703.0753851817,4.3367412928118884e-12,7.378812301538579,3.7643668379242e-08,3.9273438792175597,3.9273438763381625,9386e7d76fcb98bcae17851a3a9a3a19b03f4888,
1.25e-05,complete_corridor,1742048.5914584838,4.592294405118868e-12,6.968194365831412,3.03318633652197e-06,530.2258935129167,530.218217672363,9386e7d76fcb98bcae17851a3a9a3a19b03f4888,
1.25e-05,intact,1846153.846154094,4.333333333332751e-12,7.384615384614601,-3.14261735478482e-22,0.0,0.0,9386e7d76fcb98bcae17851a3a9a3a19b03f4888,
1.25e-05,conforming_slit,1745343.14922622,4.583625863800317e-12,6.981372596903437,2.9834359037775555e-06,522.2260081976682,522.2187022286497,9386e7d76fcb98bcae17851a3a9a3a19b03f4888,2.982314593049307e-06
6.25e-06,causal_p0,1845422.3806505098,4.3350509259457485e-12,7.3816895226054715,1.8879254311476754e-08,1.966824758294905,1.9668247580161822,9386e7d76fcb98bcae17851a3a9a3a19b03f4888,
6.25e-06,complete_corridor,1742958.7552882698,4.5898963333053e-12,6.971835021156654,3.0180797964832348e-06,527.8760056309206,527.8684393103664,9386e7d76fcb98bcae17851a3a9a3a19b03f4888,
6.25e-06,intact,1846153.8461568006,4.333333333326398e-12,7.384615384626767,-6.3535928335642405e-22,0.0,0.0,9386e7d76fcb98bcae17851a3a9a3a19b03f4888,
6.25e-06,conforming_slit,1744654.006662455,4.5854364071327245e-12,6.978616026650289,2.992902239994199e-06,523.8112899198377,523.8039113949189,9386e7d76fcb98bcae17851a3a9a3a19b03f4888,2.992622575815566e-06
