candidate_id,parent_id,family,stage,cleavage_zero_target_eV,guard_log10_q_low,guard_exponent,cleavage_entropy_zero_kB,cleavage_entropy_active_kB,cleavage_entropy_infinity_kB,emission_entropy_active_kB,emission_entropy_infinity_kB,emission_stratum,cleavage_heat_capacity_base_kB,cleavage_heat_capacity_guard_kB,emission_heat_capacity_base_kB,complexity,legacy_candidate_id,entropy_pair_id,legacy_emission_entropy_over_kB,corrected_emission_entropy_over_kB,legacy_emission_barrier_temperature_derivative_over_kB,entropy_representation,all_nonentropy_coordinates_equal,Tref_surface_equal,corrected_candidate_id,KFP_ratio,KFP_300K,F1B_eligible,activation_entropy_over_kB,barrier_temperature_derivative_over_kB,hard_rejection,complete_row_sha256
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,S,1.7161883944645524,-7.012919939123094,3.7565182275138795,-3.631544206291437,-8.618306666612625,-6.4620233699679375,-40.121609799977804,-12.37985810264945,NEGATIVE_PRIMARY_PRIOR,0.0,0.0,0.0,2,P25_TJBS_S_004127,PAIR_P25_TJBS_S_004127,39.75678040004439,-40.121609799977804,-39.75678040004439,DIRECT_FREE_ENERGY_SURFACE_NO_PREFACTOR_DOUBLE_COUNTING,True,True,P25_TJBSV2_S_004127,0.4401156353019441,3.443746990845025,True,,,,9eca18c6a2b6378a17359e47ea89b1778901b29c9d92f753a53dec4ff009b9a5
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,S,1.5238515874370933,-3.71185402572155,3.759237412363291,-41.76030000671744,-7.101280838251114,-4.993137717247009,-45.53902781258027,-2.838879432529211,NEGATIVE_PRIMARY_PRIOR,0.0,0.0,0.0,2,P25_TJBS_S_059496,PAIR_P25_TJBS_S_059496,28.921944374839462,-45.53902781258027,-28.921944374839462,DIRECT_FREE_ENERGY_SURFACE_NO_PREFACTOR_DOUBLE_COUNTING,True,True,P25_TJBSV2_S_059496,0.8419232611452758,3.9562977081316375,True,,,,f1c28929d300e89890ddb9b28cde7910b8a7efae390b4732efdc53d69642b55e
P25_TJBSV2_S_026704,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,S,1.6862580003216863,-3.2265699533745646,5.019761509727687,-48.67668403312564,-13.768530189990997,-11.76285333931446,-45.39060189657741,-2.7870428562164307,NEGATIVE_PRIMARY_PRIOR,0.0,0.0,0.0,2,P25_TJBS_S_026704,PAIR_P25_TJBS_S_026704,29.218796206845177,-45.39060189657741,-29.218796206845177,DIRECT_FREE_ENERGY_SURFACE_NO_PREFACTOR_DOUBLE_COUNTING,True,True,P25_TJBSV2_S_026704,1.0579873831891193,4.340229949435821,True,,,,8e86dfa6ee12564d9a986afef88ee12087ab5794e14eb14f57383de17f299cb5
P25_TJBSV2_S_064036,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,S,1.8606342375278473,-5.4456502590328455,7.33636429393664,-32.71889556199312,-7.6815953850746155,-1.8739520013332367,-41.7354594791929,-1.8948053196072578,NEGATIVE_PRIMARY_PRIOR,0.0,0.0,0.0,2,P25_TJBS_S_064036,PAIR_P25_TJBS_S_064036,36.52908104161421,-41.7354594791929,-36.52908104161421,DIRECT_FREE_ENERGY_SURFACE_NO_PREFACTOR_DOUBLE_COUNTING,True,True,P25_TJBSV2_S_064036,1.4651393640334762,4.189256985659264,True,,,,1f7daf53feec789c88441bc561c372eb100782b0d47e8339d5e4cca25710d68e
P25_TJBSV2_S_038124,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,S,1.906875055283308,-4.79839413613081,3.181731330230832,-16.642877738922834,-17.046203464269638,-15.552471466362476,-20.308864675462246,-2.4825038760900497,NEGATIVE_TO_ZERO_CONTROL,0.0,0.0,0.0,2,P25_TJBS_S_038124,PAIR_P25_TJBS_S_038124,6.460756883025169,-20.308864675462246,-6.460756883025169,DIRECT_FREE_ENERGY_SURFACE_NO_PREFACTOR_DOUBLE_COUNTING,True,True,P25_TJBSV2_S_038124,1.9963857442365691,3.6651252751106402,True,,,,737d4aa2f8978e0f61b7be20f7d0a0edf09f15d33ed1aa816475b3782e33703a
P25_TJBSV2_S_005447,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,S,1.5875833490863442,-6.71167678385973,6.950175919570029,-18.24525035917759,-14.235848784446716,-9.461776539683342,-6.481021195650101,-3.6845681816339493,NEGATIVE_TO_ZERO_CONTROL,0.0,0.0,0.0,2,P25_TJBS_S_005447,PAIR_P25_TJBS_S_005447,15.679319202899933,-6.481021195650101,-15.679319202899933,DIRECT_FREE_ENERGY_SURFACE_NO_PREFACTOR_DOUBLE_COUNTING,True,True,P25_TJBSV2_S_005447,2.5695753451623276,4.008309492325813,True,,,,302cc6cd11a8ea7bdf5b7fa5e5ce220eadce859c6c631126a1b7e3ae535d340d
P25_TJBSV2_S_034272,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,S,1.7170417625457048,-5.359222834929824,4.72376988036558,-27.53591099753976,-10.843581706285477,0.3053261339664459,-33.6346985027194,-12.15686820447445,NEGATIVE_PRIMARY_PRIOR,0.0,0.0,0.0,2,P25_TJBS_S_034272,PAIR_P25_TJBS_S_034272,52.730602994561195,-33.6346985027194,-52.730602994561195,DIRECT_FREE_ENERGY_SURFACE_NO_PREFACTOR_DOUBLE_COUNTING,True,True,P25_TJBSV2_S_034272,2.9971646999052868,3.914831353215123,True,,,,4ef9b4179a49a1a7eb9a50e5278e5d1cc60d71332a9de80d2d23069761d28491
P25_TJBSV2_S_026962,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,S,1.3794732559472322,-3.659496495500207,4.33083588629961,-46.47340476512909,-13.39549608528614,2.1128779649734497,-39.54935438682635,-9.651880823075771,NEGATIVE_PRIMARY_PRIOR,0.0,0.0,0.0,2,P25_TJBS_S_026962,PAIR_P25_TJBS_S_026962,40.90129122634729,-39.54935438682635,-40.90129122634729,DIRECT_FREE_ENERGY_SURFACE_NO_PREFACTOR_DOUBLE_COUNTING,True,True,P25_TJBSV2_S_026962,3.4744035670015228,4.061995355007106,True,,,,97afdc29012755ec7081ff704b157155df2f29cf444895e5a4534fca3fe75520
P25_TJBSV2_S_055250,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,S,1.3832266302779317,-4.256775432266295,4.4316560216248035,-40.835684817284346,-17.181091830134392,-3.601326122879982,-31.06447885433833,-8.832027912139893,NEGATIVE_PRIMARY_PRIOR,0.0,0.0,0.0,2,P25_TJBS_S_055250,PAIR_P25_TJBS_S_055250,57.87104229132334,-31.06447885433833,-57.87104229132334,DIRECT_FREE_ENERGY_SURFACE_NO_PREFACTOR_DOUBLE_COUNTING,True,True,P25_TJBSV2_S_055250,3.8570958557972896,3.940462935887901,True,,,,d83231a91ed6dbd83b834ab13037d5e4b71cda01abf76e04f6c2bc2b75471016
P25_TJBSV2_S_002987,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,S,1.7580511523410678,-7.318065093830228,3.2919485424645245,-36.75673920661211,-17.12182253599167,-4.803120717406273,-43.891327637351225,-13.908877447247505,NEGATIVE_PRIMARY_PRIOR,0.0,0.0,0.0,2,P25_TJBS_S_002987,PAIR_P25_TJBS_S_002987,32.21734472529756,-43.891327637351225,-32.21734472529756,DIRECT_FREE_ENERGY_SURFACE_NO_PREFACTOR_DOUBLE_COUNTING,True,True,P25_TJBSV2_S_002987,4.677363153367957,3.2345697895274093,True,,,,5c78a9c4133f3b17994ad6ac159f25af44e719abe5f7d4e012009ad261ceb0d5
