emission_activation_entropy_over_kB,rows,joint_admissible,emission_minimum_G_eV,maximum_ceiling_fraction
-60.0,192,5,0.04792593700990316,0.1640625
-50.0,192,23,0.04792593700990316,0.1640625
-45.0,192,36,0.04792593700990316,0.1640625
-40.0,192,38,0.04792593700990316,0.1640625
-35.0,192,34,0.04792593700990316,0.1640625
-30.0,192,28,0.04792593700990316,0.1640625
-25.0,192,33,0.04792593700990316,0.1640625
-20.0,192,37,0.04792593700990316,0.1640625
-10.0,192,30,-5.491749769719794,1.0
0.0,192,5,-22.04315901482256,1.0
10.0,192,0,-38.59456825992533,1.0
20.0,192,0,-55.14597750502811,1.0
30.0,192,0,-71.69738675013087,1.0
40.0,192,0,-88.24879599523366,1.0
50.0,192,0,-104.80020524033642,1.0
60.0,192,0,-121.35161448543919,1.0
