radius_m,metric,from_d_over_R,to_d_over_R,from_finer_value,to_finer_value,from_fine_finer_uncertainty,to_fine_finer_uncertainty,allowed_upper_value,status,solver_identity,git_sha
0.0001,same_reaction_annular_L2_relative,8,16,0.02090439975724712,0.0028135807582800195,0.04559689423955926,0.0008922926537032905,0.06739358665050967,PASS,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
0.0001,same_reaction_annular_L2_relative,16,32,0.0028135807582800195,0.0007564663523607506,0.0008922926537032905,0.00016611187296108909,0.0038719852849443993,PASS,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
0.0001,same_reaction_annular_L2_relative,32,64,0.0007564663523607506,0.0006975493951384993,0.00016611187296108909,4.238399205180898e-06,0.0009268166245270206,PASS,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
0.0001,same_reaction_interaction_KI_relative_error,8,16,0.003562785889827058,0.0005041995538859201,0.000741435090090059,9.840916418624168e-05,0.004402630144103359,PASS,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
0.0001,same_reaction_interaction_KI_relative_error,16,32,0.0005041995538859201,0.0001019004713909144,9.840916418624168e-05,0.00014046099584574812,0.0007430697139179099,PASS,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
0.0001,same_reaction_interaction_KI_relative_error,32,64,0.0001019004713909144,0.0006572221602023642,0.00014046099584574812,3.8816861280821513e-07,0.00024274963584947074,FAIL,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
0.00015,same_reaction_annular_L2_relative,8,16,0.011895435196193058,0.0026385411980664334,0.005070106349502841,0.0006719346766526618,0.017637476222348562,PASS,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
0.00015,same_reaction_annular_L2_relative,16,32,0.0026385411980664334,0.0014040821881408634,0.0006719346766526618,0.00010230441234216855,0.0034127802870612635,PASS,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
0.00015,same_reaction_annular_L2_relative,32,64,0.0014040821881408634,0.0017793598430060832,0.00010230441234216855,0.00010680320387290265,0.0016131898043559346,FAIL,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
0.00015,same_reaction_interaction_KI_relative_error,8,16,0.0023164321565489754,4.9573124303536886e-05,0.0008120916262830402,0.00035928575252608397,0.0034878095353580996,PASS,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
0.00015,same_reaction_interaction_KI_relative_error,16,32,4.9573124303536886e-05,0.0010104137715956085,0.00035928575252608397,5.734060270823349e-05,0.00046619947953785434,FAIL,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
0.00015,same_reaction_interaction_KI_relative_error,32,64,0.0010104137715956085,0.0017703700855991045,5.734060270823349e-05,0.00010640061052558103,0.001174154984829423,FAIL,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
