case,mesh,center_x_m,offset_y_m,ligament_over_R,tip_sigma_yy_Pa,tip_probe_relative_to_same_mesh_crack_only,compliance_m2_per_N,traction_l2_normalized,free_residual_relative,solver_identity,git_sha
crack_only,coarse,,0,INF,927417279.9334718,1.0,5.1527478448258716e-12,,1.3704367815007087e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
centered,coarse,0.003,0,2.999999999999999,491720473.37893957,0.5302041314285335,4.573471457580733e-12,0.258338838784897,1.5489905936395792e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
far,coarse,0.006,0,15.0,238293807.42000347,0.25694346285751485,4.306302908738217e-12,0.23425461044835086,2.2788711592684096e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
offset_positive,coarse,0.004,0.00025,6.999999999999999,479609356.36711097,0.5171451586512553,5.047268610646697e-12,0.2678291052583834,1.6493020741698215e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
offset_negative,coarse,0.004,-0.00025,6.999999999999999,468171408.8127943,0.5048120397825439,5.070284230941719e-12,0.26717968316105584,1.5416207251077236e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
crack_only,medium,,0,INF,1017844052.8882488,1.0,5.160226615896385e-12,,2.1168773084953017e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
centered,medium,0.003,0,2.999999999999999,566447812.5603688,0.5565172886288507,4.449427325536144e-12,0.17751956046815592,2.2272727749209355e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
far,medium,0.006,0,15.0,235685019.57213503,0.2315531725153297,4.316956845729216e-12,0.1652507568545363,2.940113098269432e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
offset_positive,medium,0.004,0.00025,6.999999999999999,594344043.786708,0.5839244647548796,4.347263505279937e-12,0.18795607168639056,1.9082050005151573e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
offset_negative,medium,0.004,-0.00025,6.999999999999999,582027237.0908424,0.5718235867658445,4.403149915689716e-12,0.188490053415128,2.0715258876813176e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
crack_only,fine,,0,INF,1296753540.5512607,1.0,5.153377479879218e-12,,2.896806070093597e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
centered,fine,0.003,0,2.999999999999999,928877186.8968251,0.716309736468467,4.434057918281506e-12,0.1345869730479482,3.1551188814825766e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
far,fine,0.006,0,15.0,237700076.91204485,0.1833039737150026,4.28520187928647e-12,0.12256276565127268,4.7914022344199245e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
offset_positive,fine,0.004,0.00025,6.999999999999999,633555141.7785077,0.4885702039488384,4.418481490792787e-12,0.14428644003624255,2.5758358267841796e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
offset_negative,fine,0.004,-0.00025,6.999999999999999,632591948.6806043,0.4878274312724716,4.420988605495716e-12,0.1426926845417752,2.5339541923184082e-14,arrhenius_fracture.fem.production_CST_plane_strain,a37613268a2eb98111f8fe0f49598ca6218dba5a
