mesh,radius_m,d_over_R,family,outer_radius_m,outer_over_h,effective_tip_x_m,K_I_Pa_sqrt_m,K_II_Pa_sqrt_m,active_elements,reaction_rescale_to_control,reaction_normalized_K_I_Pa_sqrt_m,reaction_normalized_K_II_Pa_sqrt_m,solver_identity,git_sha
coarse,0.0001,8,void,0.0004725,2.3625,0.00199998567792567,4997320.978187303,1.936650607580911e-07,226,1.0010885637399665,5002760.880601131,1.9387587752093078e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,8,void,0.0005362500000000002,2.681250000000001,0.00199998567792567,5501619.366666658,2.0981006739781792e-07,290,1.0010885637399665,5507608.230020309,2.100384590294671e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,8,void,0.0006000000000000003,3.0000000000000013,0.00199998567792567,6162089.1780216405,2.2482903598957822e-07,424,1.0010885637399665,6168797.004863274,2.2507377672584808e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,8,matched_control,0.0004725,2.3625,0.00199998567792567,4981358.662136657,1.0790543252945167e-07,226,1.0010885637399665,4981358.662136657,1.0790543252945167e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,8,matched_control,0.0005362500000000002,2.681250000000001,0.00199998567792567,5481884.157337032,1.1522590936760834e-07,290,1.0010885637399665,5481884.157337032,1.1522590936760834e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,8,matched_control,0.0006000000000000003,3.0000000000000013,0.00199998567792567,6137987.380537235,1.23171018956616e-07,424,1.0010885637399665,6137987.380537235,1.23171018956616e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,16,void,0.0004725,2.3625,0.0019855662008510556,5263551.620472075,-1.5320747008711874e-09,70,1.0007489549503261,5267493.783514525,-1.5332221558026743e-09,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,16,void,0.00083625,4.1812499999999995,0.0019855662008510556,10920814.947665881,-5.648370998179404e-09,268,1.0007489549503261,10928994.146082532,-5.652601373599769e-09,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,16,void,0.0012000000000000001,6.0,0.0019855662008510556,13249502.394279428,8.374249262931073e-10,648,1.0007489549503261,13259425.674686981,8.380521198371809e-10,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,16,matched_control,0.0004725,2.3625,0.0019855662008510556,5264143.660358298,-5.885704973529966e-08,70,1.0007489549503261,5264143.660358298,-5.885704973529966e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,16,matched_control,0.00083625,4.1812499999999995,0.0019855662008510556,10917466.011335956,-8.865403658953905e-08,268,1.0007489549503261,10917466.011335956,-8.865403658953905e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,16,matched_control,0.0012000000000000001,6.0,0.0019855662008510556,13244602.945670111,-8.606788821903096e-08,648,1.0007489549503261,13244602.945670111,-8.606788821903096e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,32,void,0.0004725,2.3625,0.0019716172297243885,5837478.649927024,4.788659917305781e-09,28,1.0006859587445043,5841482.919452799,4.791944740450514e-09,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,32,void,0.00103625,5.18125,0.0019716172297243885,12085882.045509767,1.646598453203634e-08,136,1.0006859587445043,12094172.461983932,1.6477279518112963e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,32,void,0.0016,8.0,0.0019716172297243885,12900217.94315434,1.1407456939885136e-08,304,1.0006859587445043,12909066.960458457,1.1415281984725606e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
