Kmax_MPa_sqrt_m,n_seeds,n_finite_rate_seeds,mean_r_eff_m,std_r_eff_m,mean_delta_r_m,mean_da_dN,std_da_dN,rel_std_da_dN,role
12.0,3,0,1.0045607164558419e-06,2.3389727057739727e-10,4.560716455841937e-09,nan,nan,nan,STOCHASTIC_UNCERTAINTY_ONLY_NOT_PRIMARY_COMPARISON
15.0,3,3,1.0087223177754277e-06,4.755020422872202e-10,8.722317775427722e-09,3.224707314616556e-08,1.074318020990771e-09,0.033315210224544554,STOCHASTIC_UNCERTAINTY_ONLY_NOT_PRIMARY_COMPARISON
18.0,3,3,1.0185545987273986e-06,8.017620899178348e-10,1.8554598727398617e-08,5.6485139267201944e-08,4.002498254659899e-09,0.07085931461948164,STOCHASTIC_UNCERTAINTY_ONLY_NOT_PRIMARY_COMPARISON
24.0,3,3,1.050288344302473e-06,2.006697597426308e-09,5.028834430247296e-08,6.337642471705974e-08,5.823031435610515e-09,0.09188008729755727,STOCHASTIC_UNCERTAINTY_ONLY_NOT_PRIMARY_COMPARISON
