Kmax_MPa_sqrt_m,seed,sample_events_requested,b1_converged,b1_da_dN,physical_da_dN,physical_over_b1_rate_ratio,rate_log10_error_decade,b1_r_eff_m,physical_tip_radius_m,b1_delta_r_m,physical_delta_r_m,physical_over_b1_delta_r_ratio,total_radius_rel_error_SECONDARY,physical_event_count,b1_events,b1_sample_events_achieved,radius_semantics_b1,radius_semantics_physical,semantics_matched
12.0,1720,160,False,nan,2.448159884833225e-08,nan,nan,1.0043660749513834e-06,1.0105318630661543e-06,4.366074951383467e-09,1.0531863066154343e-08,2.412203909329852,0.006101527660951383,18,86,56,mean_post_event_after_burn_in,single_summary_tip_radius_m_semantics_unconfirmed,False
15.0,1720,160,True,3.1598511166572335e-08,3.003481684450034e-07,9.505136709185777,0.9779583675579104,1.0082276038437812e-06,1.041289045198725e-06,8.227603843781242e-09,4.1289045198725045e-08,5.0183560101685,0.031750493782093124,18,190,160,mean_post_event_after_burn_in,single_summary_tip_radius_m_semantics_unconfirmed,False
18.0,1720,160,True,5.351850503626498e-08,4.473410023231299e-07,8.35862291033736,0.9221347329767564,1.0178188849604302e-06,1.1004741824397272e-06,1.781888496043029e-08,1.0047418243972728e-07,5.638634665572309,0.07510880200392525,18,190,160,mean_post_event_after_burn_in,single_summary_tip_radius_m_semantics_unconfirmed,False
24.0,1720,160,True,6.162595273084659e-08,5.580641987406302e-07,9.05566849697228,0.9569205158129668,1.0480293612279243e-06,1.343158213754612e-06,4.802936122792439e-08,3.43158213754612e-07,7.144759059487532,0.21972754177759593,18,190,160,mean_post_event_after_burn_in,single_summary_tip_radius_m_semantics_unconfirmed,False
