Kmax,R,action_source,candidate_id,committed_length_m,cycles_total,energy_admitted_length_m,energy_gate_reason,event_K_Pa_sqrt_m,geometry_advanced,hazard_event_index,partial_block_hazard_action,physical_hazard_action,producer_head,projected_extension_m,proposed_length_m,result_path,seed,threshold_action
15.0,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,8.718789407138025e-06,303.0366885356175,8.718789407138008e-06,stochastic_proposal_reached,11235448.658978261,True,10,1.8488305083388543,1.8975835192495751,f2d692263518b64a9bbef5619fea9fe359dee037,7.069628804572982e-05,8.718789407138008e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_0.1_seed_1720__attempt0,1720,1.8975835192495756
15.0,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,2.6488656860629307e-06,313.24014501508765,2.6488656860629024e-06,stochastic_proposal_reached,10419716.390796341,True,11,0.5218551906266712,0.57650708554373,f2d692263518b64a9bbef5619fea9fe359dee037,7.307393604208878e-05,2.6488656860629024e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_0.1_seed_1720__attempt0,1720,0.5765070855437306
15.0,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,2.2973400956248442e-06,317.23775730325843,2.2973400956248734e-06,stochastic_proposal_reached,14985547.731860574,True,12,0.1497510137609368,0.19956070666704723,f2d692263518b64a9bbef5619fea9fe359dee037,7.532647743466322e-05,2.2973400956248734e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_0.1_seed_1720__attempt0,1720,0.1995607066672124
15.0,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,4.148406410658663e-06,337.0553662465509,4.1484064106587105e-06,stochastic_proposal_reached,11235448.658978257,True,13,0.8572664816696738,0.9028716337121929,f2d692263518b64a9bbef5619fea9fe359dee037,7.924461386729176e-05,4.1484064106587105e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_0.1_seed_1720__attempt0,1720,0.902871633712193
15.0,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,2.297340095624855e-06,344.00383391472616,2.2973400956248734e-06,stochastic_proposal_reached,14641778.374091962,True,14,0.2963698053382976,0.3468947700446216,f2d692263518b64a9bbef5619fea9fe359dee037,8.14144330787554e-05,2.2973400956248734e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_0.1_seed_1720__attempt0,1720,0.3468947700446216
15.0,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,4.14472061012194e-06,361.9961979724738,4.1447206101219155e-06,stochastic_proposal_reached,14985547.731860574,True,15,0.8524272855169696,0.9020694450106124,f2d692263518b64a9bbef5619fea9fe359dee037,8.474119329811595e-05,4.1447206101219155e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_0.1_seed_1720__attempt0,1720,0.9020694450106128
15.0,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,1.2039352342600011e-05,415.9406987588075,1.2039352342600039e-05,stochastic_proposal_reached,14641778.374091962,True,16,2.5721439369003494,2.62028081204175,f2d692263518b64a9bbef5619fea9fe359dee037,9.605076614939932e-05,1.2039352342600039e-05,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_0.1_seed_1720__attempt0,1720,2.6202808120417522
15.0,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,6.770046886316689e-06,442.9646081840092,6.770046886316709e-06,stochastic_proposal_reached,14870300.642721806,True,17,1.4195408245943457,1.473453342674383,f2d692263518b64a9bbef5619fea9fe359dee037,0.00010266778366452745,6.7700468863167094e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_0.1_seed_1720__attempt0,1720,1.473453342674382
16.5,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,2.297340095624918e-06,0.9486919737700221,2.2973400956248734e-06,stochastic_proposal_reached,16105956.211501159,True,0,0.07509316036236147,0.07509316036236142,f2d692263518b64a9bbef5619fea9fe359dee037,2.280340486986274e-06,2.2973400956248734e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,1720,0.07509316036236147
16.5,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,2.2973400956248993e-06,5.846110765614327,2.2973400956248734e-06,stochastic_proposal_reached,15248661.871346395,True,1,0.34073921784459194,0.4332087756327598,f2d692263518b64a9bbef5619fea9fe359dee037,4.525751767915621e-06,2.2973400956248734e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,1720,0.4332087756327596
