Kmax_MPa_sqrt_m,seed,sample_events_requested,fixed_point_converged,cycles,events,sample_events_achieved,da_dN,da_dN_finite,r_eff_m,delta_r_m,mean_event_length_m,net_source_linked_slip,emission_backstress_density_m2,backstress_Pa,wall_seconds,physical_da_dN,physical_tip_radius_m,terminal_condition
12.0,1720,80,False,1000000,86,56,nan,False,1.0043660749513834e-06,4.366074951383467e-09,4.585189804217034e-06,233.93903405988058,121615308859312.08,550640633.8689454,9332.790302991867,2.448159884833225e-08,1.0105318630661543e-06,MAXIMUM_CYCLE_EXHAUSTION_BEFORE_SAMPLE_TARGET
12.0,1720,160,False,1000000,86,56,nan,False,1.0043660749513834e-06,4.366074951383467e-09,4.585189804217034e-06,233.93903405988058,121615308859312.08,550640633.8689454,9182.775067806244,2.448159884833225e-08,1.0105318630661543e-06,MAXIMUM_CYCLE_EXHAUSTION_BEFORE_SAMPLE_TARGET
12.0,2024,80,False,1000000,102,72,nan,False,1.0048201912913998e-06,4.820191291399892e-09,4.401015677252121e-06,222.22944723784315,115527974936165.88,545143836.7618002,9319.193568944931,2.448159884833225e-08,1.0105318630661543e-06,MAXIMUM_CYCLE_EXHAUSTION_BEFORE_SAMPLE_TARGET
12.0,2024,160,False,1000000,102,72,nan,False,1.0048201912913998e-06,4.820191291399892e-09,4.401015677252121e-06,222.22944723784315,115527974936165.88,545143836.7618002,8405.06682395935,2.448159884833225e-08,1.0105318630661543e-06,MAXIMUM_CYCLE_EXHAUSTION_BEFORE_SAMPLE_TARGET
12.0,3031,80,False,1000000,102,72,nan,False,1.0044958831247426e-06,4.495883124742663e-09,4.544559470190031e-06,211.7580521671033,110084326120416.73,554331879.0171762,8302.967706918716,2.448159884833225e-08,1.0105318630661543e-06,MAXIMUM_CYCLE_EXHAUSTION_BEFORE_SAMPLE_TARGET
12.0,3031,160,False,1000000,102,72,nan,False,1.0044958831247426e-06,4.495883124742663e-09,4.544559470190031e-06,211.7580521671033,110084326120416.73,554331879.0171762,8312.808531045914,2.448159884833225e-08,1.0105318630661543e-06,MAXIMUM_CYCLE_EXHAUSTION_BEFORE_SAMPLE_TARGET
15.0,1720,80,True,17907,110,80,3.2668161667278765e-08,True,1.0085130119957607e-06,8.513011995760794e-09,5.080307491282688e-06,0.47732083792534885,248139526447.75894,764789728.797972,144.43407201766968,3.003481684450034e-07,1.041289045198725e-06,SAMPLE_TARGET_REACHED
15.0,1720,160,True,32257,190,160,3.1598511166572335e-08,True,1.0082276038437812e-06,8.227603843781242e-09,5.290973204147747e-06,3.2882826524417125e-06,1709443.2829493985,766700625.996809,262.87992906570435,3.003481684450034e-07,1.041289045198725e-06,SAMPLE_TARGET_REACHED
15.0,2024,80,True,15413,110,80,3.4387245334146435e-08,True,1.0097001914662823e-06,9.700191466282365e-09,4.62981274367614e-06,1.3096881538003374e-05,6808531.546428866,762565740.6993182,127.4527678489685,3.003481684450034e-07,1.041289045198725e-06,SAMPLE_TARGET_REACHED
15.0,2024,160,True,27559,190,160,3.348715145480249e-08,True,1.0091759410414444e-06,9.175941041444396e-09,4.796406561810679e-06,0.0005493910583765832,285605878.1190748,763670026.5743644,224.6330909729004,3.003481684450034e-07,1.041289045198725e-06,SAMPLE_TARGET_REACHED
15.0,3031,80,True,15542,110,80,3.283704722214997e-08,True,1.0091519116710159e-06,9.151911671015897e-09,4.601701705094042e-06,23.41875198571696,12174448643371.955,764416157.6872499,126.17280387878418,3.003481684450034e-07,1.041289045198725e-06,SAMPLE_TARGET_REACHED
15.0,3031,160,True,28701,190,160,3.165555681712185e-08,True,1.0087634084410573e-06,8.763408441057316e-09,4.821536997707872e-06,24.78048796987929,12882359330291.848,765077135.7644594,232.35495710372925,3.003481684450034e-07,1.041289045198725e-06,SAMPLE_TARGET_REACHED
18.0,1720,80,True,10593,110,80,5.504870639341935e-08,True,1.0184239097344928e-06,1.8423909734492888e-08,5.080307491282688e-06,0.7708132002256265,400714168095.0123,1102393061.175351,81.9351270198822,4.473410023231299e-07,1.1004741824397272e-06,SAMPLE_TARGET_REACHED
18.0,1720,160,True,19028,190,160,5.351850503626498e-08,True,1.0178188849604302e-06,1.781888496043029e-08,5.290973204147747e-06,6.174402112088603e-06,3209818.416583373,1100491538.295193,147.08696484565735,4.473410023231299e-07,1.1004741824397272e-06,SAMPLE_TARGET_REACHED
18.0,2024,80,True,8432,110,80,6.443719893773334e-08,True,1.020620201145945e-06,2.0620201145945017e-08,4.62981274367614e-06,2.121003753834062e-05,11026228.592027722,1080341389.3585992,65.8432137966156,4.473410023231299e-07,1.1004741824397272e-06,SAMPLE_TARGET_REACHED
18.0,2024,160,True,15257,190,160,6.103754472995376e-08,True,1.0194091448224432e-06,1.9409144822443268e-08,4.796406561810679e-06,0.0008519726513036434,442905637.97676647,1081951900.155426,118.97856283187866,4.473410023231299e-07,1.1004741824397272e-06,SAMPLE_TARGET_REACHED
18.0,3031,80,True,9070,110,80,5.5626493866352875e-08,True,1.0191565548508769e-06,1.9156554850876903e-08,4.601701705094042e-06,36.59021189189599,19021750424603.023,1101237375.13811,70.30356788635254,4.473410023231299e-07,1.1004741824397272e-06,SAMPLE_TARGET_REACHED
18.0,3031,160,True,16504,190,160,5.4899368035387097e-08,True,1.0184357663993222e-06,1.8435766399322293e-08,4.821536997707872e-06,60.531913761999455,31468059264214.66,1097138059.3164382,128.36731791496277,4.473410023231299e-07,1.1004741824397272e-06,SAMPLE_TARGET_REACHED
24.0,1720,80,True,9374,110,80,6.30017980627213e-08,True,1.0494210277514658e-06,4.942102775146587e-08,5.080307491282688e-06,2.897349060818586,1506212942703.638,1821871410.393903,62.311091899871826,5.580641987406302e-07,1.343158213754612e-06,SAMPLE_TARGET_REACHED
24.0,1720,160,True,16660,190,160,6.162595273084659e-08,True,1.0480293612279243e-06,4.802936122792439e-08,5.290973204147747e-06,1.695992393452133e-05,8816768.846704634,1821213274.6218662,110.78812909126282,5.580641987406302e-07,1.343158213754612e-06,SAMPLE_TARGET_REACHED
24.0,2024,80,True,7083,110,80,7.776296861097863e-08,True,1.0526813347974364e-06,5.26813347974364e-08,4.62981274367614e-06,6.66391816395042e-05,34642977.34572967,1713916756.4557757,48.91958808898926,5.580641987406302e-07,1.343158213754612e-06,SAMPLE_TARGET_REACHED
