composite_id,parameter_option,Kmax_MPa_sqrt_m,deltaK_MPa_sqrt_m,R,n_bins,seed,temperature_K,frequency_Hz,target_ext_um,cycles_max,max_wall_seconds,fresh,resume,status,result_path,predicted_da_dN_OBSERVED_A_NATIVE_ENVELOPE,predicted_da_dN_RAW_B1,predicted_da_dN_RADIUS_SCALED_B1,predicted_local_slope_RADIUS_SCALED_B1,target_da_dN,target_local_slope
P40_RADIUS_SCALED_ENVELOPE_V1__DK_12.15__R0p1__n80__seed1720,P40_RADIUS_SCALED_ENVELOPE_V1,13.5,12.15,0.1,80,1720,300.0,1000.0,100,1000000000000,43200,True,False,PENDING,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_p40_pilot_v1/P40_RADIUS_SCALED_ENVELOPE_V1/K_13.5_R_0.1_seed_1720,1.639877259141026e-07,1.5931509897421866e-07,1.6093510660331768e-07,3.891273588808393,1.4286990725190266e-07,3.845041
P40_RADIUS_SCALED_ENVELOPE_V1__DK_16.2__R0p1__n80__seed1720,P40_RADIUS_SCALED_ENVELOPE_V1,18.0,16.2,0.1,80,1720,300.0,1000.0,100,1000000000000,43200,True,False,PENDING,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_p40_pilot_v1/P40_RADIUS_SCALED_ENVELOPE_V1/K_18_R_0.1_seed_1720,4.4600484050445897e-07,4.892810925738828e-07,4.4802918940557583e-07,3.9557352967800177,4.473410023231301e-07,3.958965
P40_RADIUS_SCALED_ENVELOPE_V1__DK_18.9__R0p1__n80__seed1720,P40_RADIUS_SCALED_ENVELOPE_V1,21.0,18.9,0.1,80,1720,300.0,1000.0,100,1000000000000,43200,True,False,PENDING,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_p40_pilot_v1/P40_RADIUS_SCALED_ENVELOPE_V1/K_21_R_0.1_seed_1720,6.847496691312505e-07,8.532069680810729e-07,7.256402392769669e-07,3.721268560178006,8.084670106097001e-07,3.621605
