Kmax_MPa_sqrt_m,b1_delta_r_m,physical_delta_r_m,physical_over_b1_delta_r_ratio,alpha_r_applied,radius_scaled_m,radius_scaled_vs_physical_rel_error,a0_rate_at_scaled_radius,physical_da_dN,scaled_rate_log10_error_decade,is_calibration_point,role
12.0,4.366074951383467e-09,1.0531863066154343e-08,2.412203909329852,5.638634665572309,1.0246187015733577e-06,0.013940024082428412,4.1434365241134676e-09,2.448159884833225e-08,0.7714790873732014,False,HOLDOUT
15.0,8.227603843781242e-09,4.1289045198725045e-08,5.0183560101685,5.638634665572309,1.0463924522481408e-06,0.00490104747855277,6.365464550979372e-08,3.003481684450034e-07,0.6737948840026053,False,HOLDOUT
18.0,1.781888496043029e-08,1.0047418243972728e-07,5.638634665572309,5.638634665572309,1.1004741824397272e-06,0.0,9.569943945693471e-08,4.473410023231299e-07,0.6697293125251278,True,ALPHA_R_CALIBRATION_POINT_RADIUS_ONLY
24.0,4.802936122792439e-08,3.43158213754612e-07,7.144759059487532,5.638634665572309,1.270820021185069e-06,0.05385679202104692,1.2502898078662264e-07,5.580641987406302e-07,0.6496734713945642,False,HOLDOUT
