candidate_id,Kmax,R,applied_full_DeltaK,seed,physical_rate,predicted_rate,developed_qualified
P40_TRANSFER_CALIBRATED_GEN2,15.0,-0.95,29.25,1720,1.4322919131928629e-07,1.4313529310823394e-07,True
P40_TRANSFER_CALIBRATED_GEN2,15.0,0.5,7.5,1720,3.081733559313685e-07,3.0703557987375173e-07,True
P40_TRANSFER_CALIBRATED_GEN2,18.0,-0.95,35.1,1720,2.9261681864032724e-07,2.961176738671538e-07,True
P40_TRANSFER_CALIBRATED_GEN2,18.0,0.5,9.0,1720,6.293549762711213e-07,6.3584195860398e-07,True
P40_TRANSFER_CALIBRATED_GEN2,21.0,-0.95,40.949999999999996,1720,4.6505043279673775e-07,5.34264699197719e-07,True
P40_TRANSFER_CALIBRATED_GEN2,21.0,0.5,10.5,1720,9.96709612382511e-07,1.1503842521653288e-06,True
P25_TRANSFER_V1_RANK1,15.0,-0.95,29.25,1720,1.8940225777112593e-07,1.877978633036216e-07,True
P25_TRANSFER_V1_RANK1,15.0,0.5,7.5,1720,4.1405471218378447e-07,4.0725028753804023e-07,True
P25_TRANSFER_V1_RANK1,18.0,-0.95,35.1,1720,3.0684345336896135e-07,2.942964360256238e-07,True
P25_TRANSFER_V1_RANK1,18.0,0.5,9.0,1720,6.775440507499524e-07,6.455529613755807e-07,True
P25_TRANSFER_V1_RANK1,21.0,-0.95,40.949999999999996,1720,4.156332112061093e-07,4.243316784104632e-07,True
P25_TRANSFER_V1_RANK1,21.0,0.5,10.5,1720,9.19476941726198e-07,9.389284667197645e-07,True
