profile_id,target_name,window,m_mid,Kmax_MPa_sqrt_m,g_target_m_per_cycle
P25_STANDARD_WINDOW,P25,STANDARD_WINDOW,2.5,12.0,1.6825775349330474e-07
P25_STANDARD_WINDOW,P25,STANDARD_WINDOW,2.5,12.75,1.918347598260083e-07
P25_STANDARD_WINDOW,P25,STANDARD_WINDOW,2.5,13.5,2.191934093148372e-07
P25_STANDARD_WINDOW,P25,STANDARD_WINDOW,2.5,15.0,2.84103572424123e-07
P25_STANDARD_WINDOW,P25,STANDARD_WINDOW,2.5,16.5,3.603263678630228e-07
P25_STANDARD_WINDOW,P25,STANDARD_WINDOW,2.5,18.0,4.473410023231301e-07
P25_STANDARD_WINDOW,P25,STANDARD_WINDOW,2.5,19.5,5.442066620407017e-07
P25_STANDARD_WINDOW,P25,STANDARD_WINDOW,2.5,21.0,6.475576740855994e-07
P25_STANDARD_WINDOW,P25,STANDARD_WINDOW,2.5,24.3,8.736769379290277e-07
P25_EXTENDED_FLAT_WINDOW,P25,EXTENDED_FLAT_WINDOW,2.5,12.0,1.6527483461425766e-07
P25_EXTENDED_FLAT_WINDOW,P25,EXTENDED_FLAT_WINDOW,2.5,12.75,1.8967689515439942e-07
P25_EXTENDED_FLAT_WINDOW,P25,EXTENDED_FLAT_WINDOW,2.5,13.5,2.1809261654507637e-07
P25_EXTENDED_FLAT_WINDOW,P25,EXTENDED_FLAT_WINDOW,2.5,15.0,2.836326436910117e-07
P25_EXTENDED_FLAT_WINDOW,P25,EXTENDED_FLAT_WINDOW,2.5,16.5,3.599328902188145e-07
P25_EXTENDED_FLAT_WINDOW,P25,EXTENDED_FLAT_WINDOW,2.5,18.0,4.473410023231301e-07
P25_EXTENDED_FLAT_WINDOW,P25,EXTENDED_FLAT_WINDOW,2.5,19.5,5.460565956949683e-07
P25_EXTENDED_FLAT_WINDOW,P25,EXTENDED_FLAT_WINDOW,2.5,21.0,6.550064953026375e-07
P25_EXTENDED_FLAT_WINDOW,P25,EXTENDED_FLAT_WINDOW,2.5,24.3,9.012425265233013e-07
P40_STANDARD_WINDOW,P40,STANDARD_WINDOW,4.0,12.0,9.357867978912683e-08
P40_STANDARD_WINDOW,P40,STANDARD_WINDOW,4.0,12.75,1.1542515340158278e-07
P40_STANDARD_WINDOW,P40,STANDARD_WINDOW,4.0,13.5,1.4286990725190266e-07
P40_STANDARD_WINDOW,P40,STANDARD_WINDOW,4.0,15.0,2.1636125289894813e-07
P40_STANDARD_WINDOW,P40,STANDARD_WINDOW,4.0,16.5,3.164684692952013e-07
P40_STANDARD_WINDOW,P40,STANDARD_WINDOW,4.0,18.0,4.473410023231301e-07
