candidate_id,temperature_K,K_first_MPa_sqrt_m,classification,hazard_action,Kdot_MPa_sqrt_m_s,barrier_floor_eV,characteristic_cleavage_stress_Pa,sigma_first_Pa,stress_cap_active,zero_stress_cleavage_rate_per_s,zero_stress_renewal_fraction,renewal_ceiling_active,zero_stress_reference_action_fraction,zero_stress_dominated_first_passage,topology,scope,PF_or_FEM_launched,A_NATIVE_K_first_MPa_sqrt_m,log10_K_first_ratio_to_A_NATIVE
A_NATIVE,300.0,10.198120069930772,FIRST_PASSAGE,1.000000000000013,0.005,0.4108761922930067,2095298727.9742956,4068461276.5058,False,2.089107905650242e-70,2.089107905650242e-76,False,4.260994652172555e-67,False,strictly_decreasing,analysis_only_existing_no_plastic_monotonic_screen,False,10.198120069930772,0.0
A_NATIVE,600.0,6.930460399130704,FIRST_PASSAGE,0.9999999999807724,0.005,0.4108761922930067,2095298727.9742956,2764853675.8610263,False,5.9007173358009116e-24,5.900717335800911e-30,False,8.17893756444645e-21,False,strictly_decreasing,analysis_only_existing_no_plastic_monotonic_screen,False,6.930460399130704,0.0
A_NATIVE,900.0,4.7076156876059985,FIRST_PASSAGE,0.9999999999920597,0.005,0.4108761922930067,2095298727.9742956,1878066937.6670954,False,1.796955356671496e-08,1.796955356671496e-14,False,1.6918750453988736e-05,False,strictly_decreasing,analysis_only_existing_no_plastic_monotonic_screen,False,4.7076156876059985,0.0
A_NATIVE,1200.0,0.005110846630398461,FIRST_PASSAGE,1.0,0.005,0.4108761922930067,2095298727.9742956,2038932.8095131402,False,0.9783114866707483,9.783114866707482e-07,False,0.9999999930262605,True,strictly_decreasing,analysis_only_existing_no_plastic_monotonic_screen,False,0.005110846630398461,0.0
P40_TRANSFER_CALIBRATED_GEN2,300.0,0.00683396167379867,FIRST_PASSAGE,1.0000000000000009,0.005,0.387010349379817,2398710385.1034927,2726356.254321233,False,0.7316301537221054,7.316301537221053e-07,False,0.9999864859864595,True,nonincreasing_with_high_temperature_renewal_plateau,analysis_only_existing_no_plastic_monotonic_screen,False,10.198120069930772,-3.173847582067625
P40_TRANSFER_CALIBRATED_GEN2,600.0,5e-09,FIRST_PASSAGE,1.0,0.005,0.387010349379817,2398710385.1034927,1.9947114020071635,False,1000000.0,1.0,True,1.0,True,nonincreasing_with_high_temperature_renewal_plateau,analysis_only_existing_no_plastic_monotonic_screen,False,6.930460399130704,-9.14179208195838
P40_TRANSFER_CALIBRATED_GEN2,900.0,5e-09,FIRST_PASSAGE,1.0,0.005,0.387010349379817,2398710385.1034927,1.9947114020071635,False,1000000.0,1.0,True,1.0,True,nonincreasing_with_high_temperature_renewal_plateau,analysis_only_existing_no_plastic_monotonic_screen,False,4.7076156876059985,-8.97383099708164
P40_TRANSFER_CALIBRATED_GEN2,1200.0,5e-09,FIRST_PASSAGE,1.0,0.005,0.387010349379817,2398710385.1034927,1.9947114020071635,False,1000000.0,1.0,True,1.0,True,nonincreasing_with_high_temperature_renewal_plateau,analysis_only_existing_no_plastic_monotonic_screen,False,0.005110846630398461,-6.009522844224182
P25_TRANSFER_V1_RANK1,300.0,0.0015390558462851887,FIRST_PASSAGE,1.0000000000000002,0.005,0.3952969287735193,2073551604.9248903,613994.44898217,False,3.2487387058481376,3.2487387058481375e-06,False,0.9999980596577109,True,nonincreasing_with_high_temperature_renewal_plateau,analysis_only_existing_no_plastic_monotonic_screen,False,10.198120069930772,-3.8212657419717893
P25_TRANSFER_V1_RANK1,600.0,5e-09,FIRST_PASSAGE,1.0,0.005,0.3952969287735193,2073551604.9248903,1.9947114020071635,False,1000000.0,1.0,True,1.0,True,nonincreasing_with_high_temperature_renewal_plateau,analysis_only_existing_no_plastic_monotonic_screen,False,6.930460399130704,-9.14179208195838
P25_TRANSFER_V1_RANK1,900.0,5e-09,FIRST_PASSAGE,1.0,0.005,0.3952969287735193,2073551604.9248903,1.9947114020071635,False,1000000.0,1.0,True,1.0,True,nonincreasing_with_high_temperature_renewal_plateau,analysis_only_existing_no_plastic_monotonic_screen,False,4.7076156876059985,-8.97383099708164
P25_TRANSFER_V1_RANK1,1200.0,5e-09,FIRST_PASSAGE,1.0,0.005,0.3952969287735193,2073551604.9248903,1.9947114020071635,False,1000000.0,1.0,True,1.0,True,nonincreasing_with_high_temperature_renewal_plateau,analysis_only_existing_no_plastic_monotonic_screen,False,0.005110846630398461,-6.009522844224182
P55_TRANSFER_V1_RANK1,300.0,0.031918466489865654,FIRST_PASSAGE,0.9999999999999957,0.005,0.3788991906149326,4780385289.272727,12733625.808383716,False,0.15662494644125607,1.5662494644125607e-07,False,0.9998456208924469,True,nonincreasing_with_high_temperature_renewal_plateau,analysis_only_existing_no_plastic_monotonic_screen,False,10.198120069930772,-2.5044781032555075
P55_TRANSFER_V1_RANK1,600.0,5e-09,FIRST_PASSAGE,1.0,0.005,0.3788991906149326,4780385289.272727,1.9947114020071635,False,1000000.0,1.0,True,1.0,True,nonincreasing_with_high_temperature_renewal_plateau,analysis_only_existing_no_plastic_monotonic_screen,False,6.930460399130704,-9.14179208195838
