candidate_id,Klo,Khi,R,seed,physical_slope,target_slope,predicted_slope,event_size_contribution,waiting_contribution
P40_TRANSFER_CALIBRATED_GEN2,12.0,12.75,0.1,1720,4.238401082887652,3.460965423185188,3.71515115721341,0.0,4.238401082887652
P40_TRANSFER_CALIBRATED_GEN2,12.75,13.5,0.1,1720,4.26195470563238,3.731947144098604,3.8245228648461747,0.0,4.261954705632377
P40_TRANSFER_CALIBRATED_GEN2,13.5,15.0,0.1,1720,4.204155352503832,3.9389993348402856,3.9334939075423736,0.0,4.204155352503834
P40_TRANSFER_CALIBRATED_GEN2,15.0,16.5,0.1,1720,4.098296911896031,3.9898585495179755,3.9996086609304426,0.0,4.098296911896032
P40_TRANSFER_CALIBRATED_GEN2,16.5,18.0,0.1,1720,3.7155140476219692,3.977612709296808,3.982822680729195,0.0,3.7155140476219692
P40_TRANSFER_CALIBRATED_GEN2,18.0,19.5,0.1,1720,3.2139762554785873,3.9180662695689454,3.8991400347101637,0.0,3.213976255478586
P40_TRANSFER_CALIBRATED_GEN2,19.5,21.0,0.1,1720,2.8181418914208125,3.7540639869913828,3.763511019433826,0.0,2.8181418914208143
P40_TRANSFER_CALIBRATED_GEN2,21.0,24.3,0.1,1720,2.0877823724852975,3.283258986619694,3.4723975384547643,0.0,2.087782372485297
P40_TRANSFER_CALIBRATED_GEN2,15.0,18.0,0.1,1001723,3.9676932644056593,3.9840143287973135,3.9915976978983436,0.0,3.96769326440566
P40_TRANSFER_CALIBRATED_GEN2,18.0,21.0,0.1,1001723,3.0021642428678077,3.839222137295087,3.833936356733527,0.0,3.0021642428678073
P40_TRANSFER_CALIBRATED_GEN2,15.0,18.0,-0.95,1720,3.9184498844988216,3.9840143287973135,3.9872774581300328,0.0,3.918449884498822
P40_TRANSFER_CALIBRATED_GEN2,18.0,21.0,-0.95,1720,3.005383375181414,3.839222137295087,3.8282963527430858,0.0,3.0053833751814136
P40_TRANSFER_CALIBRATED_GEN2,15.0,18.0,0.5,1720,3.9163387571603034,3.9840143287973135,3.9928707075283785,0.0,3.916338757160303
P40_TRANSFER_CALIBRATED_GEN2,18.0,21.0,0.5,1720,2.9825623795055365,3.839222137295087,3.8462448484169243,0.0,2.982562379505537
P25_TRANSFER_V1_RANK1,12.0,12.75,0.1,1720,2.8535676949915265,2.163103389490727,2.320032805340144,0.0,2.853567694991524
P25_TRANSFER_V1_RANK1,12.75,13.5,0.1,1720,2.8279154962651525,2.3324669650616547,2.3894659260188926,0.0,2.827915496265153
P25_TRANSFER_V1_RANK1,13.5,15.0,0.1,1720,2.8616460052911776,2.461874584275162,2.4583774027942353,0.0,2.86164600529118
P25_TRANSFER_V1_RANK1,15.0,16.5,0.1,1720,2.7105899118250885,2.493661593448743,2.499915625834243,0.0,2.710589911825087
P25_TRANSFER_V1_RANK1,16.5,18.0,0.1,1720,2.508014512787995,2.4860079433105238,2.4892111922607443,0.0,2.508014512787994
P25_TRANSFER_V1_RANK1,18.0,19.5,0.1,1720,2.0694257383847097,2.4487914184806234,2.4367965641684033,0.0,2.0694257383847123
P25_TRANSFER_V1_RANK1,19.5,21.0,0.1,1720,1.9446384457612904,2.3462899918696025,2.352308666452535,0.0,1.9446384457612884
P25_TRANSFER_V1_RANK1,21.0,24.3,0.1,1720,1.4545078583302147,2.052036866637292,2.1717959275393253,0.0,1.454507858330215
P25_TRANSFER_V1_RANK1,15.0,18.0,0.1,1001723,2.649264633516207,2.490008955498334,2.494807028027695,0.0,2.649264633516207
P25_TRANSFER_V1_RANK1,18.0,21.0,0.1,1001723,1.9919472575446429,2.39951383580944,2.3961789893495906,0.0,1.9919472575446433
P25_TRANSFER_V1_RANK1,15.0,18.0,-0.95,1720,2.6462290077219373,2.490008955498334,2.463896008027523,-0.4174551937406402,3.0636842014625754
P25_TRANSFER_V1_RANK1,18.0,21.0,-0.95,1720,1.9686288389270086,2.39951383580944,2.3738323118420914,0.0,1.9686288389270092
P25_TRANSFER_V1_RANK1,15.0,18.0,0.5,1720,2.7011421947595387,2.490008955498334,2.52674071321804,0.0,2.7011421947595387
P25_TRANSFER_V1_RANK1,18.0,21.0,0.5,1720,1.9807268894624328,2.39951383580944,2.4302976961931293,0.0,1.9807268894624328
P55_TRANSFER_V1_RANK1,13.5,18.0,0.1,1720,5.3601282148169975,5.4553510872746385,5.459145749257384,0.0,5.360128214816998
P55_TRANSFER_V1_RANK1,18.0,21.0,0.1,1720,4.0000109450424,5.2789304387807565,5.271734442050154,0.0,4.0000109450423995
