interval,K_lo,K_hi,K_mid_MPa_sqrt_m,physical_slope,b1_same_seed_slope,slope_error,b1_ensemble_slope_mean,b1_ensemble_slope_std,usable,note
m_12_15,12.0,15.0,13.416407864998739,11.235012531172288,nan,nan,nan,nan,False,K=12 leg unusable: B1 numerically unresolved
m_15_18,15.0,18.0,16.431676725154983,2.1850340481159014,2.8900448602415167,0.7050108121256153,3.0675344091274543,0.20550735447997248,True,
m_18_24,18.0,24.0,20.784609690826528,0.7687404115110859,0.4903176918603456,-0.2784227196507403,0.39626318199591637,0.14564450013964528,True,
