K_shield,Kmax,R,applied_full_DeltaK,attempt,barrier_floor_active,candidate_id,candidate_row_sha256,completion_time_unix,cycle_horizon,cycles,developed_cycles,developed_event_count,developed_extension_m,developed_path_rate,developed_qualified,developed_tortuosity,exit_code,final_extension_um,floor_eV,freeze_sha256,frequency_Hz,generation,independent_validation,initiation_cycles,job_key,late_early_ratio,launch_head,launch_time_unix,material_manifest_sha256,max_recorded_stress_Pa,maximum_recorded_renewal_fraction,mean_event_length_m,mean_wait_cycles,minimum_event_barrier_eV,mobile_count,n_bins,physical_rate,post_geometry_checkpoint_K_shield_Pa_sqrt_m,post_geometry_checkpoint_mobile_count,post_geometry_checkpoint_radius_m,post_geometry_checkpoint_retained_count,post_geometry_checkpoint_sigma_back_Pa,predicted_rate,prediction_residual_decade,qualified_physical_source_commit,renewal_ceiling_active,result_path,result_path_virgin_at_launch,resume,retained_count,seed,seed_mapping,sigma_back,stage,status,stress_cap_active,target,target_extension_um,target_reached,temperature_K,terminal_radius_m,terminal_radius_scope,threshold_distribution,total_events,unqualified_interval_rate,wall_seconds
-4.917152733937218e-18,15.0,0.1,13.5,0,False,P40_TRANSFER_CALIBRATED_GEN2,142e0c7dc0c00193d62aa1cb9c5120cea0261a0f41a7949071dac710ec97a729,1789071174.951138,1000000000000.0,442.9646081837968,332.5797685675932,12,7.175976073580065e-05,2.2731185556161733e-07,True,1.0535058024188293,0,102.66778366452745,0.387010349379817,aa3213f756e48aaff0d712238bc49d19f19106ad9c36ae1c69262be5cd5c8514,1000,2,True,1.0804373325598033,K_15_R_0.1_seed_1720,0.9212675740673989,f2d692263518b64a9bbef5619fea9fe359dee037,1789070077.604529,68686f49551fd679375dd112b3e1ee7604ac3b2ecd9cb906bb1124a2fa66f649,5965735987.089928,0.00021382288703278011,5.979980061316721e-06,27.7149807139661,0.4138179037196732,246.09767309580448,80,2.1576706558209136e-07,-6.181896848482877e-190,1.2673376409715155e-146,1e-06,2.2019075798321935e-190,472562733.4448932,2.1624129075858524e-07,-0.0009534697976662889,f2d692263518b64a9bbef5619fea9fe359dee037,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_0.1_seed_1720__attempt0,True,False,8.796252395742237e-19,1720,"SeedSequence([seed, engine_id]); NumPy exponential(1)",472562733.4448932,PILOT,PHYSICAL_TARGET_REACHED,False,P40,100,True,300,1.0424128857486982e-06,last recorded cleavage event state before geometry and MPZ translation; translated terminal checkpoint reported separately,unit_exponential,18,2.1576706558209136e-07,1097.3285617079819
-1.1044788394191293e-14,16.5,0.1,14.85,0,False,P40_TRANSFER_CALIBRATED_GEN2,142e0c7dc0c00193d62aa1cb9c5120cea0261a0f41a7949071dac710ec97a729,1789070682.766353,1000000000000.0,298.8597415445715,225.0382350280396,12,7.175976073580065e-05,3.359399095266333e-07,True,1.0535058024188293,0,102.66778366452745,0.387010349379817,aa3213f756e48aaff0d712238bc49d19f19106ad9c36ae1c69262be5cd5c8514,1000,2,True,0.9486919737700221,K_16.5_R_0.1_seed_1720,0.9280855300621748,f2d692263518b64a9bbef5619fea9fe359dee037,1789070077.599823,68686f49551fd679375dd112b3e1ee7604ac3b2ecd9cb906bb1124a2fa66f649,6528448250.160579,0.0003516233319360562,5.979980061316721e-06,18.753186252336633,0.40939771646950435,396.69343938931735,80,3.188780818817719e-07,-3.691094103038062e-167,1.5402045872693543e-124,1e-06,1.314717518120584e-167,599982092.8298528,3.165870653260348e-07,0.003131501903368258,f2d692263518b64a9bbef5619fea9fe359dee037,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,True,False,1.975792743385289e-15,1720,"SeedSequence([seed, engine_id]); NumPy exponential(1)",599982092.8298528,PILOT,PHYSICAL_TARGET_REACHED,False,P40,100,True,300,1.0683668125971425e-06,last recorded cleavage event state before geometry and MPZ translation; translated terminal checkpoint reported separately,unit_exponential,18,3.188780818817719e-07,605.168177124986
-2.059092297848824e-08,19.5,0.1,17.55,0,False,P40_TRANSFER_CALIBRATED_GEN2,142e0c7dc0c00193d62aa1cb9c5120cea0261a0f41a7949071dac710ec97a729,1789070475.1677692,1000000000000.0,163.17900327664455,125.9295930972413,12,7.175976073580065e-05,6.003300928398615e-07,True,1.0535058024188293,0,102.66778366452745,0.387010349379817,aa3213f756e48aaff0d712238bc49d19f19106ad9c36ae1c69262be5cd5c8514,1000,2,True,0.12858170813508668,K_19.5_R_0.1_seed_1720,0.975347030389967,f2d692263518b64a9bbef5619fea9fe359dee037,1789070077.605797,68686f49551fd679375dd112b3e1ee7604ac3b2ecd9cb906bb1124a2fa66f649,7572881590.316591,0.0007111509584666616,5.979980061316721e-06,10.494132758103442,0.40309352517789454,806.4483976182815,80,5.698403287969702e-07,-3.60776928267715e-128,8.15522684656024e-87,1e-06,1.2850383063282025e-128,855568055.2139434,6.117030200658984e-07,-0.030787442753677584,f2d692263518b64a9bbef5619fea9fe359dee037,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_19.5_R_0.1_seed_1720__attempt0,True,False,3.6834925172406125e-09,1720,"SeedSequence([seed, engine_id]); NumPy exponential(1)",855568055.2139434,PILOT,PHYSICAL_TARGET_REACHED,False,P40,100,True,300,1.1389846694230483e-06,last recorded cleavage event state before geometry and MPZ translation; translated terminal checkpoint reported separately,unit_exponential,18,5.698403287969702e-07,397.56115216598846
-7.674268749503219e-26,12.0,0.1,10.8,0,False,P40_TRANSFER_CALIBRATED_GEN2,142e0c7dc0c00193d62aa1cb9c5120cea0261a0f41a7949071dac710ec97a729,1789073791.988697,1000000000000.0,1155.528113839368,854.3916935782797,12,7.175976073580065e-05,8.848321546612322e-08,True,1.0535058024188293,0,102.66778366452745,0.387010349379817,aa3213f756e48aaff0d712238bc49d19f19106ad9c36ae1c69262be5cd5c8514,1000,2,True,3.9051450645700294,K_12_R_0.1_seed_1720,0.9054601121055424,7d415be264ed9bafd08ee29395c750ff991239ac,1789072477.526222,68686f49551fd679375dd112b3e1ee7604ac3b2ecd9cb906bb1124a2fa66f649,4787203952.364897,6.94892943934767e-05,5.979980061316721e-06,71.19930779818998,0.4237325017516073,50.87312083078008,80,8.398930054582277e-08,-4.86906592168686e-102,2.0978634221488746e-58,1e-06,6.657567328581142e-104,214855799.62499884,9.166371697906019e-08,-0.03797349946393106,f2d692263518b64a9bbef5619fea9fe359dee037,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_12_R_0.1_seed_1720__attempt0,True,False,1.3728427098144904e-26,1720,"SeedSequence([seed, engine_id]); NumPy exponential(1)",214855799.62499884,GRID,PHYSICAL_TARGET_REACHED,False,P40,100,True,300,1.0087675589721124e-06,last recorded cleavage event state before geometry and MPZ translation; translated terminal checkpoint reported separately,unit_exponential,18,8.398930054582277e-08,1314.440587708028
-1.0617314904847899e-23,12.75,0.1,11.475,0,False,P40_TRANSFER_CALIBRATED_GEN2,142e0c7dc0c00193d62aa1cb9c5120cea0261a0f41a7949071dac710ec97a729,1789073699.0304031,1000000000000.0,891.5081038601321,660.7914501358794,12,7.175976073580065e-05,1.1440723741175416e-07,True,1.0535058024188293,0,102.66778366452745,0.387010349379817,aa3213f756e48aaff0d712238bc49d19f19106ad9c36ae1c69262be5cd5c8514,1000,2,True,2.9399044813352146,K_12.75_R_0.1_seed_1720,0.9107305607887429,7d415be264ed9bafd08ee29395c750ff991239ac,1789072477.5328882,68686f49551fd679375dd112b3e1ee7604ac3b2ecd9cb906bb1124a2fa66f649,5085726951.0170555,9.423431332411624e-05,5.979980061316721e-06,55.065954177989944,0.4210540603483384,85.11183973511642,80,1.0859668465904727e-07,-1.479815776559544e-227,2.2790079707819463e-183,1e-06,5.270902532239767e-228,277906142.6073731,1.1481891831204674e-07,-0.024196884234380222,f2d692263518b64a9bbef5619fea9fe359dee037,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_12.75_R_0.1_seed_1720__attempt0,True,False,1.899322104942507e-24,1720,"SeedSequence([seed, engine_id]); NumPy exponential(1)",277906142.6073731,GRID,PHYSICAL_TARGET_REACHED,False,P40,100,True,300,1.0146683131046407e-06,last recorded cleavage event state before geometry and MPZ translation; translated terminal checkpoint reported separately,unit_exponential,18,1.0859668465904727e-07,1221.4771966670523
-9.945804597463739e-22,13.5,0.1,12.15,0,False,P40_TRANSFER_CALIBRATED_GEN2,142e0c7dc0c00193d62aa1cb9c5120cea0261a0f41a7949071dac710ec97a729,1789073670.71458,1000000000000.0,695.3222758381168,517.9256569898857,12,7.175976073580065e-05,1.4596559041837387e-07,True,1.0535058024188293,0,102.66778366452745,0.387010349379817,aa3213f756e48aaff0d712238bc49d19f19106ad9c36ae1c69262be5cd5c8514,1000,2,False,2.0343317444007454,K_13.5_R_0.1_seed_1720,0.9088910989981961,7d415be264ed9bafd08ee29395c750ff991239ac,1789072477.5263832,68686f49551fd679375dd112b3e1ee7604ac3b2ecd9cb906bb1124a2fa66f649,5382469656.528972,0.00012591496815221693,5.979980061316721e-06,43.160471415823814,0.4185001440497015,129.29729042410952,80,1.3855224155694222e-07,-1.2687329024030245e-214,1.023961199552633e-170,1e-06,4.5190540430195984e-215,342529819.98144746,1.4287354303985552e-07,-0.013338258310628959,f2d692263518b64a9bbef5619fea9fe359dee037,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_13.5_R_0.1_seed_1720__attempt0,True,False,1.7791963903135194e-22,1720,"SeedSequence([seed, engine_id]); NumPy exponential(1)",342529819.98144746,GRID,PHYSICAL_TARGET_REACHED,False,P40,100,True,300,1.0222833118992524e-06,last recorded cleavage event state before geometry and MPZ translation; translated terminal checkpoint reported separately,unit_exponential,18,1.3855224155694222e-07,1193.168332750036
-1.5757465163182455e-11,18.0,0.1,16.2,0,False,P40_TRANSFER_CALIBRATED_GEN2,142e0c7dc0c00193d62aa1cb9c5120cea0261a0f41a7949071dac710ec97a729,1789074110.5181592,1000000000000.0,214.59267907570387,162.87423323067367,12,7.175976073580065e-05,4.641576682561195e-07,True,1.0535058024188293,0,102.66778366452745,0.387010349379817,aa3213f756e48aaff0d712238bc49d19f19106ad9c36ae1c69262be5cd5c8514,1000,2,False,0.8269202401394505,K_18_R_0.1_seed_1720,0.9546849183180315,7d415be264ed9bafd08ee29395c750ff991239ac,1789073670.745158,68686f49551fd679375dd112b3e1ee7604ac3b2ecd9cb906bb1124a2fa66f649,7062508394.3400545,0.0005168865329594207,5.979980061316721e-06,13.572852769222806,0.40595667829667503,580.5628690820962,80,4.4058387451727584e-07,-2.2920347831662344e-146,2.1057456428906352e-104,1e-06,8.163916148557259e-147,725853585.7382789,4.477115562627154e-07,-0.006969706655066392,f2d692263518b64a9bbef5619fea9fe359dee037,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_18_R_0.1_seed_1720__attempt0,True,False,2.8188394557024125e-12,1720,"SeedSequence([seed, engine_id]); NumPy exponential(1)",725853585.7382789,GRID,PHYSICAL_TARGET_REACHED,False,P40,100,True,300,1.1000551786206197e-06,last recorded cleavage event state before geometry and MPZ translation; translated terminal checkpoint reported separately,unit_exponential,18,4.4058387451727584e-07,439.766282416007
-1.8612012351373394e-05,21.0,0.1,18.900000000000002,0,False,P40_TRANSFER_CALIBRATED_GEN2,142e0c7dc0c00193d62aa1cb9c5120cea0261a0f41a7949071dac710ec97a729,1789074056.221834,1000000000000.0,132.08611079058312,102.19432879791893,12,7.175976073580065e-05,7.397604662079092e-07,True,1.0535058024188293,0,102.66778366452745,0.387010349379817,aa3213f756e48aaff0d712238bc49d19f19106ad9c36ae1c69262be5cd5c8514,1000,2,False,0.08723758491998523,K_21_R_0.1_seed_1720,0.9906490517290302,7d415be264ed9bafd08ee29395c750ff991239ac,1789073699.060525,68686f49551fd679375dd112b3e1ee7604ac3b2ecd9cb906bb1124a2fa66f649,8056662427.798838,0.0009248888423416833,5.979980061316721e-06,8.516194066493243,0.40072502728195947,1117.1117760651853,80,7.021892660765923e-07,-3.976262512897778e-113,2.3192710062573046e-72,1e-06,1.416289829382923e-113,1007318969.3118546,8.084776810316857e-07,-0.06121384880787413,f2d692263518b64a9bbef5619fea9fe359dee037,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_21_R_0.1_seed_1720__attempt0,True,False,3.3294858555546093e-06,1720,"SeedSequence([seed, engine_id]); NumPy exponential(1)",1007318969.3118546,GRID,PHYSICAL_TARGET_REACHED,False,P40,100,True,300,1.1925249177690302e-06,last recorded cleavage event state before geometry and MPZ translation; translated terminal checkpoint reported separately,unit_exponential,18,7.021892660765923e-07,357.15566145797493
-3.5158713766872562,24.3,0.1,21.87,0,False,P40_TRANSFER_CALIBRATED_GEN2,142e0c7dc0c00193d62aa1cb9c5120cea0261a0f41a7949071dac710ec97a729,1789074122.6844668,1000000000000.0,96.1355412848621,75.35092334256649,12,7.175976073580065e-05,1.0032965883066498e-06,True,1.0535058024188293,0,102.66778366452745,0.387010349379817,aa3213f756e48aaff0d712238bc49d19f19106ad9c36ae1c69262be5cd5c8514,1000,2,True,0.0529396994519853,K_24.3_R_0.1_seed_1720,0.9661888828322749,7d415be264ed9bafd08ee29395c750ff991239ac,1789073792.023266,68686f49551fd679375dd112b3e1ee7604ac3b2ecd9cb906bb1124a2fa66f649,9017812205.635897,0.0014180785738043449,5.979980061316721e-06,6.279243611880541,0.3968503342377958,2093.0693104287006,80,9.523408281217816e-07,-1.42686395191331e-89,7.480464458476531e-50,1e-06,5.081446247496996e-90,1389252031.0201962,1.3420627569056976e-06,-0.1489804210684987,f2d692263518b64a9bbef5619fea9fe359dee037,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_24.3_R_0.1_seed_1720__attempt0,True,False,0.6288890770145849,1720,"SeedSequence([seed, engine_id]); NumPy exponential(1)",1389252031.0201962,GRID,PHYSICAL_TARGET_REACHED,False,P40,100,True,300,1.3608314537396374e-06,last recorded cleavage event state before geometry and MPZ translation; translated terminal checkpoint reported separately,unit_exponential,18,9.523408281217816e-07,330.6562663750374
-4.230647482988442e-18,15.0,0.1,13.5,0,False,P40_TRANSFER_CALIBRATED_GEN2,142e0c7dc0c00193d62aa1cb9c5120cea0261a0f41a7949071dac710ec97a729,1789076929.8626812,1000000000000.0,469.2264441087651,367.35371253135804,13,8.173219495176778e-05,2.3930887965105324e-07,True,1.075598244160858,0,101.97582568618861,0.387010349379817,aa3213f756e48aaff0d712238bc49d19f19106ad9c36ae1c69262be5cd5c8514,1000,2,True,6.123451374671185,K_15_R_0.1_seed_1001723,1.0745275092165847,3771f079442b30963b0e8585eb20803b4e593365,1789075844.7499971,68686f49551fd679375dd112b3e1ee7604ac3b2ecd9cb906bb1124a2fa66f649,5951056981.70803,0.0002044069797847805,6.287091919366752e-06,28.257977887027543,0.41421698542962254,459.71312031217934,80,2.2248909474350543e-07,0.0,6.376281530799271e-280,1e-06,0.0,650100207.975902,2.1624129075858524e-07,0.012370103954394831,f2d692263518b64a9bbef5619fea9fe359dee037,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_0.1_seed_1001723__attempt0,True,False,6.355410022242809e-19,1001723,"SeedSequence([seed, engine_id]); NumPy exponential(1)",650100207.975902,SEED2,PHYSICAL_TARGET_REACHED,False,P40,100,True,300,1.0802665352220866e-06,last recorded cleavage event state before geometry and MPZ translation; translated terminal checkpoint reported separately,unit_exponential,15,2.2248909474350543e-07,1085.1180390830268
